	donor1_H1	donor1_H2	donor1_H3	donor2_H1	donor2_H2	donor2_H3	donor3_H1	donor3_H2	donor3_H3	donor4_H1	donor4_H2	donor4_H3	donor5_H1	donor5_H2	donor5_H3	donor6_H1	donor6_H2	donor6_H3	donor1_L1	donor1_L2	donor1_L3	donor2_L1	donor2_L2	donor2_L3	donor3_L1	donor3_L2	donor3_L3	donor4_L1	donor4_L2	donor4_L3	donor5_L1	donor5_L2	donor5_L3	donor6_L1	donor6_L2	donor6_L3	FC	Log2FC	pval	adj pval
DDX6	7259.64	10297.03037	8516.316019	8333.721918	8229.762421	9130.932574	5966.695332	8374.566543	5657.618221	5381.492733	3567.262111	0	10482.7238	9186.550134	8539.148013	9498.623931	8859.912084	10578.85668	8926.821204	12630.24119	11064.69643	15865.81827	14976.37702	13678.78261	12531.46435	11998.74021	9529.530103	12253.80104	12451.59584	7657.238473	12904.82839	11656.52226	10520.42176	12670.64241	12590.27155	10542.19454	0.642857826	-0.637428387	1.55801E-06	0.008470889
EEF1A1	433624	426516.1382	429268.8828	230774.5885	243709.7154	232805.4659	181834.7086	178695.8918	203529.3153	109972.9932	122389.3888	110624.1969	270371.3284	283342.2223	333103.7543	343425.6576	332299.8059	306677.4512	506843.4134	508549.7226	524079.7251	328389.8001	316650.0988	295750.2913	251021.3786	261236.3185	236267.1911	149426.9896	122633.3109	147789.8644	312274.5572	335547.91	296723.1693	392856.4242	398784.1874	366553.5158	0.829882093	-0.269021717	2.22897E-06	0.006059459
ATP5J	94383.4	109359.1735	104684.0924	104345.9432	110138.236	120847.0019	101412.9076	106234.4363	117029.2989	72143.7028	76548.2552	69488.50883	85790.34493	90171.32508	90751.03266	104802.4798	120586.1263	110734.9635	74946.31154	74992.37259	88053.72029	69460.56391	65905.52717	77767.07905	62756.6148	66975.06482	72641.97799	64360.0519	52029.46861	54633.50796	81973.10801	78534.702	87579.4132	95645.00406	102503.8927	92829.03505	1.31231134	0.392110034	2.44301E-06	0.004427543
TUBB4B; TUBB2A; TUBB; TUBB2B	121189	134863.4469	130473.9757	171461.108	167003.1414	163804.0419	140307.3854	134859.2612	138295.678	47775.33412	53346.73157	51200.77773	144376.4714	169062.974	163072.6902	197076.6848	192763.6461	215658.01	179809.377	199641.5763	183911.2333	234011.8036	229182.9145	226295.6921	219612.0904	221808.7575	212748.9186	48367.42862	69599.06805	51046.3914	223731.7278	213214.369	195153.1467	224290.6652	209685.5938	224312.2522	0.753497215	-0.408325916	2.93828E-06	0.003993859
DDX3X; DDX3Y	22323.1	24977.84162	23331.4461	23433.60918	21743.64227	21443.59748	20904.34098	17771.77068	20374.03049	12688.24247	9647.019301	7134.66847	22066.28059	22013.16714	22390.16733	24075.30649	23759.50799	22593.62647	31476.30669	28390.4144	30275.04226	27931.17044	25156.23889	24222.54927	22137.92633	21681.54413	21045.86392	15350.20865	10670.34542	10455.58027	23905.16434	26026.58114	23418.89826	29714.57648	26348.0068	26967.95443	0.852994416	-0.229391798	3.35219E-06	0.003645171
LARS	13842.3	15607.72911	14688.09005	12922.3959	11448.93267	13090.76926	8625.799298	12207.6577	11422.57742	7992.273902	10254.70828	8642.979106	15015.64045	11048.49191	9421.990394	12388.68647	14639.1439	13527.57161	15939.67238	19657.07715	17021.17959	14736.42968	14389.09671	13689.5957	14455.80512	14552.36612	11617.12798	12349.72867	11998.24566	11814.36281	14047.93856	14766.64384	14348.40576	16479.93798	18009.37963	15008.02131	0.818434412	-0.289061289	4.97936E-06	0.00451213
CCT7	45976.5	42589.67487	43750.32683	56428.23684	56200.45947	57623.58847	46641.11671	47298.44566	49228.9269	26253.6516	32012.9274	31793.62718	56035.49084	57425.87849	48563.67693	54583.20832	56349.19049	56937.82424	53567.98544	54839.83787	52170.2193	70798.19412	72601.08359	68836.13503	61270.53289	57333.36837	61854.59802	26179.14721	27812.09852	28058.83586	63639.28388	70154.84399	60703.44791	68466.96877	66641.08904	67950.93238	0.838136011	-0.254743715	5.18281E-06	0.004025563
CADPS	10899.2	12198.03423	9207.374158	40467.3363	39140.47832	39806.98006	35982.67748	36840.77926	39944.35101	9565.362407	9677.421024	8493.690599	31994.81145	29113.24373	30813.15489	30798.9226	29083.41907	28161.3894	15305.33137	14144.6629	15523.23234	47370.22046	45381.45469	46928.81339	42854.16211	41432.00848	42100.69219	9396.359639	8793.957919	14660.22496	34935.77311	34102.12218	35610.11253	30967.90112	30712.0768	32018.93754	0.87081427	-0.199563047	6.79119E-06	0.004615463
EEF1D3	203713	184824.2507	186860.079	129644.2464	131375.7274	126041.5869	139082.5932	131834.4297	144374.2434	85190.41876	63640.30569	74477.82477	120539.8736	122407.5936	125622.718	135563.6501	136969.2609	136485.2376	178629.2599	175080.7482	190106.1953	104454.4264	107509.9898	105126.0935	111348.4558	114455.6968	119099.9951	68539.84885	58908.62869	75623.23863	114431.2785	122648.4238	104738.749	119406.3952	121834.542	123325.7468	1.124513472	0.169300946	8.57723E-06	0.0051816
SENP3-EIF4A1; EIF4A2	146562	137192.3121	150336.4366	119343.1767	115700.5684	113265.8121	113022.4495	125248.8219	117267.809	56427.53788	59631.94222	55862.92249	116718.4211	126739.4069	134312.8704	140652.2836	137256.7028	127001.9032	165613.1309	162223.0857	160372.872	146550.323	150487.3534	143843.0891	137948.8248	126076.9173	134660.7765	62514.43993	53157.35687	62077.57471	154021.2911	147070.1487	150799.3068	149138.1596	151705.7913	160850.8806	0.865004995	-0.209219631	9.16678E-06	0.004983976
