"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIF",4.12727613827715e-15,-0.670149934256976,0.922,0.944,1.05687160072863e-10
"H3F3B",2.3381011639128e-14,-0.72330377259341,0.823,0.918,5.98717565043151e-10
"RPS9",9.27766231068364e-14,-0.420546624599635,0.935,0.971,2.37573098789676e-09
"TIMP1",1.84239481918653e-13,-0.74186880474487,0.738,0.844,4.71782041349094e-09
"RPL8",3.25970634877111e-13,-0.501688998356833,0.945,0.962,8.34713004729818e-09
"GNAS",5.97806608325235e-13,-0.493431641017242,0.969,0.982,1.53080338193843e-08
"PCSK1N",6.05445638774693e-13,-0.392981726961877,0.964,0.976,1.55036464721036e-08
"PPIA",6.88502199590428e-13,-0.452146399766996,0.745,0.876,1.76304758249121e-08
"MYL6",1.98152352129438e-12,-0.542336832918386,0.912,0.953,5.07408728097852e-08
"H3F3A",2.35765657230488e-12,-0.481502232174372,0.883,0.938,6.0372511847011e-08
"PTP4A3",2.79659242176695e-12,-0.58491214975197,0.371,0.582,7.16123421441863e-08
"SCG5",2.80670971123735e-12,-0.517999885177163,0.917,0.965,7.18714155756547e-08
"RPL19",4.73580605582384e-12,-0.407142975148015,0.932,0.962,1.21269785671481e-07
"RPL13",6.87574637177186e-12,-0.388495993965122,0.94,0.979,1.76067237341962e-07
"RPL22",7.55694002406963e-12,-0.466598609541172,0.878,0.932,1.93510563196351e-07
"RPS24",8.48044934842677e-12,-0.435606484367084,0.953,0.965,2.17158866465164e-07
"RPL32",9.5589913563591e-12,-0.425258301906418,0.912,0.968,2.44777091662287e-07
"LSM3",1.03124880599842e-11,-0.420437474025189,0.475,0.715,2.64071881752015e-07
"HSP90AB1",1.03325276737799e-11,-0.362588025644797,0.906,0.965,2.64585036142481e-07
"RPS7",1.05859601670964e-11,-0.482116276607171,0.901,0.968,2.71074681998838e-07
"TPI1",1.38975530312906e-11,-0.710134543666217,0.699,0.818,3.55874640472257e-07
"RPL18",1.45841505410344e-11,-0.425322991142132,0.927,0.965,3.73456342904267e-07
"EIF1",1.56089152794262e-11,-0.396345616047279,0.896,0.947,3.99697493560267e-07
"STMN2",1.74336354968815e-11,-0.650681426674773,0.67,0.815,4.46423104168645e-07
"RPS13",3.12673040945755e-11,-0.486019922480831,0.904,0.944,8.00661855949795e-07
"CALM1",3.1533990223387e-11,-0.429362209810902,0.883,0.962,8.0749088765027e-07
"ANXA5",5.19053297468842e-11,-0.397482150951912,0.6,0.829,1.32913977882846e-06
"UBB",5.4056173262074e-11,-0.391282284384381,0.855,0.929,1.38421642872193e-06
"PPY",5.63121046755835e-11,-0.64053666292634,0.849,0.865,1.44198406442767e-06
"TPT1",5.98459933101728e-11,-0.399230763666792,0.948,0.971,1.5324763506936e-06
"RPL6",6.21954318407002e-11,-0.348981140533423,0.935,0.974,1.59263842314481e-06
"SCGB2A1",6.73821768700514e-11,-0.836622521856954,0.647,0.771,1.72545540311141e-06
"RPL15",8.6211838792227e-11,-0.422093102468135,0.909,0.956,2.20762655595256e-06
"RPL30",8.73804220393872e-11,-0.371707286626318,0.938,0.976,2.23755046716259e-06
"RPS6",9.70670225014015e-11,-0.391259493739749,0.909,0.962,2.48559524519339e-06
"UBA52",1.11668537151531e-10,-0.381473287468239,0.919,0.953,2.85949623083926e-06
"SEC61G",1.11852283837496e-10,-0.422411691547829,0.681,0.829,2.86420143222675e-06
"RPL41",1.25834769328684e-10,-0.36282287631968,0.948,0.979,3.22225093819962e-06
"CST3",1.32848712079509e-10,-0.407169154749045,0.86,0.929,3.40185697021998e-06
"RPLP1",1.68504491617775e-10,-0.35750782034046,0.958,0.988,4.31489451685635e-06
"PRDX2",1.72517718841525e-10,-0.444841462015806,0.766,0.859,4.41766122637494e-06
"RPS29",1.75159161252315e-10,-0.411262694122599,0.899,0.959,4.48530064218802e-06
"MT1E",1.82535006390357e-10,-0.793241875381097,0.14,0.335,4.67417390863787e-06
"GABARAPL2",2.04810902087692e-10,-0.390681137564793,0.743,0.847,5.24459276975952e-06
"CEBPD",2.09865834005068e-10,-0.44626138537755,0.262,0.485,5.37403441136778e-06
"NDUFA13",2.40354197058518e-10,-0.363238820322613,0.865,0.926,6.15474992407747e-06
"RBX1",2.7378272985994e-10,-0.418672881912856,0.642,0.809,7.01075436352347e-06
"GAPDH",2.74451617365666e-10,-0.674189824325238,0.888,0.929,7.0278825658826e-06
"DDT",2.83286122125619e-10,-0.370134357287774,0.556,0.768,7.25410772927072e-06
"TERF2IP",2.89143537984695e-10,-0.322223960735665,0.584,0.791,7.4040985771741e-06
"RPL26",3.08093689456087e-10,-0.367038836927184,0.922,0.968,7.88935510590203e-06
"RPS27A",3.26868186954022e-10,-0.364505665093035,0.932,0.982,8.37011366333164e-06
"EEF1A1",4.12270575273854e-10,-0.359536392237099,0.956,0.968,1.05570126210376e-05
"ATP5F1E",4.63194803868084e-10,-0.471159791659959,0.909,0.968,1.186102934265e-05
"ATP5MC2",4.77516235111124e-10,-0.418402793982201,0.784,0.897,1.22277582324906e-05
"RACK1",4.82560459426903e-10,-0.378545411925579,0.844,0.935,1.23569256845447e-05
"HINT1",4.94883537312863e-10,-0.409088427296465,0.87,0.944,1.26724827399705e-05
"RPS12",5.07730975726060e-10,-0.383737421924133,0.901,0.959,1.30014670954172e-05
"RPL10",5.11785503081836e-10,-0.431483702865841,0.894,0.947,1.31052913774166e-05
"RPS3A",5.32765567038674e-10,-0.431198402365902,0.917,0.965,1.36425278751593e-05
"COMMD6",5.89801948425684e-10,-0.352787788575474,0.709,0.859,1.51030584933365e-05
"CALM2",5.92311400641786e-10,-0.361429739887328,0.826,0.909,1.51673180362342e-05
"RPL11",6.07964324406043e-10,-0.364518014256667,0.922,0.971,1.55681424550656e-05
"RPS3",6.33742559523544e-10,-0.372630925311758,0.894,0.971,1.62282457217194e-05
"CHGB",6.45671606159404e-10,-0.388790619641697,0.956,0.985,1.65337128189239e-05
"PEBP1",6.55499016729684e-10,-0.313845986428258,0.743,0.903,1.6785363321397e-05
"HMGN2",6.77067634219842e-10,-0.402716802153491,0.769,0.879,1.73376709094675e-05
"PFDN5",8.93267908161099e-10,-0.32129746932043,0.849,0.947,2.28739113242813e-05
"SELENOH",9.33705446100829e-10,-0.374626940144116,0.631,0.821,2.39093953583039e-05
"RPL24",9.47767583385154e-10,-0.348710078581626,0.935,0.974,2.42694845077436e-05
"B2M",9.95712270772913e-10,-0.402537602492083,0.938,0.959,2.5497204117682e-05
"NDUFA12",1.01897864778249e-09,-0.352491783914991,0.501,0.732,2.60929862337661e-05
"SEC61B",1.03939083304392e-09,-0.331205217834436,0.74,0.882,2.66156810617556e-05
"RPL27A",1.06739253441025e-09,-0.357142724529998,0.909,0.962,2.73327206286432e-05
"OAZ1",1.07709928244509e-09,-0.329334588049606,0.868,0.909,2.75812813255714e-05
"RPL35A",1.20773073473382e-09,-0.352535525397488,0.93,0.965,3.09263609243289e-05
"RPS28",1.27770987326424e-09,-0.362809138655162,0.951,0.979,3.27183167246774e-05
"RPL10A",1.29341001166583e-09,-0.369444972622316,0.883,0.944,3.3120350168727e-05
"LAMTOR5",1.46629944061861e-09,-0.331768658179634,0.639,0.815,3.75475297759208e-05
"RPS15",1.46708559663685e-09,-0.350598837800153,0.927,0.968,3.75676608730799e-05
"RPS4X",1.58595986798871e-09,-0.331386169867122,0.914,0.947,4.0611674339587e-05
"FXYD3",1.63357155745770e-09,-0.527275477003442,0.501,0.679,4.18308668718192e-05
"SERF2",1.70928736578963e-09,-0.338209965759137,0.922,0.959,4.37697215757749e-05
"MGST3",1.84216600513458e-09,-0.403660514159957,0.681,0.835,4.71723448934811e-05
"RPL7A",2.04028674520327e-09,-0.400569211615946,0.93,0.971,5.224562268442e-05
"PPDPF",2.08604460980344e-09,-0.394475160674436,0.761,0.868,5.34173443232368e-05
"RPS15A",2.16540131637095e-09,-0.389602580372634,0.891,0.959,5.54494315083109e-05
"GUK1",2.44810681697086e-09,-0.397847176323771,0.777,0.868,6.26886712621728e-05
"DDX39B",2.56893235852175e-09,-0.270894409764421,0.26,0.444,6.57826509046664e-05
"RNASEH2C",2.6516253956988e-09,-0.365553069423217,0.548,0.729,6.79001715076591e-05
"NRG1",2.76505638701789e-09,1.01405478660743,0.216,0.065,7.08047989023672e-05
"SPINT2",2.86711368835454e-09,-0.3800069252284,0.792,0.906,7.34181802176948e-05
"NDUFS5",3.38015600420678e-09,-0.332661081203464,0.79,0.882,8.65556547997231e-05
"TMEM176B",3.43621924597194e-09,-0.299530495819462,0.743,0.874,8.79912662316035e-05
"RPL14",3.61365545291909e-09,-0.377706447133236,0.922,0.962,9.2534875182899e-05
"RPL3",3.69391602838992e-09,-0.301110468445418,0.945,0.976,9.45901077389806e-05
"SUMO2",3.95331472038546e-09,-0.371590189175187,0.756,0.874,0.000101232530044911
"RPL28",3.99334375365013e-09,-0.399877545338369,0.943,0.95,0.000102257553499719
"RPS5",4.27354203158649e-09,-0.349609846772483,0.868,0.918,0.000109432590802835
"SRP14",4.44178502078868e-09,-0.317412738250521,0.896,0.929,0.000113740789027336
"FAU",4.4548870674746e-09,-0.31017414134415,0.888,0.962,0.000114076293136822
"GRASP",4.64284978355595e-09,-0.415691344854602,0.288,0.482,0.000118889454407517
"RPL36AL",4.75842089062567e-09,-0.321976225784967,0.803,0.909,0.000121848883746252
"CLIC1",4.92181180843851e-09,-0.422452722444838,0.642,0.818,0.000126032834978685
"PSMA2",4.96835679789417e-09,-0.419919839993537,0.532,0.703,0.000127224712523676
"SNHG29",5.09579957371408e-09,-0.367173622873493,0.662,0.835,0.000130488139684097
"CIRBP",5.10475153749788e-09,-0.499312714777308,0.722,0.856,0.000130717372620708
"ENO1",5.16675087340457e-09,-0.581686839281349,0.621,0.774,0.000132304989615271
"GABARAP",5.3377691860278e-09,-0.331943433503411,0.86,0.9,0.000136684255546614
"EEF2",5.62120279536013e-09,-0.35620315498531,0.662,0.844,0.000143942139980787
"ANAPC11",5.63404468900333e-09,-0.358012068796919,0.649,0.818,0.000144270982351308
"KCNMB2-AS1",5.88825149133783e-09,0.384859223741849,0.109,0.006,0.000150780455938688
"COX8A",6.26483570990346e-09,-0.383997472857614,0.844,0.897,0.000160423648023498
"RPS25",6.35260134858052e-09,-0.311876669167585,0.917,0.944,0.000162671062733101
"RPL21",6.59552192092984e-09,-0.330607902029711,0.966,0.982,0.00016889152982925
"PSMB1",6.94155780781908e-09,-0.256188180366844,0.636,0.824,0.000177752470784823
"UBC",6.98466159020902e-09,-0.423859040938182,0.842,0.921,0.000178856229340482
"RPS23",7.34955266903656e-09,-0.344867677619826,0.938,0.965,0.000188199995196019
"SQSTM1",7.80745316132776e-09,-0.764197263077714,0.712,0.85,0.00019992545310212
"SSR4",7.94942163914999e-09,-0.44247764533034,0.906,0.956,0.000203560839913714
"SF3B1",9.29040962144538e-09,-0.339891438890726,0.434,0.621,0.000237899519176352
"AGBL4",9.36697154779144e-09,0.468283001522776,0.171,0.038,0.000239860040424295
"CLTA",9.50183614580154e-09,-0.275089293051833,0.644,0.812,0.00024331351818554
"PLOD2",9.58848774451794e-09,-0.810012912752153,0.449,0.641,0.000245532405673871
"EID1",9.8382844431744e-09,-0.34877495183026,0.782,0.874,0.000251928949736367
"DSCAM",1.02300145604563e-08,0.386846463029587,0.179,0.047,0.000261959982849605
"PAIP2",1.02573785555586e-08,-0.342451496199368,0.494,0.676,0.000262660692672189
"RPL23A",1.04620019869926e-08,-0.349504197549791,0.927,0.974,0.000267900484880919
"RPS14",1.08053876100998e-08,-0.346916027315521,0.943,0.974,0.000276693560531825
"SLC25A6",1.21478131314356e-08,-0.383389623471909,0.704,0.847,0.000311069050856671
"CNBP",1.2322943693251e-08,-0.371920075770788,0.519,0.709,0.000315553619153078
"SUCLG1",1.31260514765804e-08,-0.266526768603795,0.361,0.591,0.000336118800160794
"UQCRB",1.42050219160342e-08,-0.341796723375841,0.834,0.924,0.000363747996203887
"C4orf3",1.43836525695611e-08,-0.432555568412623,0.519,0.729,0.000368322191348751
"RPS11",1.47825173414403e-08,-0.38872983740271,0.925,0.962,0.000378535921562263
"SELENOM",1.48529946231076e-08,-0.407762535354132,0.491,0.688,0.000380340633313917
"NUCKS1",1.54483848060143e-08,-0.410671139880758,0.691,0.832,0.000395586789727609
"SH3YL1",1.56969285812922e-08,-0.354673772732903,0.478,0.679,0.00040195125018115
"ATP6V0C",1.59733850094049e-08,-0.30574703655773,0.699,0.862,0.000409030469935832
"COX4I1",1.61948853266017e-08,-0.380506371259748,0.883,0.915,0.000414702428558289
"RPS18",1.61988405518965e-08,-0.347050885941996,0.925,0.968,0.000414803710012414
"RPS20",1.83855059169208e-08,-0.356958534618215,0.894,0.938,0.000470797650014592
"ATP6V0E1",2.08449752365616e-08,-0.337290363595016,0.745,0.871,0.000533777280882633
"ISCA2",2.08569555235749e-08,-0.267050933058428,0.273,0.447,0.000534084060092184
"RPL36",2.43558633267134e-08,-0.328193863398069,0.922,0.971,0.000623680592207151
"EEF1G",2.5479771791416e-08,-0.382186330260543,0.818,0.891,0.00065246051626279
"RPL29",2.65650953738713e-08,-0.369906235631608,0.878,0.935,0.000680252397238723
"SH3GLB1",2.6694314200195e-08,-0.294809590017172,0.392,0.609,0.000683561303724392
"C9orf16",2.67217548323226e-08,-0.381309684321608,0.73,0.862,0.000684263975991284
"RPL35",2.7133730505334e-08,-0.278908920941315,0.86,0.95,0.000694813437050088
"CALM3",2.91821251510548e-08,-0.34083061686097,0.629,0.815,0.000747266678743059
"SKP1",2.92832417854704e-08,-0.335729391111022,0.74,0.865,0.00074985597240054
"SEC11C",2.93464798043453e-08,-0.267988040369796,0.857,0.921,0.000751475308349871
"RPL9",2.94460013917832e-08,-0.341417632144887,0.909,0.965,0.000754023757639393
"PTMA",3.14382584846112e-08,-0.395597994845913,0.878,0.95,0.000805039485015438
"RPL13A",3.28041691664139e-08,-0.32525306039472,0.956,0.974,0.000840016359844361
"COX6C",3.29925108195144e-08,-0.35018450898923,0.813,0.915,0.000844839224555306
"RPL7",3.49807190112929e-08,-0.358164945959829,0.901,0.926,0.000895751271722178
"MPC2",3.57441572805634e-08,-0.36513037944474,0.629,0.815,0.000915300635483388
"TMEM61",3.93119472388562e-08,-0.318515033281622,0.312,0.468,0.00100666103294539
"CSTB",4.04065175989739e-08,-0.325020654126741,0.758,0.874,0.00103468969615692
