"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RERE",1.44627778201657e-10,0.652970516363919,0.389,0.126,3.70348351640984e-06
"AC105402.3",1.23587992526848e-09,0.345978719037578,0.183,0,3.16471772463499e-05
"AL035446.2",3.07027336386608e-09,0.66120661100162,0.175,0,7.86204900285187e-05
"GPHN",6.26692506471585e-09,0.43752335042046,0.202,0.016,0.000160477150132179
"SBF2",1.02618956985945e-08,0.600237811423135,0.345,0.121,0.000262776363153909
"IMMP2L",1.04927706449989e-08,0.502071951076824,0.226,0.033,0.000268688377906486
"PRKN",1.26164180625309e-08,0.440849256024922,0.175,0.005,0.000323068617327228
"ARL15",1.36372844137522e-08,0.851828685803912,0.333,0.11,0.000349209941982952
"PAN3",1.72107495276851e-08,0.549284224265782,0.282,0.077,0.000440715663155433
"UST",1.78118504352306e-08,0.478685113375956,0.21,0.027,0.000456108054094949
"MBD5",1.94409407978677e-08,0.551419028455813,0.278,0.071,0.000497824171010999
"MAP2K4",2.94201562354353e-08,0.366939200639063,0.306,0.088,0.000753361940720793
"PTPRM",3.52274835486661e-08,0.457271919402294,0.242,0.049,0.000902070171230692
"ANKUB1",4.51106106447209e-08,0.283825326483663,0.151,0,0.00115514740677937
"SMYD3",6.34470161475469e-08,0.546503947912809,0.254,0.06,0.00162468774249023
"FMN1",6.67274231299235e-08,0.730854008515965,0.409,0.198,0.00170868912408795
"SIPA1L1",1.23434576005558e-07,0.83782400256285,0.405,0.203,0.00316078918777433
"ZNF804A",1.24338951648915e-07,0.578386878724888,0.274,0.077,0.00318394753487376
"EXOC4",1.48317978584346e-07,0.517239907073821,0.373,0.165,0.00379797847760934
"AP003086.1",1.69002256938526e-07,0.308042817437811,0.139,0,0.00432764079342483
"ELL2",2.05196503508138e-07,0.7565451210062,0.381,0.159,0.00525446686533289
"GAB2",2.12809560015879e-07,0.601077909119961,0.302,0.104,0.00544941440332661
"RPS6KC1",2.79450079020974e-07,0.314782749179436,0.21,0.044,0.00715587817349009
"TCF12",3.10701638201471e-07,0.67110228665391,0.409,0.214,0.00795613684942506
"BNC2",3.31045246065764e-07,0.621163283390555,0.286,0.093,0.00847707561600601
"GNAQ",3.78947693978217e-07,0.874125146782063,0.619,0.429,0.0097037135997002
"LINC00278",5.90548446481872e-07,0.306255853246734,0.179,0.027,0.0151221740690613
"AMBRA1",5.9573344358314e-07,0.257668901335312,0.171,0.022,0.0152549462898335
"RASAL2",6.13221667516196e-07,0.635570246442843,0.329,0.137,0.0157027672400872
"ITSN1",6.44808880823529e-07,0.411978958858539,0.31,0.115,0.0165116210112481
"FTX",7.3850408414833e-07,0.634211974953022,0.488,0.269,0.0189108740827863
"AL356124.1",8.04024775688777e-07,0.423422310905154,0.171,0.022,0.0205886624310625
"VPS13B",8.3603850082237e-07,0.474683540906278,0.282,0.099,0.0214084378905584
"CCSER1",8.41253788435594e-07,0.487787272535651,0.159,0.016,0.0215419857604702
"PLXDC2",9.47191217197682e-07,1.09414731787375,0.683,0.549,0.024254725498781
"NAALADL2",9.61800694380274e-07,0.278266509489336,0.123,0,0.0246288303809957
"PPM1L",1.23891658476922e-06,0.644482983824043,0.345,0.159,0.0317249369861855
"ZSWIM6",1.24167044784437e-06,0.598404465432532,0.365,0.17,0.0317954551579507
"ZKSCAN1",1.32533107497759e-06,0.356230486651776,0.345,0.137,0.0339377528369511
"CCNH",1.34422223527792e-06,0.426872558975624,0.357,0.148,0.0344214987787616
"DLEU1",1.46478408990657e-06,0.482048852827101,0.298,0.121,0.0375087261902375
"NIPBL",1.81423030690717e-06,0.52515935853928,0.54,0.368,0.0464569954689718
"DENND1A",1.89097882691337e-06,0.430524593329489,0.258,0.088,0.0484222948207708
"DOCK4",1.98291485826858e-06,1.26616310193137,0.52,0.357,0.0507765007756834
"LRMDA",2.03861509067634e-06,1.04942914340779,0.456,0.275,0.0522028166269489
"MCU",2.10665793303239e-06,0.277326716804232,0.226,0.06,0.0539451896911604
"SFMBT2",2.1324821668429e-06,0.88129698596183,0.452,0.286,0.0546064708463462
"JMJD1C",2.29709146916848e-06,0.887490029797586,0.492,0.335,0.0588216212509974
"HECTD4",2.52555910439086e-06,0.336930217946375,0.238,0.071,0.0646719919861366
"NHSL1",2.55500383166159e-06,0.343683568194437,0.214,0.055,0.0654259831173584
"MAML3",2.7205482883929e-06,0.533931379590664,0.187,0.038,0.0696650800208769
"ANKRD17",2.8141928580748e-06,0.527651890485637,0.484,0.28,0.0720630365167215
"CLASP2",3.11473921214395e-06,0.399397116843767,0.313,0.137,0.0797591270053702
"MARCH6",3.37738743098956e-06,0.39056344049574,0.373,0.181,0.0864847599453496
"AHI1",3.5246024518719e-06,0.355807282018245,0.27,0.088,0.0902544949850838
"RABGAP1L",3.59153613629136e-06,0.508513175870072,0.329,0.143,0.0919684658420128
"DTNA",3.59167141328745e-06,0.360446234100463,0.206,0.049,0.0919719298800517
"ARHGAP26",3.83121212049938e-06,0.273935431860285,0.274,0.099,0.0981058487696277
"UTY",3.94839869710844e-06,0.306601479726501,0.19,0.044,0.101106645436856
"ATXN1",4.57242022148866e-06,0.68929803492176,0.48,0.297,0.11708596461166
"PIK3R5",5.47047191254639e-06,0.521864509197022,0.44,0.236,0.140082374264575
"FRMD4A",5.62058302113454e-06,0.773482239544074,0.456,0.286,0.143926269422192
"TRAPPC9",7.54718089388143e-06,0.340570555681493,0.198,0.049,0.193260661149622
"KMT2C",7.73401791261149e-06,0.526856613051824,0.567,0.379,0.198044996688242
"SMC5",8.24744965546087e-06,0.353252844590854,0.361,0.176,0.211192443327387
"PBX3",9.11921173871013e-06,0.32707917670304,0.345,0.159,0.23351565499315
"ZBTB20",9.3224523947877e-06,0.592597267758113,0.266,0.099,0.238720038473329
"FTO",9.76747117252652e-06,0.284892895254607,0.198,0.055,0.250115634314887
"LPP",9.76843374268127e-06,0.668508941009986,0.512,0.341,0.250140282848839
"FBXW4",1.07781540670566e-05,0.252157580729312,0.254,0.088,0.275996191195118
