"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AGBL4",0,0.99519110100827,0.312,0.036,0
"KCNMB2-AS1",0,1.16808852102148,0.274,0.006,0
"NPAS3",0,1.19228845219336,0.366,0.089,0
"SNAP25-AS1",0,0.543464255961381,0.268,0.021,0
"DSCAM",0,0.832503506713133,0.319,0.052,0
"CACNB2",8.63418577101093e-290,1.76009657419437,0.533,0.283,2.21095595038277e-285
"DMD",1.00022089366467e-286,1.21573586726791,0.323,0.068,2.56126564240712e-282
"SLC35F4",4.29472139553217e-286,0.933512438394715,0.331,0.074,1.09974930775392e-281
"CACNA1C",3.43668477121718e-278,1.22799819844496,0.439,0.177,8.80031869365584e-274
"GPHN",3.53375816580635e-278,1.03382900787516,0.385,0.123,9.04889453518032e-274
"LINGO2",6.11672740166273e-277,0.904408298112031,0.269,0.036,1.56631038574377e-272
"RGS7",1.22455839637192e-270,1.4418724377134,0.464,0.207,3.13572668558956e-266
"GRIK2",7.59982900430793e-265,0.87486976502107,0.316,0.072,1.94608821313313e-260
"LRRTM4",4.61267771757491e-260,1.08282366582357,0.331,0.086,1.18116838313941e-255
"PDE4D",1.26745614277655e-243,1.84444924415594,0.482,0.249,3.2455749448079e-239
"SOX5",3.63616750983975e-242,1.01544662667526,0.391,0.147,9.31113414244666e-238
"LINC02388",1.37839352745996e-234,0.694580163259408,0.237,0.032,3.52965230576673e-230
"AUTS2",1.86455383633675e-234,1.06138038221832,0.335,0.1,4.77456300870751e-230
"HS6ST3",1.15147440537608e-232,2.11263606113242,0.515,0.32,2.94858050984652e-228
"AC104123.1",2.61654660892528e-229,0.513906058101346,0.176,0.003,6.70019090147496e-225
"AQP4-AS1",3.37827327404143e-229,0.495493643560747,0.229,0.029,8.65074437283789e-225
"AC023424.3",4.66943231246104e-229,0.436009801749331,0.213,0.02,1.1957015322519e-224
"KCNB2",1.9026695334817e-223,1.32315372626465,0.403,0.176,4.8721658743866e-219
"ARL15",9.55837000022646e-223,1.07325189040121,0.407,0.176,2.44761180595799e-218
"PTPRD",6.15096130206918e-222,1.12818572505801,0.31,0.09,1.57507666062085e-217
"PRKN",6.4176538947949e-222,0.414596678597711,0.199,0.017,1.64336863284013e-217
"TMEM132D",3.74886187117229e-212,0.915121141815636,0.353,0.125,9.59971059351089e-208
"SDK1",7.64227144926849e-211,1.42275944596845,0.45,0.239,1.95695645001418e-206
"AL033504.1",7.81682948682273e-210,0.417297270173187,0.197,0.019,2.0016555266907e-205
"WWOX",2.7014956317349e-209,0.954514348850639,0.409,0.177,6.91771986418356e-205
"NLGN1",2.14251833640074e-208,0.933692484504793,0.323,0.103,5.48634670402137e-204
"POU6F2",7.40218133856325e-208,0.897231867648161,0.368,0.135,1.89547657536589e-203
"SNTG1",2.0309735117976e-207,1.27020550962762,0.405,0.182,5.20071387166012e-203
"MAML3",6.34748458884839e-205,0.723561509798257,0.342,0.12,1.62540037866641e-200
"GPC6",3.99713455047556e-199,1.77427155363966,0.502,0.309,1.02354624434028e-194
"MAGI1",5.62828699671908e-199,0.866410906777133,0.414,0.185,1.44123545124986e-194
"PRKCE",7.40378978109943e-199,0.965350305225548,0.468,0.241,1.89588844924613e-194
"MAGI2",6.09672038117045e-198,1.60145860400875,0.481,0.292,1.56118718800632e-193
"CNTN5",9.46617166946351e-197,1.02174862800023,0.223,0.04,2.42400257939952e-192
"RIMS2",5.57280530890664e-194,1.72528205788099,0.511,0.341,1.42702825545172e-189
"DACH1",1.994437771419e-193,1.33425285748323,0.51,0.306,5.10715680127263e-189
"CDH18",1.17906279399989e-192,0.953265303036762,0.273,0.076,3.01922609659552e-188
"DOCK3",4.4778807727703e-189,0.467077074314128,0.225,0.043,1.14665092948329e-184
"BTBD9",9.87652347693521e-188,0.495201769790088,0.248,0.058,2.5290813667388e-183
"CAMKMT",1.38569355129693e-187,0.48424241271739,0.251,0.058,3.54834547680605e-183
"IMMP2L",6.15375725499266e-186,0.75700895229048,0.342,0.135,1.57579262028597e-181
"MT-ND5",1.48755891905002e-184,-0.725120007968747,0.567,0.742,3.80919212401139e-180
"INVS",4.9927924669582e-181,0.433058871608494,0.25,0.064,1.27850436701399e-176
"ULK4",6.6963954916675e-181,0.684625187745023,0.337,0.125,1.7147459935513e-176
"TOX",6.81953791967186e-179,0.711286234552095,0.369,0.15,1.74627907509037e-174
