"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LRRTM4",3.55459833399933e-05,1.53739938219409,0.72,0.16,0.910225995387209
"MIR924HG",7.09044884133293e-05,1.96780271373947,0.56,0.04,1
"GRIK2",0.000177262743918856,1.35312690864806,0.52,0.04,1
"C19orf53",0.000182122855239158,-0.631370348372742,0.72,0.96,1
"TIAM1",0.000187993335127684,0.69577523264839,0.64,0.12,1
"MRPL34",0.000191201665748666,-0.861048085031063,0.72,1,1
"RPS3A",0.000195046572524399,-0.672398795903353,1,1,1
"SUMF2",0.000221988434562136,-0.769895888989768,0.6,0.92,1
"PLGRKT",0.000235579932447266,-0.604423319808157,0.08,0.6,1
"AGBL4",0.000245738577526925,1.98345498598785,0.44,0,1
"LINGO2",0.000245738577526925,1.57735857705315,0.44,0,1
"SLC35F4",0.000260844967249678,1.36094597359801,0.52,0.04,1
"HS6ST3",0.000262807828190439,2.44382069151603,0.76,0.4,1
"HNRNPA1",0.000264561474118216,-0.71196715789084,1,1,1
"RGS7",0.000380608722896598,2.00624603535934,0.76,0.32,1
"SDK1",0.000466863965595881,1.99699273632507,0.72,0.4,1
"CACNB2",0.000487535903308795,1.60197877554037,0.68,0.24,1
"RPL35A",0.00051382505330639,-0.688529548948963,0.92,0.96,1
"JUP",0.000545026973177937,0.421457641986435,0.4,0,1
"TBL1Y",0.000545026973177937,0.718786773383098,0.4,0,1
"PTRHD1",0.000577228788572934,-0.479864735623397,0.48,0.92,1
"RPL28",0.000594076540877892,-0.618643465308603,1,1,1
"PLOD3",0.000646553921019534,-0.602991953079415,0.28,0.68,1
"IFI6",0.000662464072187057,-0.972905818208299,0.44,0.88,1
"B2M",0.000685036865379226,-0.719604917103679,1,1,1
"MORF4L1",0.000685036865379226,-0.747626396430609,1,0.96,1
"RPLP1",0.000735222872785861,-0.596242662395481,1,1,1
"XKR6",0.000759365993985898,0.520781986947995,0.44,0.04,1
"GPCPD1",0.000759365993985898,-0.632419065866062,0.04,0.44,1
"FBXL17",0.000802659460120674,0.997630183335148,0.64,0.2,1
"PIP4K2C",0.000805444500802467,-0.571001649496768,0.08,0.52,1
"EXOC6B",0.000822685814089721,0.792729787249519,0.48,0.08,1
"SNTG1",0.000825606922351433,1.32601312893412,0.64,0.24,1
"CACNA1C",0.000825606922351433,1.85738808216449,0.64,0.24,1
"ARL4C",0.000833886174158338,-1.14039980856755,0.04,0.44,1
"HNRNPA2B1",0.000845995649471841,-0.733080064472549,1,1,1
"TPT1",0.000845995649471841,-0.650230621896476,1,1,1
"COP1",0.000980596313187895,0.709960023159758,0.48,0.08,1
"CLK3",0.00101260462731854,-0.593623932299135,0.2,0.64,1
"XPR1",0.00101587149345486,1.00179873320064,0.76,0.36,1
"IMMP2L",0.00103821611871292,0.869700962268513,0.64,0.24,1
"SKA1",0.00104508222522505,0.84518351738113,0.68,0.28,1
"C6orf226",0.00108387333433069,-0.663520398510635,0.16,0.6,1
"FTO",0.00109988418087106,0.634593152588413,0.56,0.16,1
"AC073529.1",0.00117846575646266,0.992978401840859,0.36,0,1
"RGS3",0.00120502175363461,0.722111588043555,0.44,0.04,1
"EIF4E3",0.0012228286201541,-0.614600140115093,0.12,0.52,1
"COMMD6",0.00135999882204897,-0.830972116699195,0.88,0.92,1
"GPC6",0.00143796346848108,2.45309929866459,0.8,0.52,1
"SKP1",0.00146073539834405,-0.620940897554689,0.88,1,1
"RPL7A",0.00146227784418168,-0.536056345054869,0.96,1,1
"MACROD2",0.00147845670654906,1.55891667233909,0.6,0.16,1
"HECTD4",0.00153953673558014,0.914941187328096,0.8,0.52,1
"GNG10",0.00155924967804387,-0.486435615463746,0.84,1,1
"AUTS2",0.00156041012207843,1.6502163999586,0.52,0.12,1
"RPL11",0.00167076392719621,-0.619555895770164,0.96,1,1
"TPM1",0.0017156091734292,0.438381855433436,0.52,0.08,1
"FAAH2",0.001739858623658,0.565465536262039,0.4,0.04,1
"APOLD1",0.0017450146764971,0.820745927445373,0.72,0.24,1
"CALR",0.00176908171999533,-0.957361962215003,0.76,1,1
"CHRM3",0.00190525067774934,0.975520544026141,0.4,0.04,1
"SLC30A6",0.00190525067774934,0.436510977454555,0.4,0.04,1
"ZNF682",0.00190525067774934,0.421563422160315,0.4,0.04,1
"RPS14",0.00203515780727838,-0.619545953094506,1,1,1
"AARS",0.00213521160713119,0.553887914891641,0.6,0.24,1
"TINF2",0.00214429655389604,-0.546757270933777,0.12,0.52,1
"RPS13",0.00217197182058023,-0.629096479084711,0.96,1,1
"DVL3",0.00217827382313714,-0.732165035810781,0.28,0.64,1
"KRT18",0.0022385996746406,0.690637114718836,0.64,0.16,1
"SYPL1",0.00230488213578616,-0.675359886469496,0.6,0.92,1
"OSER1",0.00231867909797788,-0.436537031283369,0.12,0.52,1
"PTPRD",0.0023264119101325,2.10849173833984,0.64,0.32,1
"GPATCH11",0.00232933515153398,-0.782602180050676,0.36,0.68,1
"FAM193A",0.00233728922153789,0.73040983936826,0.64,0.28,1
"MRPL2",0.0023832128560418,-0.590990378237808,0.16,0.56,1
"GPHN",0.0024086569200254,1.00061955861239,0.68,0.28,1
"TMEM69",0.00248888593748454,-0.348547567628728,0,0.32,1
"STAT4",0.00248888593748454,0.729877449994208,0.32,0,1
"RANBP17",0.00248888593748454,0.493610541884697,0.32,0,1
"MSH5",0.00248888593748454,0.468909538530698,0.32,0,1
"NRG1",0.00248888593748454,2.18006056292472,0.32,0,1
