"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGRMC2",1.70339780784317e-08,-0.490601783726757,0.214,0.496,0.000436189076654401
"MALAT1",2.46763970608368e-08,-0.996124743023739,0.492,0.743,0.000631888499536848
"CCT6A",3.52733797363676e-08,-0.608500606336499,0.395,0.681,0.000903245434909166
"IER3",3.63743888733533e-08,-0.940255148579414,0.525,0.77,0.000931438975879957
"KTN1",5.78867141991664e-08,-0.676995025461778,0.756,0.894,0.00148230509049805
"HNRNPU",7.15633113226938e-08,-0.619981983261183,0.504,0.752,0.00183252171304022
"RAN",7.91667399351106e-08,-0.672854289458613,0.727,0.894,0.00202722270951838
"CALCOCO2",9.18864821318154e-08,-0.432947467555099,0.37,0.619,0.0023529371479494
"RAP1B",1.65983221717493e-07,-0.631512188548786,0.601,0.77,0.00425033235851985
"ETS1",1.75498634952032e-07,-0.426012050700741,0.353,0.619,0.00449399354521668
"LMAN1",1.84381326066238e-07,-0.700136674688717,0.492,0.717,0.00472145261657815
"ERO1A",1.84411482751423e-07,-0.778848383178573,0.265,0.531,0.00472222483881568
"FAM210A",2.06373030336285e-07,-0.39787362814868,0.097,0.31,0.00528459418782126
"CCDC47",2.08542819754415e-07,-0.450188253398234,0.277,0.531,0.00534015598545131
"COL4A1",2.41719950585051e-07,-0.882639220863279,0.853,0.965,0.0061897227746314
"PPP1R15A",2.46826924733915e-07,-0.552651163702367,0.441,0.708,0.00632049706166136
"PRPF4B",3.1151648302675e-07,-0.471789180934393,0.303,0.584,0.007977002580866
"SLC25A36",3.51426057596387e-07,-0.601070937613601,0.218,0.469,0.00899896705687068
"TPM4",4.12203015231978e-07,-0.719101760372065,0.903,0.956,0.0105552826110453
"ENO1",6.19841917119034e-07,-0.938309243375262,0.777,0.85,0.0158722919716671
"DNAJC21",6.28270726564261e-07,-0.451693743579604,0.197,0.425,0.016088128495131
"OSBPL8",8.08714131496537e-07,-0.532759192890589,0.366,0.602,0.0207087427652318
"DNAJC3",1.07987500741944e-06,-0.682197958592035,0.374,0.593,0.0276523593149896
"TCEA1",1.15037987630678e-06,-0.701529625134962,0.479,0.69,0.0294577774925877
"CISD1",1.21473775164033e-06,-0.420778270065879,0.269,0.513,0.031105789606254
"HIST1H1E",1.23277642288621e-06,-0.502056430446711,0.168,0.407,0.0315677058608471
"PITPNB",1.4496649882206e-06,-0.460894322598151,0.223,0.434,0.0371215713533649
"SEC63",1.62412703952718e-06,-0.356291137551088,0.256,0.504,0.0415890211011726
"CD164",1.75868086279816e-06,-0.500140655109372,0.408,0.637,0.0450345408536724
"BTG1",1.97788040101278e-06,-0.693720543916867,0.693,0.823,0.0506475834287343
"CHCHD2",2.13944751724759e-06,-0.685441227854496,0.857,0.938,0.0547848325741591
"EIF1",2.30677099018865e-06,-0.761846552247781,0.937,0.973,0.0590694847457609
"SNX6",2.31923178622548e-06,-0.640659779830089,0.517,0.708,0.059388568349876
"CMTM3",2.37662208527619e-06,-0.347456846213753,0.168,0.398,0.0608581617376675
"PTTG1IP",2.78581045848535e-06,-0.398195909062184,0.298,0.566,0.0713362484104344
"MSC",2.93117454097721e-06,-0.305066855172358,0.206,0.451,0.0750585864708034
"RPLP2",3.30535539647169e-06,-0.713818046708528,0.933,0.965,0.0846402356374505
"FN1",3.39848341212366e-06,-0.974298040166277,0.55,0.743,0.0870249647342506
"SRRM2",3.45557366126542e-06,-0.617529641331515,0.639,0.752,0.0884868747440236
"HK2",3.53393132610246e-06,-0.326403782225119,0.05,0.212,0.0904933794675057
"PSMD8",4.06703926509308e-06,-0.56951575725104,0.697,0.814,0.104144674461238
"FERMT2",4.70770103238872e-06,-0.630516723366522,0.601,0.743,0.120550100336378
"UBC",5.26209074683983e-06,-0.7382538809262,0.903,0.929,0.134746357754328
"RPLP0",5.54814476093374e-06,-0.698251365407505,0.924,0.965,0.14207134289323
"CALM1",5.65741453071186e-06,-0.687022099210424,0.828,0.885,0.144869413887939
"IMP4",5.85795817476589e-06,-0.376833259857271,0.256,0.469,0.15000473498123
"EIF2S3",5.87452148823906e-06,-0.419356123788084,0.235,0.478,0.150428871749338
"SH3GLB1",6.10910294736196e-06,-0.600974801704425,0.508,0.708,0.156435799173098
"GYG1",6.47877493064317e-06,-0.2745191069685,0.164,0.381,0.16590198964898
"SERPINH1",6.57253970581469e-06,-0.553244921016303,0.618,0.796,0.168303024246797
"WASHC4",6.75048495337195e-06,-0.413821050362924,0.172,0.381,0.172859668200995
"KIF5B",8.06012031625853e-06,-0.492772140708862,0.592,0.735,0.206395500938432
"NOL7",8.84827358024378e-06,-0.536048548031368,0.584,0.796,0.226577741569303
"EIF4G2",9.22870915529568e-06,-0.53056609816359,0.651,0.841,0.236319555339657
"RPL30",9.23912026937313e-06,-0.671469447765636,0.929,0.956,0.236586152737838
"HNRNPA1",9.30594329785343e-06,-0.764744068081668,0.664,0.805,0.238297290028133
"BNIP3L",9.34939306070925e-06,-0.577724146731207,0.534,0.735,0.239409908105582
"P4HA1",9.43810108002956e-06,-0.666830876560995,0.441,0.611,0.241681454356317
"AL133453.1",9.76309343680715e-06,-0.348271330037734,0.105,0.292,0.250003533636321
"PNRC1",1.08610197192238e-05,-0.849834653358553,0.588,0.735,0.278118131950164
"SLC3A2",1.08902093362815e-05,-0.658549363979257,0.538,0.708,0.278865590474159
"HNRNPDL",1.11631554736672e-05,-0.546136911319939,0.567,0.717,0.285854922214196
"UGDH",1.16155440428975e-05,-0.285453958411654,0.118,0.31,0.297439236306475
"PHF3",1.18639056109276e-05,-0.464275451949113,0.277,0.478,0.303799030979024
"SRP72",1.18809013534611e-05,-0.40446164225203,0.315,0.549,0.304234240958077
"TREM1",1.19719240938572e-05,-0.591246264770163,0.13,0.327,0.306565060271401
"CYSTM1",1.20079220896223e-05,-0.554023734334667,0.752,0.876,0.307486860948957
