"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"INS",5.91358028606127e-37,6.13237091850831,0.409,0.013,1.51429050385171e-32
"IAPP",4.54538347326236e-33,1.90714304074497,0.41,0.035,1.16393634599829e-28
"TTR",1.62202650210302e-26,1.95862921291335,0.352,0.032,4.15352326393522e-22
"GCG",3.12946668864328e-24,0.290584845462441,0.46,0.139,8.01362534960886e-20
"PPY",6.80736098007972e-20,0.370902843206429,0.241,0.006,1.74316092616901e-15
"CHGB",8.28066055075177e-19,0.699714877932561,0.36,0.088,2.12042874723101e-14
"CHGA",1.1844568555744e-13,0.409616867055883,0.253,0.054,3.03303867006936e-09
"PCSK1N",2.73016560777435e-13,0.956527921116631,0.233,0.047,6.99113507182778e-09
"FXYD2",6.40744619231127e-12,0.456439026069891,0.216,0.047,1.64075474646515e-07
"CRYBA2",8.97035140683462e-12,0.903128205763747,0.253,0.069,2.29703788474814e-07
"CLDN7",1.85925503210926e-10,0.275969881831402,0.131,0.006,4.76099436072218e-06
"REG1A",4.86992526847681e-10,0.260554617763047,0.127,0.006,1.24704176349886e-05
"GAD2",6.25290798855233e-10,0.355526554350796,0.159,0.025,1.6011821486286e-05
"EPCAM",4.47283177786260e-09,0.395688156171038,0.17,0.038,0.000114535803335727
"SCG5",6.04607502240482e-08,0.748574357022048,0.341,0.18,0.0015482184309872
"SEC11C",9.4271262318061e-07,0.329639198945395,0.276,0.139,0.0241400421417859
"SCGN",2.24294904659146e-06,0.496070202990226,0.173,0.063,0.0574351962360674
"VGF",3.31613145447882e-06,0.456150467939541,0.156,0.054,0.084916178154839
"ENO1",1.2355663957211e-05,-0.467764898885633,0.627,0.738,0.316391486952302
"BEX1",2.24460668122549e-05,0.354206230397264,0.162,0.066,0.57477643286141
"PPP1R1A",2.74725655012472e-05,0.264847222013031,0.102,0.025,0.703489984790437
"CACNA1C",0.00010267917547741,0.303565170168392,0.13,0.05,1
"GAS5",0.000136146457477122,-0.37959118903154,0.545,0.64,1
"FAM162A",0.000160399359746814,-0.364863231178383,0.329,0.442,1
"P4HA1",0.000821440217661121,-0.356378687206913,0.253,0.328,1
"CPE",0.000871958027546252,0.618928480625874,0.321,0.24,1
"NRP2",0.000880445644261335,-0.402934980567359,0.125,0.205,1
