"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SST",8.96444840003064e-58,2.02631122682787,0.473,0.048,2.29552630179585e-53
"INS",5.56159635024279e-38,-0.416065563418906,0.358,0.047,1.42415797740667e-33
"PRKG1",1.12979173931966e-22,0.933495136480938,0.222,0.038,2.89305770687585e-18
"LRMDA",6.59431678909753e-22,1.00966311902833,0.242,0.054,1.6886067001842e-17
"GPHN",3.39992410463603e-21,0.672602141747087,0.216,0.038,8.70618565474149e-17
"CHGB",1.38289713248726e-20,1.32994169028155,0.306,0.089,3.54118468716012e-16
"WWOX",4.72168725119906e-20,0.739966033496908,0.213,0.043,1.20908245441454e-15
"CAMKMT",5.45852130025736e-20,0.616986043379529,0.213,0.041,1.3977635493569e-15
"ZBTB20",2.06967070235842e-18,1.17514345581634,0.53,0.351,5.29980576752921e-14
"GMDS",5.08964202593592e-18,0.883013047900099,0.271,0.093,1.30330463358141e-13
"PRKN",5.62235927475169e-18,0.416290405244419,0.149,0.013,1.43971753948567e-13
"FOXP2",5.98420829593672e-18,0.566512259052973,0.205,0.045,1.53237621834051e-13
"TTR",1.00764874132822e-17,-0.567043664856433,0.224,0.048,2.58028613191916e-13
"CDKAL1",1.39114917167951e-17,0.378311475415954,0.183,0.032,3.56231568391972e-13
"AC007368.1",1.7617162898686e-17,0.591040608363535,0.183,0.034,4.51122690346653e-13
"FHIT",2.10773643780748e-17,0.942330693301079,0.229,0.066,5.39728069629361e-13
"LARGE1",2.69994353971289e-17,0.503092611311362,0.197,0.041,6.9137454221428e-13
"RAD51B",2.91510963212922e-17,0.369656435433451,0.148,0.014,7.4647212349933e-13
"SLC9C1",3.61745153861556e-17,0.328640257715453,0.126,0.004,9.26320815493285e-13
"LINC01619",6.0376219857342e-17,0.325460902787365,0.129,0.005,1.54605386188696e-12
"BTBD9",6.75670558293203e-17,0.567150438813013,0.195,0.043,1.73018959862141e-12
"CCSER1",8.28277368972362e-17,0.956761644776162,0.257,0.091,2.12096985872753e-12
"TBC1D5",1.01391588533408e-16,0.665048917171153,0.255,0.088,2.59633440757497e-12
"XKR6",1.1727581544418e-16,0.434324808662749,0.163,0.025,3.00308180607912e-12
"BCAS3",1.37251492193312e-16,0.368023237961304,0.161,0.023,3.51459896059414e-12
"GRIP1",1.65329343330849e-16,0.472182753975984,0.168,0.029,4.23358849467304e-12
"MECOM",2.71490675590303e-16,1.65738837009744,0.436,0.272,6.95206172984088e-12
"IMMP2L",2.83375593850452e-16,0.820737895618186,0.216,0.063,7.25639883172852e-12
"SDK1",3.29422605875805e-16,0.802850864163682,0.219,0.064,8.43552466866174e-12
"AL356124.1",3.41161992959565e-16,0.389045315487054,0.136,0.011,8.73613515371557e-12
"CATSPERB",3.50535226667524e-16,1.83184113969946,0.272,0.111,8.97615554927528e-12
"TTTY14",3.83992287338257e-16,0.567042296833339,0.253,0.086,9.83289050187074e-12
"CHRM3",8.32066310984451e-16,0.611564980045644,0.217,0.064,2.13067220253788e-11
"SMYD3",1.02604122570311e-15,0.452761608192565,0.188,0.045,2.62738376665796e-11
"LDHA",1.95548959136445e-15,-0.396873420718149,0.394,0.596,5.00742219660694e-11
"PRKD1",2.63642825572324e-15,0.410175241026134,0.165,0.03,6.75110183443051e-11
"LINC01876",2.9154400739962e-15,0.39161774011362,0.117,0.005,7.46556739748208e-11
"ZFAND3",3.41532610045829e-15,0.844800786300146,0.265,0.107,8.74562554544354e-11
"NR6A1",3.73758972885016e-15,0.330412378543741,0.14,0.018,9.5708460186666e-11
"TRAPPC9",4.53550902293769e-15,0.447296939220045,0.185,0.045,1.16140779550365e-10
"IAPP",4.62677824686527e-15,0.315129181848612,0.307,0.122,1.18477910567479e-10
"MAML3",7.05966695935969e-15,0.562799499142141,0.178,0.041,1.80776891828324e-10
"DPP10",8.00444039558396e-15,0.409880257996722,0.145,0.021,2.04969705209718e-10
"NR3C2",8.21532375079372e-15,0.606138671126231,0.199,0.057,2.10369795286575e-10
"ZSWIM6",9.18321411852478e-15,0.738710918966602,0.26,0.102,2.35154563933064e-10
"MAGI3",9.38179461085455e-15,0.372319794730244,0.225,0.072,2.40239614600152e-10
"ARL15",1.44105766048431e-14,0.580869920862419,0.162,0.034,3.69011635120217e-10
"COP1",1.45353896144965e-14,0.40924386808602,0.209,0.064,3.72207721858412e-10
"FGD4",3.34121751243376e-14,0.587634859765095,0.309,0.147,8.55585568408914e-10
"VPS13B",3.98144411640147e-14,0.390107591294298,0.213,0.066,1.01952839488692e-09
"EXT1",4.19606829750894e-14,0.776431617004716,0.256,0.106,1.07448720894311e-09
"FRMD5",4.79792066277731e-14,0.629732273292466,0.151,0.029,1.22860354411739e-09
"FAF1",4.85147444232063e-14,0.55423484906535,0.231,0.086,1.24231706044504e-09
"EXOC4",5.66130002925848e-14,0.697984358543646,0.28,0.131,1.44968909849222e-09
"NR5A2",6.67093315490203e-14,1.03551201502395,0.423,0.249,1.70822585297576e-09
"AC008014.1",1.00498719339252e-13,0.414925150183557,0.137,0.021,2.57347070612023e-09
"PARD3",1.09791731656986e-13,0.92528967371275,0.301,0.143,2.81143687254045e-09
"VTI1A",1.12329947331792e-13,0.364650775136336,0.205,0.066,2.87643296132519e-09
"MAGI1",1.28387024875843e-13,1.25783481746388,0.352,0.197,3.2876065459957e-09
"THRB",1.32182914346878e-13,0.541272669501118,0.194,0.059,3.38480788768051e-09
"PAM",1.52687724333852e-13,0.573380152602864,0.295,0.136,3.90987455701696e-09
"AGAP1",1.86815402515103e-13,0.561794696596177,0.24,0.097,4.78378201220425e-09
"TMTC2",1.9966281864103e-13,0.619663924752996,0.222,0.079,5.11276579694086e-09
"EXOC6B",2.47407587564579e-13,0.768018030584768,0.241,0.095,6.33536609476618e-09
"SIPA1L3",2.75218886573511e-13,0.498085376214863,0.213,0.073,7.04753002848789e-09
"AC083837.1",2.87325990197869e-13,0.764142593297315,0.163,0.039,7.35755663099683e-09
