"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ACTG1",2.17810510665854e-39,-1.05965361330908,0.824,0.935,5.57747374662053e-35
"UBC",5.89435242941896e-38,-1.08566211759454,0.687,0.852,1.50936682660131e-33
"B2M",6.14725495442867e-37,-1.08642472814646,0.895,0.962,1.57412757618055e-32
"LDHA",8.39530184283555e-37,-1.13776949292178,0.527,0.771,2.1497849428949e-32
"H3F3B",9.87085210289962e-36,-0.983985290451085,0.79,0.908,2.5276290979895e-31
"PPY",1.59923539711458e-35,-0.777837519063623,0.205,0.015,4.0951620813913e-31
"AC000061.1",1.71648299673732e-35,1.3249631896964,0.179,0.004,4.39539800974525e-31
"EIF1",9.43545611710708e-35,-0.871686670396019,0.788,0.898,2.41613724790761e-30
"PTMA",2.84121564177448e-34,-1.04824075867363,0.77,0.88,7.2755008938919e-30
"S100A11",4.06944027316497e-34,-1.14301156445696,0.81,0.909,1.04206157074935e-29
"TNFRSF12A",7.92988515691962e-34,-0.872378535442226,0.489,0.728,2.03060569213241e-29
"C4orf3",1.36042841346775e-33,-0.802431071782501,0.393,0.669,3.48364903836687e-29
"TMSB4X",1.3871537104027e-33,-0.972645139242729,0.835,0.93,3.55208450622819e-29
"ARPC3",6.72023581265384e-33,-0.883290607392406,0.594,0.789,1.72085078454627e-28
"ACTB",5.41186217968098e-32,-0.9412597973004,0.812,0.925,1.38581554835091e-27
"RNF7",1.32462669007619e-31,-0.624422019423792,0.394,0.638,3.3919715652781e-27
"MYL12A",2.51740327647667e-31,-0.856827684517858,0.592,0.788,6.44631457007382e-27
"SPINT2",4.15078704672226e-31,-0.810213779371767,0.638,0.817,1.06289203905417e-26
"SAT1",5.02603999461039e-31,-0.894738645784728,0.814,0.925,1.28701806141988e-26
"BTF3",6.79269390236171e-31,-0.913400778065851,0.504,0.707,1.73940512757776e-26
"SRP14",7.88930056433131e-31,-0.803904628213466,0.734,0.875,2.02021319550832e-26
"NACA",1.06158100997996e-30,-0.874997890599617,0.633,0.789,2.71839049225569e-26
"PCBP1",1.55989848722522e-30,-0.68073848075789,0.412,0.658,3.99443205623761e-26
"TMSB10",2.37854231727559e-30,-1.05474494222995,0.8,0.893,6.09073331184759e-26
"SST",8.74514156381835e-30,-1.21553699347897,0.37,0.142,2.23936840024696e-25
"ANXA5",1.09786729627316e-29,-0.694922309269371,0.602,0.794,2.81130878556668e-25
"SUMO2",2.33821076012974e-29,-0.772190446983153,0.517,0.728,5.98745629346423e-25
"PDIA6",3.91462894372731e-29,-0.698953010763508,0.516,0.736,1.00241903362025e-24
"NPM1",5.9017485359877e-29,-0.802718791924333,0.555,0.748,1.51126074761037e-24
"CALM2",6.46329817130965e-29,-0.723103902240272,0.67,0.838,1.65505676272726e-24
"JUND",8.9064121844901e-29,-0.629904760553787,0.512,0.725,2.28066496808238e-24
"HMGN1",9.02867271771939e-29,-0.600732900039961,0.554,0.768,2.31197222282641e-24
"VDAC2",1.52338324051943e-28,-0.669344053602977,0.437,0.678,3.90092746399811e-24
"ITM2B",1.65793886556174e-28,-0.825507936479914,0.75,0.873,4.24548405304395e-24
"MYL12B",1.80921058749938e-28,-0.976767520862583,0.657,0.818,4.63284555140966e-24
"PSMA2",3.1657885835282e-28,-0.56708191261591,0.411,0.651,8.10663482584067e-24
