gene,HP22068_G11,HP22068_G2,HP22095_G11,HP22095_G2,HP22182_G11,HP22182_G2
AL627309.1,7,4.216008529,15.25428934,9,19,16
AL627309.5,11,17,27.63912302,28.60691339,59.49190112,18.14781283
AL627309.4,13.05134794,8,6,31,16,16.51045026
AP006222.2,3,0,17.88504555,18,54.61954171,21
AL669831.2,11,5.860634936,4,12,2.460461122,12
LINC01409,206.22587,203.0039854,377.0938059,256.2348859,446.3528019,450.3283125
FAM87B,3.850232438,11,1.59804178,6,9,21
LINC01128,478.8428134,707.91272,1522.244491,1151.26427,1700.917784,1389.014781
LINC00115,70.13287566,87.24796031,24.64619326,51,75.91613493,62.97542844
FAM41C,42,37.65736547,54.17770983,60,147.0870767,74.17667403
AL645608.2,4,11,3,7,9,10
LINC02593,47,50.638644,57.09132861,37,83.16859344,52
SAMD11,1444.914864,2396.958578,2923.32193,2127.499469,9906.123877,4523.493369
NOC2L,640.9420088,831.243735,1157.507652,816.5762517,1632.684234,1054.851273
KLHL17,67.31315094,92.38700308,76.50993035,56.65272247,108.1287344,50.71370102
PLEKHN1,78,54.20781428,30.88459198,49.93649207,41.45985076,68.5717948
PERM1,10.96133447,7.008830116,2.940999981,3.642085003,6.146732783,10
AL645608.7,17.37397291,21.54586534,14,6.683589915,24,14
HES4,975.7189424,1445.13541,1185.831416,1471.352245,2849.641227,2294.857062
ISG15,544.6385309,801.9464246,1705.198748,1286.469493,2746.375391,1544.318093
AGRN,316.2748486,351.6187646,165.8465087,125.0637898,361.2642885,325.7499985
RNF223,6,17,3,20.58346522,13.16261761,34.09968756
C1orf159,98.24198934,103.4863252,265.0929632,62.59342678,109.7796641,94.77041703
AL390719.3,3,0,21.91008537,0,3,1
AL390719.2,112.4502595,100.140083,90.8968164,93,84.71739115,79.5970407
TTLL10,19,23,18.05886895,4.451374748,15,16.36918541
TNFRSF18,64.86549129,97.06979565,100.4310062,48.60388664,128.7606235,124.3011004
TNFRSF4,118.719531,224.9419712,578.6017569,276.4747749,1515.872934,271.4717236
SDF4,1474.341028,2215.628728,3823.521006,3269.794842,5403.442848,3405.684935
B3GALT6,380.8847345,656.1200393,844.9507327,787.4515214,1286.06655,845.3699774
C1QTNF12,19.67454769,49,30,17.55105787,70.43282356,29.40594283
UBE2J2,662.0589315,1114.355858,1551.904979,1099.473927,1698.162221,1436.340826
SCNN1D,29,22,27,20,7.909226138,10.16485552
ACAP3,441.2106235,592.8683912,869.3592803,544.6735932,734.4946566,645.554409
PUSL1,210.3956574,480.7629065,536.9927276,550.7002845,690.6237481,467.0614521
INTS11,472.6310884,727.7249648,757.6374564,634.7625328,1121.807064,795.9927166
CPTP,122.1839399,156.3370916,134.4649606,106.1962687,265.8215629,113.2798528
DVL1,341.4109889,459.9195681,452.9596263,438.8836178,544.1294964,502.0262399
MXRA8,180.8120378,164.2673547,269.8289335,246.4391154,430.694456,340.4613939
AURKAIP1,4009.496207,6740.693203,9539.960134,7428.261504,12064.57451,6974.604198
CCNL2,1166.666824,1344.504715,1620.16889,1487.514711,1614.704486,1578.989194
MRPL20-AS1,129.5345662,213.7600698,355.8893113,265.0353335,461.4612657,317.5999639
MRPL20,4373.778315,6403.050379,9374.192858,7175.85093,12446.78662,6630.764455
AL391244.2,8.516473211,19,24,13,30,23.18897735
ANKRD65,519.1330919,916.603818,1740.997015,1215.852297,2062.546872,1255.833133
VWA1,1501.287565,2443.756731,4330.180641,3165.984261,4916.244839,2962.801891
ATAD3C,359.0904695,560.2811216,738.6703087,544.7861291,1167.470206,628.6236562
ATAD3B,111.2236812,157.2110832,289.9978578,162.2579759,515.7643099,239.7517408
ATAD3A,189.7378043,262.3658984,476.1116582,304.18198,602.0067653,297.9775276
TMEM240,58.91118757,102.1605266,140.7731433,130,200.2082513,131.3074659
SSU72,2548.035784,4341.427877,6959.474854,5529.001192,8396.418454,5520.434471
AL645728.1,22.04027352,62,62.73941151,30.90305428,172.6406053,95.77346149
FNDC10,89.63193854,173.6295238,237,142.1566387,242.3722008,150.22341
AL691432.4,3.87198671,6,3.652759625,6,31,20
AL691432.2,138.8157632,272.9108509,455.6433004,312.4888083,583.8825743,356.9949589
MIB2,276.4645274,522.7321167,497.1503759,426.2552953,846.271066,603.104709
MMP23B,12,20.96299149,29,32,25,17.62234411
CDK11B,432.8514989,465.3387225,819.8968269,470.4468182,1231.139776,984.703595
FO704657.1,15.12708256,12.31901188,30,27,51.17248234,22.86154347
SLC35E2B,184.751726,237.8727326,344.8643956,140.2474793,363.502738,476.9596709
CDK11A,529.9750033,567.5791842,621.3811678,481.8489672,859.4923444,795.109596
SLC35E2A,150.6303838,167.4911646,456.4244353,229.8318619,212.2976753,193.2453257
NADK,217.3427389,377.6230232,533.2590441,293.7781,453.3865478,370.0393486
GNB1,3007.396855,4790.678426,9337.461782,5770.392863,9658.998524,6603.848998
AL109917.1,11,33.41029301,18.37342726,13.11955469,58.62160842,21.59788407
TMEM52,15.27597887,14,28.72040459,5.868406754,22.42922173,11.74968972
CFAP74,6,6,8.937809002,4.463707542,24,18
GABRD,9,21.04624187,19,20,84.63357703,87.65191636
PRKCZ,160.0248825,231.2453084,453.6329909,177.5795581,391.7950802,325.4546414
AL590822.2,13.04835621,14,3.765852374,6,12,21
PRKCZ-AS1,12.39252988,29.96852759,28,17,30.03134424,15
FAAP20,1621.5726,2455.725087,4923.520679,4267.889923,5765.995981,3445.357853
AL590822.1,3,0,16.7667596,0,0,0
SKI,202.160413,355.9446177,768.3636938,427.7645685,711.5385968,546.355321
AL590822.3,7,5,7,7,10,8.273149725
MORN1,89.6826596,101.1296273,258.8136961,118.3453607,172.9140581,154.5923501
AL513477.2,15.67839129,16,26.00757404,6.861328166,10.07645146,1.459709134
RER1,1766.134595,2820.832719,3364.922574,2991.652742,4597.993553,2673.643294
PEX10,248.732125,408.4772794,706.0443257,548.263153,894.5537552,485.0781136
