ionIdx	ionMz	ionAverageInt	ionTopFormula	ionTopIon	ionTopName	D1 LG	D1 HG	D2 LG	D2 HG	D3 LG	D3 HG	D4 LG	D4 HG	D5 LG	D5 HG		
1004	463.2824	12453.81507	C23H45O7P	-H(-)	(eicosenoyl)-glycero-phosphate	11808.5	12323.5	7418.5	8396	8972.5	9343	12857.5	12322.5	10733.5	9990.5	CHEBI:88431	CHEBI:88431
401	215.0028	30045.16348	C8H8O5S	-H(-)	(ethenyl-hydroxyphenyl)oxid...	24389	25644	16958	18816	23158	23802.5	25491.5	26523	26365.5	25904	HMDB0094599	HMDB0094599
638	293.0482	24594.7841	C14H14O5S	-H(-)	"(hydroxy-1,diphenylethoxy)s..."	25287.5	21763.5	13901	13384.5	23432	30805	30424	31581	23326	42875.5	HMDB0034562	HMDB0034562
175	154.9655	18106.43596	C2H4O6S	-H(-)	(sulfooxy)acetic acid	25206.5	18536	11945	14105	24377	18101.5	24426	22748	26634	23541	HMDB0062364	HMDB0062364
1048	501.0890	7343.00818	C20H22O15	-H(-)	[({[(carboxy-trihydroxyoxan...	8007	6600.5	6486.5	5491.5	7673.5	9444	8407.5	16733	8160	6663	C19422	C19422
1090	546.0521	13063.48383	C23H17NO15	-H(-)	"[({[dihydroxy-(3,4,trihydro..."	18188	17970.5	5131.5	4958	19320	23295	21597.5	24331	14814.5	17770.5	HMDB0060754	HMDB0060754
1063	517.1420	13794.63103	C18H30O17	-H(-)	[({[dihydroxy-bis(hydroxyme...	25888	12572.5	5654.5	5050	24716.5	28342	24283.5	23382.5	13013	11615	C03870	C03870
959	427.1252	12424.38594	C19H24O11	-H(-)	[(carboxymethyl)-dihydroxy-...	21664	22055.5	6080	5542	11182	11898.5	16715.5	24225.5	12392.5	11741	HMDB0115038	HMDB0115038
520	255.0327	15183.7068	C11H12O5S	-H(-)	[(methyl-oxo-phenylbut-en-y...	15905.5	14678	11882	12523.5	15184	14844.5	15587	15958.5	16208.5	15567.5	HMDB0125227	HMDB0125227
666	303.0687	48170.61304	C16H16O4S	-H(-)	[(phenylcyclobutyl)phenyl]o...	80315.5	58614	21304.5	19392	73087.5	84562.5	71656	86986	59312	59751.5	C11462	C11462
601	281.1019	35276.2815	C14H18O6	-H(-)	[dihydroxy-(hydroxy-methylb...	52678	40884.5	18868	17563.5	44389	46891	48949	45979.5	42711	40372.5	HMDB0062313	HMDB0062313
900	400.9810	15953.8877	C14H10O12S	-H(-)	[dihydroxy-(sulfooxy)benzoy...	15274	16027.5	12275.5	15019	16804	17425.5	15647	20954.5	15964	19305	C17767	C17767
1076	532.0860	7441.270492	C24H21O14	-H(-)	{[(carboxy-trihydroxyoxan-y...	8715	9427	4596	4758	7788	7878	14391.5	14524	9169.5	8787.5	HMDB0060754	HMDB0060754
958	427.0340	162953.3178	C17H16O11S	-H(-)	{[dioxo-(trihydroxy-methoxy...	276107.5	170364.5	58065.5	41606	232640	315130.5	260313	288020	220448.5	255115	HMDB0037246	HMDB0037246
