Protein	Donor	Type	Replicate	Value
DDX6	1	H	1	7259.64
DDX6	1	H	2	10297.03037
DDX6	1	H	3	8516.316019
DDX6	2	H	1	8333.721918
DDX6	2	H	2	8229.762421
DDX6	2	H	3	9130.932574
DDX6	3	H	1	5966.695332
DDX6	3	H	2	8374.566543
DDX6	3	H	3	5657.618221
DDX6	4	H	1	5381.492733
DDX6	4	H	2	3567.262111
DDX6	4	H	3	0
DDX6	5	H	1	10482.7238
DDX6	5	H	2	9186.550134
DDX6	5	H	3	8539.148013
DDX6	6	H	1	9498.623931
DDX6	6	H	2	8859.912084
DDX6	6	H	3	10578.85668
DDX6	1	L	1	8926.821204
DDX6	1	L	2	12630.24119
DDX6	1	L	3	11064.69643
DDX6	2	L	1	15865.81827
DDX6	2	L	2	14976.37702
DDX6	2	L	3	13678.78261
DDX6	3	L	1	12531.46435
DDX6	3	L	2	11998.74021
DDX6	3	L	3	9529.530103
DDX6	4	L	1	12253.80104
DDX6	4	L	2	12451.59584
DDX6	4	L	3	7657.238473
DDX6	5	L	1	12904.82839
DDX6	5	L	2	11656.52226
DDX6	5	L	3	10520.42176
DDX6	6	L	1	12670.64241
DDX6	6	L	2	12590.27155
DDX6	6	L	3	10542.19454
EEF1A1	1	H	1	433624
EEF1A1	1	H	2	426516.1382
EEF1A1	1	H	3	429268.8828
EEF1A1	2	H	1	230774.5885
EEF1A1	2	H	2	243709.7154
EEF1A1	2	H	3	232805.4659
EEF1A1	3	H	1	181834.7086
EEF1A1	3	H	2	178695.8918
EEF1A1	3	H	3	203529.3153
EEF1A1	4	H	1	109972.9932
EEF1A1	4	H	2	122389.3888
EEF1A1	4	H	3	110624.1969
EEF1A1	5	H	1	270371.3284
EEF1A1	5	H	2	283342.2223
EEF1A1	5	H	3	333103.7543
EEF1A1	6	H	1	343425.6576
EEF1A1	6	H	2	332299.8059
EEF1A1	6	H	3	306677.4512
EEF1A1	1	L	1	506843.4134
EEF1A1	1	L	2	508549.7226
EEF1A1	1	L	3	524079.7251
EEF1A1	2	L	1	328389.8001
EEF1A1	2	L	2	316650.0988
EEF1A1	2	L	3	295750.2913
EEF1A1	3	L	1	251021.3786
EEF1A1	3	L	2	261236.3185
EEF1A1	3	L	3	236267.1911
EEF1A1	4	L	1	149426.9896
EEF1A1	4	L	2	122633.3109
EEF1A1	4	L	3	147789.8644
EEF1A1	5	L	1	312274.5572
EEF1A1	5	L	2	335547.91
EEF1A1	5	L	3	296723.1693
EEF1A1	6	L	1	392856.4242
EEF1A1	6	L	2	398784.1874
EEF1A1	6	L	3	366553.5158
ATP5J	1	H	1	94383.4
ATP5J	1	H	2	109359.1735
ATP5J	1	H	3	104684.0924
ATP5J	2	H	1	104345.9432
ATP5J	2	H	2	110138.236
ATP5J	2	H	3	120847.0019
ATP5J	3	H	1	101412.9076
ATP5J	3	H	2	106234.4363
ATP5J	3	H	3	117029.2989
ATP5J	4	H	1	72143.7028
ATP5J	4	H	2	76548.2552
ATP5J	4	H	3	69488.50883
ATP5J	5	H	1	85790.34493
ATP5J	5	H	2	90171.32508
ATP5J	5	H	3	90751.03266
ATP5J	6	H	1	104802.4798
ATP5J	6	H	2	120586.1263
ATP5J	6	H	3	110734.9635
ATP5J	1	L	1	74946.31154
ATP5J	1	L	2	74992.37259
ATP5J	1	L	3	88053.72029
ATP5J	2	L	1	69460.56391
ATP5J	2	L	2	65905.52717
ATP5J	2	L	3	77767.07905
ATP5J	3	L	1	62756.6148
ATP5J	3	L	2	66975.06482
ATP5J	3	L	3	72641.97799
ATP5J	4	L	1	64360.0519
ATP5J	4	L	2	52029.46861
ATP5J	4	L	3	54633.50796
ATP5J	5	L	1	81973.10801
ATP5J	5	L	2	78534.702
ATP5J	5	L	3	87579.4132
ATP5J	6	L	1	95645.00406
ATP5J	6	L	2	102503.8927
ATP5J	6	L	3	92829.03505
TUBB4B	1	H	1	121189
TUBB4B	1	H	2	134863.4469
TUBB4B	1	H	3	130473.9757
TUBB4B	2	H	1	171461.108
TUBB4B	2	H	2	167003.1414
TUBB4B	2	H	3	163804.0419
TUBB4B	3	H	1	140307.3854
TUBB4B	3	H	2	134859.2612
TUBB4B	3	H	3	138295.678
TUBB4B	4	H	1	47775.33412
TUBB4B	4	H	2	53346.73157
TUBB4B	4	H	3	51200.77773
TUBB4B	5	H	1	144376.4714
TUBB4B	5	H	2	169062.974
TUBB4B	5	H	3	163072.6902
TUBB4B	6	H	1	197076.6848
TUBB4B	6	H	2	192763.6461
TUBB4B	6	H	3	215658.01
TUBB4B	1	L	1	179809.377
TUBB4B	1	L	2	199641.5763
TUBB4B	1	L	3	183911.2333
TUBB4B	2	L	1	234011.8036
TUBB4B	2	L	2	229182.9145
TUBB4B	2	L	3	226295.6921
TUBB4B	3	L	1	219612.0904
TUBB4B	3	L	2	221808.7575
TUBB4B	3	L	3	212748.9186
TUBB4B	4	L	1	48367.42862
TUBB4B	4	L	2	69599.06805
TUBB4B	4	L	3	51046.3914
TUBB4B	5	L	1	223731.7278
TUBB4B	5	L	2	213214.369
TUBB4B	5	L	3	195153.1467
TUBB4B	6	L	1	224290.6652
TUBB4B	6	L	2	209685.5938
TUBB4B	6	L	3	224312.2522
TUBB2A	1	H	1	121189
TUBB2A	1	H	2	134863.4469
TUBB2A	1	H	3	130473.9757
TUBB2A	2	H	1	171461.108
TUBB2A	2	H	2	167003.1414
TUBB2A	2	H	3	163804.0419
TUBB2A	3	H	1	140307.3854
TUBB2A	3	H	2	134859.2612
TUBB2A	3	H	3	138295.678
TUBB2A	4	H	1	47775.33412
TUBB2A	4	H	2	53346.73157
TUBB2A	4	H	3	51200.77773
TUBB2A	5	H	1	144376.4714
TUBB2A	5	H	2	169062.974
TUBB2A	5	H	3	163072.6902
TUBB2A	6	H	1	197076.6848
TUBB2A	6	H	2	192763.6461
TUBB2A	6	H	3	215658.01
TUBB2A	1	L	1	179809.377
TUBB2A	1	L	2	199641.5763
TUBB2A	1	L	3	183911.2333
TUBB2A	2	L	1	234011.8036
TUBB2A	2	L	2	229182.9145
TUBB2A	2	L	3	226295.6921
TUBB2A	3	L	1	219612.0904
TUBB2A	3	L	2	221808.7575
TUBB2A	3	L	3	212748.9186
TUBB2A	4	L	1	48367.42862
TUBB2A	4	L	2	69599.06805
TUBB2A	4	L	3	51046.3914
TUBB2A	5	L	1	223731.7278
TUBB2A	5	L	2	213214.369
TUBB2A	5	L	3	195153.1467
TUBB2A	6	L	1	224290.6652
TUBB2A	6	L	2	209685.5938
TUBB2A	6	L	3	224312.2522
TUBB	1	H	1	121189
TUBB	1	H	2	134863.4469
TUBB	1	H	3	130473.9757
TUBB	2	H	1	171461.108
TUBB	2	H	2	167003.1414
TUBB	2	H	3	163804.0419
TUBB	3	H	1	140307.3854
TUBB	3	H	2	134859.2612
TUBB	3	H	3	138295.678
TUBB	4	H	1	47775.33412
TUBB	4	H	2	53346.73157
TUBB	4	H	3	51200.77773
TUBB	5	H	1	144376.4714
TUBB	5	H	2	169062.974
TUBB	5	H	3	163072.6902
TUBB	6	H	1	197076.6848
TUBB	6	H	2	192763.6461
TUBB	6	H	3	215658.01
TUBB	1	L	1	179809.377
TUBB	1	L	2	199641.5763
TUBB	1	L	3	183911.2333
TUBB	2	L	1	234011.8036
TUBB	2	L	2	229182.9145
TUBB	2	L	3	226295.6921
TUBB	3	L	1	219612.0904
TUBB	3	L	2	221808.7575
TUBB	3	L	3	212748.9186
TUBB	4	L	1	48367.42862
TUBB	4	L	2	69599.06805
TUBB	4	L	3	51046.3914
TUBB	5	L	1	223731.7278
TUBB	5	L	2	213214.369
TUBB	5	L	3	195153.1467
TUBB	6	L	1	224290.6652
TUBB	6	L	2	209685.5938
TUBB	6	L	3	224312.2522
TUBB2B	1	H	1	121189
TUBB2B	1	H	2	134863.4469
TUBB2B	1	H	3	130473.9757
TUBB2B	2	H	1	171461.108
TUBB2B	2	H	2	167003.1414
TUBB2B	2	H	3	163804.0419
TUBB2B	3	H	1	140307.3854
TUBB2B	3	H	2	134859.2612
TUBB2B	3	H	3	138295.678
TUBB2B	4	H	1	47775.33412
TUBB2B	4	H	2	53346.73157
TUBB2B	4	H	3	51200.77773
TUBB2B	5	H	1	144376.4714
TUBB2B	5	H	2	169062.974
TUBB2B	5	H	3	163072.6902
TUBB2B	6	H	1	197076.6848
TUBB2B	6	H	2	192763.6461
TUBB2B	6	H	3	215658.01
TUBB2B	1	L	1	179809.377
TUBB2B	1	L	2	199641.5763
TUBB2B	1	L	3	183911.2333
TUBB2B	2	L	1	234011.8036
TUBB2B	2	L	2	229182.9145
TUBB2B	2	L	3	226295.6921
TUBB2B	3	L	1	219612.0904
TUBB2B	3	L	2	221808.7575
TUBB2B	3	L	3	212748.9186
TUBB2B	4	L	1	48367.42862
TUBB2B	4	L	2	69599.06805
TUBB2B	4	L	3	51046.3914
TUBB2B	5	L	1	223731.7278
TUBB2B	5	L	2	213214.369
TUBB2B	5	L	3	195153.1467
TUBB2B	6	L	1	224290.6652
TUBB2B	6	L	2	209685.5938
TUBB2B	6	L	3	224312.2522
DDX3X	1	H	1	22323.1
DDX3X	1	H	2	24977.84162
DDX3X	1	H	3	23331.4461
DDX3X	2	H	1	23433.60918
DDX3X	2	H	2	21743.64227
DDX3X	2	H	3	21443.59748
DDX3X	3	H	1	20904.34098
DDX3X	3	H	2	17771.77068
DDX3X	3	H	3	20374.03049
DDX3X	4	H	1	12688.24247
DDX3X	4	H	2	9647.019301
DDX3X	4	H	3	7134.66847
DDX3X	5	H	1	22066.28059
DDX3X	5	H	2	22013.16714
