"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SST",7.63436304763562e-37,4.08368171503891,0.354,0.008,1.95493134560805e-32
"INS",4.93568667134984e-21,0.749921650310691,0.225,0.01,1.26388128593255e-16
"PPY",2.12095642919375e-17,2.01514699701344,0.165,0,5.43113312823643e-13
"IAPP",6.6977982496014e-14,1.07769843079376,0.225,0.048,1.71510519777543e-09
"CHGB",1.04844400990359e-13,1.45817881828966,0.205,0.035,2.68475057616011e-09
"BEX1",1.7434160155248e-13,0.392739728637623,0.177,0.023,4.46436539095436e-09
"PRKG1",2.86643213372378e-13,0.632094406180277,0.207,0.045,7.34007276482649e-09
"TTTY14",1.47783685195868e-12,0.784413271066821,0.256,0.083,3.7842968268106e-08
"SCG5",2.53078383770215e-12,0.790183823662518,0.221,0.053,6.48057817320389e-08
"GCG",1.00428436205087e-11,1.37771089762554,0.376,0.163,2.57167096590366e-07
"TTR",3.63580484859981e-11,1.15364370752528,0.129,0.01,9.31020547580954e-07
"TMEM117",1.35997626225931e-10,0.273359553011429,0.131,0.015,3.48249121476742e-06
"GPHN",1.9846183517189e-10,0.590913819571859,0.199,0.058,5.08201221324658e-06
"CAMKMT",6.32620883765819e-10,0.417016586229265,0.189,0.053,1.61995229705913e-05
"LDHA",6.43752587823345e-10,-0.905394684803798,0.533,0.721,1.64845725163924e-05
"RBP4",1.28051568345088e-09,0.876884499306348,0.107,0.008,3.27901651061266e-05
"AC007368.1",1.80389419044533e-09,0.438415037686454,0.151,0.033,4.61923185347335e-05
"TBC1D5",1.97898483821101e-09,0.445052178538979,0.254,0.103,5.06758647520695e-05
"XKR6",2.28509827111105e-09,0.260789700442039,0.133,0.023,5.85145114283408e-05
"BTBD9",3.16096227490713e-09,0.418955825472659,0.165,0.043,8.09427609735469e-05
"CHGA",4.79063460038341e-09,0.481921315673603,0.101,0.008,0.000122673780212018
"WWOX",5.63867168605598e-09,0.54428114129533,0.183,0.058,0.000144389465864836
"PRKN",1.28925903556665e-08,0.297713577294274,0.115,0.018,0.000330140561237553
"CATSPERB",1.36685089004191e-08,1.46595769043979,0.252,0.118,0.000350009507413031
"SLC6A8",2.27483799340992e-08,-0.64806192748322,0.201,0.354,0.000582517764972477
"FTX",4.22376733134059e-08,0.416067097300319,0.33,0.186,0.00108158010053638
"FOXP2",4.72411349584377e-08,0.350458789238259,0.169,0.053,0.00120970374288071
"SNHG14",4.90462718278292e-08,0.33166730653123,0.278,0.133,0.00125592788269522
"AL356124.1",7.12716037405007e-08,0.264896639636952,0.109,0.018,0.001825051956983
"RAD51B",8.13583593372171e-08,0.253928711591807,0.111,0.02,0.00208334350754812
"LARGE1",1.18206703380347e-07,0.341996394633819,0.169,0.055,0.00302691905346054
"HIST1H1C",2.16759984469163e-07,-0.321634347228718,0.193,0.347,0.00555057292230186
"TRAPPC9",2.35266320057724e-07,0.260157040072362,0.173,0.06,0.00602446465771813
"CCL2",2.71284370407391e-07,-1.48955643156347,0.133,0.264,0.00694677887302205
