"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IAPP",2.7963064942971e-18,1.81673659488745,0.19,0.022,7.16050203994659e-14
"INS",4.6785393578606e-16,5.80520770070794,0.173,0.022,1.19803357336736e-11
"OPTN",2.22266525805032e-15,-0.692412107457567,0.56,0.735,5.69157892628946e-11
"HSPA5",3.09895229271378e-14,-1.45829997566991,0.743,0.859,7.93548713595217e-10
"SRRM2",5.12681489422806e-14,-0.532348086341243,0.688,0.788,1.31282348996498e-09
"SST",5.78825991538591e-14,2.89208000111696,0.155,0.022,1.48219971653287e-09
"WASF2",8.63287194674307e-13,-0.524428452070978,0.589,0.749,2.2106195194025e-08
"GCG",1.08200257526078e-12,0.432954014879296,0.185,0.042,2.77068399447029e-08
"VIM",1.87781774827998e-12,-0.537799020716174,0.986,0.984,4.80852790802055e-08
"EIF1",2.4341458844549e-12,-0.504712971138156,0.96,0.968,6.23311736632367e-08
"ARPC2",2.8713866753053e-12,-0.560019764023131,0.862,0.897,7.35275985945429e-08
"CHGB",4.65375428660493e-12,0.855166086294903,0.151,0.028,1.19168686017092e-07
"ARHGAP10",5.43588981782219e-12,-0.412966211153917,0.423,0.598,1.39196830564973e-07
"SELENOH",7.2183188088782e-12,-0.451084416363836,0.798,0.879,1.84839489738944e-07
"TKT",9.82589406817638e-12,-0.504340885919211,0.713,0.83,2.51611669403793e-07
"PSMA5",1.02474827095658e-11,-0.455875709335603,0.691,0.81,2.62407289743852e-07
"LIMS1",1.04005125089118e-11,-0.727992271322532,0.694,0.804,2.66325923815705e-07
"RAC1",1.25420568423978e-11,-0.451787089239777,0.802,0.877,3.21164449563281e-07
"UBC",1.94712870116232e-11,-0.714349720164271,0.884,0.909,4.98601246506636e-07
"JAK1",2.21991323966835e-11,-0.486484668354322,0.74,0.82,5.68453183281874e-07
"GNAI3",2.24769687435117e-11,-0.426357557103232,0.495,0.681,5.75567738615104e-07
"CCDC74A",2.55274263542291e-11,-0.299917845396776,0.338,0.477,6.53680806652744e-07
"RPL10",2.99452106781773e-11,-0.433275914820214,0.968,0.972,7.66807009836086e-07
"CDV3",3.77894848587433e-11,-0.535849352905615,0.631,0.752,9.67675338777839e-07
"NAP1L1",4.09717998682923e-11,-0.567818225355663,0.836,0.915,1.04916487922736e-06
"RPS3A",4.15426837036024e-11,-0.418945227494858,0.974,0.972,1.06378350159815e-06
"PTMA",4.31785908165602e-11,-0.431826490239335,0.954,0.956,1.10567417503966e-06
"NACA",4.69933553963816e-11,-0.42673160686387,0.944,0.958,1.20335885163514e-06
"HES4",5.23153545323029e-11,-0.529217675208136,0.73,0.828,1.33963928350868e-06
"H3F3B",6.21814625864304e-11,-0.40085242627381,0.898,0.909,1.59228071245072e-06
"RSL1D1",7.32577983388394e-11,-0.373179191827725,0.539,0.697,1.87591244206266e-06
"SELENOS",7.35978416138631e-11,-0.709478488217539,0.686,0.804,1.88461993020619e-06
"MESD",7.72938246473238e-11,-0.491533442083127,0.583,0.731,1.97926296774402e-06
"NPM1",7.79747077966447e-11,-0.505421721371373,0.869,0.907,1.99669834254868e-06
"ATP5F1C",8.32140262459512e-11,-0.448009819926158,0.719,0.81,2.13086157008007e-06
"GLRX5",8.7930116436378e-11,-0.35924495155548,0.564,0.737,2.25162649158633e-06
"ZP1",9.91786537444911e-11,-0.359987627435092,0.199,0.356,2.53966778643518e-06
"SCG5",1.04793850496444e-10,0.815094368005619,0.17,0.046,2.68345612966243e-06
"RNF181",1.13165551836394e-10,-0.363775207091025,0.62,0.764,2.89783028587455e-06
"RPS7",1.18709979349037e-10,-0.382673581240823,0.957,0.956,3.03980644119079e-06
"PDIA6",1.25825734010498e-10,-0.732185406742242,0.743,0.824,3.22201957080682e-06
"C11orf96",1.31685116487482e-10,-0.554897183839153,0.799,0.869,3.37206077789496e-06
"RPL30",1.44393141564988e-10,-0.384702423010055,0.964,0.978,3.69747517605464e-06
"UQCRC2",1.4573216588809e-10,-0.338774545846867,0.509,0.665,3.73176357189633e-06
"LGALS3",1.59781335507886e-10,-0.575297962873936,0.833,0.865,4.09152065835043e-06
"ADH5",1.60059521568912e-10,-0.393580707109932,0.626,0.77,4.09864416881514e-06
"ANKLE2",1.70990026863597e-10,-0.361401716612466,0.289,0.475,4.37854161789612e-06
"VDAC1",1.9333329485386e-10,-0.444540868595587,0.726,0.818,4.95068568132281e-06
"KIF1BP",1.99939864955745e-10,-0.284029529763103,0.284,0.44,5.11986012192177e-06
"RIOK3",2.24872636684523e-10,-0.603837054501658,0.459,0.62,5.75831360758059e-06
"CCNG2",2.2513775409203e-10,-0.446659466889514,0.193,0.354,5.7651024690346e-06
"FERMT2",2.46187908900874e-10,-0.551835454493041,0.64,0.729,6.30413378322467e-06
"SNX6",2.52996723282272e-10,-0.431671219587283,0.654,0.774,6.47848709308915e-06
"SEPTIN7",2.57411034320407e-10,-0.430155108060779,0.784,0.844,6.59152435584267e-06
"EIF4A1",2.82108392966252e-10,-0.397029211564779,0.839,0.899,7.22394961868683e-06
"TPR",2.85243507782206e-10,-0.370979943158481,0.6,0.725,7.30423050377895e-06
"BTF3",2.87754790104261e-10,-0.416180016750809,0.881,0.905,7.36853691019982e-06
"C4orf3",2.88268195242154e-10,-0.432954325503341,0.717,0.836,7.38168367556584e-06
"UPP1",2.93841556582707e-10,-0.770661605720153,0.509,0.659,7.52440073941337e-06
"UBE2I",3.08642122127159e-10,-0.367200331892997,0.621,0.762,7.90339882131017e-06
"ARPC3",3.17942668227481e-10,-0.395032564290657,0.827,0.889,8.1415579053011e-06
"RAB8B",3.28385747438924e-10,-0.438010107875503,0.301,0.446,8.40897383466852e-06
"PPP1R2",3.80382315460893e-10,-0.338935666970522,0.442,0.604,9.7404499520071e-06
"PMPCB",3.90760205008805e-10,-0.283822403530142,0.335,0.509,1.00061965696605e-05
"MYO1B",3.96047053152616e-10,-0.408931011479136,0.41,0.582,1.0141576890079e-05
"RHOQ",4.31381975850937e-10,-0.550956182643195,0.68,0.774,1.10463982556149e-05
"ARPC1B",4.32834026846975e-10,-0.394042014001824,0.779,0.863,1.10835809254705e-05
"EVA1B",4.35503624438294e-10,-0.401290788145652,0.754,0.857,1.11519413109914e-05
"RPS24",4.53043018990785e-10,-0.38070144074399,0.975,0.964,1.1601072587297e-05
"MSMO1",4.64316966159244e-10,-0.431102355115416,0.289,0.444,1.18897645524398e-05
"EIF4H",4.82088086439347e-10,-0.335722879330706,0.493,0.646,1.23448296294524e-05
"EIF4A3",4.85903787338672e-10,-0.38607038098846,0.41,0.554,1.24425382823814e-05
"MT2A",4.90372713345912e-10,-0.878288111857234,0.765,0.828,1.25569740706488e-05
"PDIA3",5.34464133328415e-10,-0.573728277940799,0.785,0.863,1.36860230621407e-05
"TPT1",5.59528959430315e-10,-0.417104712057865,0.975,0.964,1.43278580641321e-05
"PDGFRB",6.42556531837735e-10,-0.4784854285663,0.756,0.822,1.64539451107689e-05
"MT1E",6.5494118202793e-10,-0.662062358702299,0.465,0.624,1.67710788481892e-05
"LZIC",7.76898250230205e-10,-0.300414897431056,0.372,0.539,1.98940334936449e-05
"TTR",8.31728432719517e-10,3.3697091489664,0.125,0.024,2.12980699766487e-05
"MYL12A",8.90197499470138e-10,-0.409477399343001,0.841,0.907,2.27952873689318e-05
"IKBIP",8.967937783257e-10,-0.372023517564785,0.57,0.731,2.29641982815862e-05
"RPL36AL",9.24160113161973e-10,-0.368340934985196,0.844,0.895,2.36649680177386e-05
"LAMP2",9.567382872404e-10,-0.352379705154104,0.618,0.76,2.44991973213649e-05
"TBCB",1.00910221770134e-09,-0.33443651666316,0.552,0.679,2.58400804886783e-05
"PGRMC2",1.08949160360478e-09,-0.347770635495722,0.374,0.531,2.78986114935075e-05
"SBDS",1.16285874955837e-09,-0.372359173325304,0.617,0.749,2.97773239999411e-05
"PJA2",1.2169206527726e-09,-0.54467163081747,0.495,0.642,3.11616871555481e-05
"MLF1",1.27548218071788e-09,-0.264794347926502,0.236,0.384,3.26612722016427e-05
"ARL6IP1",1.28865169186131e-09,-0.445071512368754,0.482,0.626,3.29985038734927e-05
"BOD1L1",1.29316075651928e-09,-0.379710698158175,0.507,0.675,3.31139674921891e-05
"MAGOH",1.36843164640904e-09,-0.273205740660165,0.479,0.642,3.50414291695963e-05
"TMEM14C",1.45274947736701e-09,-0.364464303572889,0.68,0.782,3.7200555866937e-05
"COL6A2",1.50602331015253e-09,-0.386083674389776,0.893,0.933,3.85647389030758e-05
"RPL5",1.53383814979235e-09,-0.377913443165025,0.954,0.968,3.92769935017327e-05
"PELO",1.58381503924902e-09,-0.312144867498067,0.516,0.665,4.05567517100496e-05
