"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AGBL4",0,0.789519939203438,0.215,0.027,0
"KCNMB2-AS1",0,1.00992947630678,0.191,0.007,0
"LINGO2",0,0.729038180467484,0.185,0.026,0
"NPAS3",0,0.956304297668932,0.252,0.065,0
"SNAP25-AS1",0,0.400599684490167,0.18,0.014,0
"DSCAM",0,0.626639701019946,0.216,0.035,0
"SLC35F4",2.99666974599781e-300,0.698929019994092,0.223,0.052,7.67357221857659e-296
"LRRTM4",5.96484119102309e-299,0.893454721590205,0.227,0.056,1.52741688378528e-294
"DMD",1.26074233736954e-293,0.928055269975157,0.224,0.055,3.22838290330218e-289
"GPHN",8.0126757057031e-285,0.81174054200946,0.268,0.09,2.05180586795939e-280
"AC104123.1",3.74990171238915e-274,0.383138403505894,0.122,0.002,9.6023733149149e-270
"LINC02388",8.90360288067363e-272,0.50647784304687,0.161,0.021,2.2799455896541e-267
"PRKN",8.2237893196111e-268,0.319526446761747,0.14,0.011,2.10586573107281e-263
"GRIK2",6.40094435923267e-261,0.646685723789626,0.219,0.06,1.63908982206871e-256
"AC023424.3",5.13660000448825e-258,0.350105321489056,0.158,0.022,1.31532916314931e-253
"AUTS2",9.9217050913284e-252,0.824175359949114,0.236,0.075,2.54065102273646e-247
"AQP4-AS1",3.2813924247827e-251,0.42966522080386,0.167,0.029,8.40266158214107e-247
"SOX5",1.6584323069292e-250,0.8108048424651,0.274,0.106,4.24674760835361e-246
"RGS7",1.59540263081797e-245,1.15878682173685,0.312,0.144,4.08534751673558e-241
"CACNB2",5.04343145466037e-244,1.46184695982789,0.367,0.203,1.29147149259488e-239
"AL033504.1",4.08433308963384e-243,0.297513623503608,0.132,0.012,1.04587517426254e-238
"CACNA1C",9.65675476137377e-243,0.97264114506526,0.316,0.147,2.47280519174498e-238
"PTPRD",1.21373081973261e-240,0.930395027847113,0.221,0.068,3.10800051008928e-236
"CNTN5",2.1407122802452e-240,0.853719051088316,0.161,0.029,5.4817219360239e-236
"ARL15",6.96520553815795e-235,0.866332988257155,0.278,0.117,1.78358018215611e-230
"PDE4D",3.00703489613434e-233,1.5805207553296,0.331,0.169,7.7001142585312e-229
"MAML3",3.59585104218509e-233,0.600876643983396,0.242,0.084,9.20789576372337e-229
"BTBD9",3.5180048606562e-230,0.387502740222061,0.178,0.04,9.00855504668233e-226
"NLGN1",1.71548860278578e-228,0.756865058390707,0.221,0.071,4.39285166515353e-224
"KCNB2",6.26923946204199e-228,1.0903683684061,0.279,0.122,1.60536414904509e-223
"CAMKMT",3.54485941745071e-227,0.371750008021766,0.177,0.04,9.07732151026605e-223
"WWOX",1.17419615161266e-220,0.769503549868656,0.279,0.12,3.00676408543453e-216
"POU6F2",1.27257225429348e-218,0.689524345502305,0.246,0.091,3.25867577156932e-214
"TMEM132D",1.1828741006696e-216,0.700091972021921,0.241,0.089,3.02898570958465e-212
"CDH18",3.26338672067181e-212,0.720015351969057,0.186,0.052,8.3565543756243e-208
"MAGI1",2.81263413414398e-210,0.705696204638464,0.292,0.133,7.20231222730249e-206
"SNTG1",2.20297424071103e-208,1.02672601477998,0.284,0.13,5.64115613818874e-204
"SDK1",1.03783518589894e-207,1.1934949454928,0.312,0.162,2.65758456053143e-203
"DOCK3",3.74486808287394e-206,0.346106723563776,0.156,0.034,9.58948369981531e-202
"INVS",5.55937581077404e-204,0.325771595866113,0.173,0.045,1.42358936386491e-199
"HS6ST3",4.58170920854055e-201,1.85703704134595,0.352,0.215,1.17323827703098e-196
"SLC39A11",4.27177887887289e-200,0.387597444291461,0.206,0.068,1.09387441751298e-195
"IMMP2L",1.71286283098325e-198,0.610730984550497,0.236,0.094,4.38612785129881e-194
"TOX",1.84933558066011e-198,0.560357755552802,0.249,0.1,4.73559362139636e-194
"PRKCE",8.49579655873273e-197,0.772941233587923,0.311,0.156,2.17551862479469e-192
"TMEM117",1.84974212997901e-195,0.284793819446002,0.148,0.031,4.73663467223725e-191
"NRG1",1.50982395097759e-192,0.563358346157405,0.103,0.008,3.86620619126832e-188
"PLPPR1",3.71852645189907e-191,0.448560648223801,0.199,0.064,9.52203068537795e-187
"DACH1",4.37044948023565e-191,1.13526423179772,0.348,0.2,1.11914099840394e-186
"CCSER1",1.94799211113163e-190,0.4513023921611,0.172,0.048,4.98822339897477e-186
"ULK4",8.80914365262159e-190,0.519231477781245,0.227,0.086,2.25575741512681e-185
"SCMH1",7.36703292196287e-189,0.360217284912515,0.203,0.067,1.88647612032703e-184
"TRAPPC9",3.26895605830127e-188,0.574705609845543,0.27,0.123,8.37081577849205e-184
"EYS",9.10393908348765e-183,0.619560642223859,0.201,0.07,2.33124568110868e-178
"CTNNA2",1.62237438360314e-182,0.316440606468127,0.127,0.022,4.15441408409256e-178
"PARD3B",5.60716126793621e-181,0.301496924536289,0.156,0.039,1.43582578588042e-176
"TCF12",3.62688546281122e-180,0.401648885763539,0.217,0.083,9.28736560462068e-176
"MAGI2",4.25872728176099e-179,1.36679552868267,0.35,0.218,1.09053229504054e-174
"MBD5",3.83392306480198e-178,0.572787861031008,0.276,0.135,9.81752679203844e-174
"SAMD3",7.18681119542332e-178,0.371611763850525,0.167,0.047,1.84032674281205e-173
"MACROD2",1.82125463671392e-177,0.429735154397889,0.173,0.051,4.66368674823334e-173
"GPC6",2.05925663828712e-177,1.51367238657675,0.342,0.208,5.27313847366182e-173
"PTPRT",2.06580223331228e-173,0.749842836251098,0.29,0.149,5.28989977884274e-169
"FOXP2",8.45379173323505e-173,0.55206446604975,0.228,0.093,2.1647624491295e-168
"VPS13B",2.61393826489669e-171,0.396760964872066,0.229,0.096,6.69351171492096e-167
"TTTY14",3.65816467751296e-169,0.367060229730369,0.195,0.069,9.36746228970742e-165
"MTUS2",7.92838999666616e-167,0.524354565838745,0.221,0.092,2.0302228264463e-162
"SNED1",9.4739728338113e-166,0.362145499394669,0.2,0.075,2.42600022355406e-161
