"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DDIT3",7.68438365026521e-160,-0.853290548149223,0.241,0.551,1.96774012132341e-155
"NRG1",2.15995184331599e-157,1.77109179925001,0.334,0.067,5.53098868517926e-153
"MT1E",4.76373824230328e-146,-0.38659855903255,0.056,0.302,1.2198504517066e-141
"KRT18",5.0519252388322e-133,0.78218885478596,0.421,0.141,1.29364649590776e-128
"MT1X",4.01697747253628e-131,-0.758339822815142,0.167,0.447,1.02862742139237e-126
"LINGO2",4.41832882678772e-122,1.09902281799472,0.304,0.077,1.13140146267553e-117
"TXNIP",1.09017745016272e-121,0.664493035067029,0.228,0.025,2.79161739663169e-117
"LRRTM4",1.31045196963989e-120,1.25184195849639,0.307,0.079,3.35567435865687e-116
"MT2A",6.41078823689706e-115,-0.419230655805886,0.112,0.362,1.64161054382223e-110
"AC006369.1",7.44276324181091e-109,0.426767922736587,0.352,0.113,1.90586838333052e-104
"FAM155A",2.48319691194695e-105,1.05656798034308,0.366,0.14,6.35872233242256e-101
"DLG2",3.29994442070018e-103,1.32392350572617,0.394,0.17,8.45016767808695e-99
"TRPM3",1.78288344791628e-102,2.05503056541598,0.431,0.221,4.56542964507922e-98
"DBP",2.55265524091496e-97,-0.536500345396344,0.168,0.384,6.53658427541095e-93
"MAML3",1.43782742309097e-95,1.03868664505795,0.439,0.225,3.68184468230904e-91
"PTPRD",3.03081155201212e-92,1.37179956017682,0.254,0.071,7.76099914123744e-88
"LINC01098",4.28476294083028e-92,0.439390967661949,0.143,0.003,1.09719924625841e-87
"DACH2",6.27085201112927e-92,1.09549026160248,0.343,0.134,1.60577707448987e-87
"ZNF385D-AS2",1.15169507210108e-91,0.375347246875963,0.141,0.002,2.94914557112924e-87
"AC105402.3",4.16734956513177e-91,0.251151611211492,0.158,0.01,1.06713320314329e-86
"AGBL4",1.46226549197239e-90,1.01024030730537,0.273,0.081,3.7444232452937e-86
"IER3",3.89270476872848e-90,0.766207694000369,0.543,0.29,9.96804910128302e-86
"LINC01876",4.8611975904522e-90,0.501282504686094,0.154,0.009,1.24480686698709e-85
"FOS",1.20547361462536e-89,0.71137872415429,0.387,0.153,3.08685628497115e-85
"AQP4-AS1",3.40126490096395e-88,0.641058496682679,0.194,0.031,8.70961903189839e-84
"NR1D2",6.27389641760323e-87,-0.467563041677678,0.21,0.412,1.60655665565566e-82
"KCTD8",9.41377654141889e-87,0.64547921423535,0.299,0.104,2.41058575896114e-82
"VEGFA",1.51479820672005e-86,-0.66086093543522,0.652,0.814,3.87894376794804e-82
"CTNNA3",5.13722420355489e-86,0.541957523676826,0.175,0.022,1.3154890018043e-81
"PLUT",5.13911134054278e-86,0.616233055219178,0.252,0.069,1.31597224097279e-81
"AC068051.1",1.91847176453977e-85,0.4727450173436,0.152,0.011,4.91263064745698e-81
