"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DSCAM",7.0015368510429e-38,0.822634982408763,0.339,0.065,1.79288354144656e-33
"AGBL4",4.69126819870323e-36,1.14962823220593,0.345,0.075,1.20129304764194e-31
"BRI3",9.23345080779548e-34,-0.884019633209219,0.695,0.812,2.36440974835219e-29
"CACNB2",7.05176831843748e-29,1.05149169179714,0.453,0.196,1.80574631330229e-24
"AC068051.1",1.33533235379587e-27,0.464687177847139,0.181,0.003,3.41938555836509e-23
"KCNMB2-AS1",1.47134544284397e-27,0.775395636155289,0.174,0,3.76767427549056e-23
"NPAS3",1.40023147479089e-26,0.88502610418086,0.33,0.101,3.58557273749703e-22
"KCNB2",1.8803552693237e-26,1.20644671814694,0.463,0.229,4.81502573815719e-22
"MT1E",2.00340664289275e-26,-0.461038570563084,0.048,0.239,5.13012339045547e-22
"FAM155A",3.29093811633035e-26,0.734334479968947,0.31,0.084,8.42710523448713e-22
"NLGN1",1.704290251715e-24,0.850836001111417,0.36,0.135,4.3641760475666e-20
"SQSTM1",2.09372121506248e-24,-0.960473147071508,0.641,0.794,5.36139191541049e-20
"CNTN5",3.01089488083484e-24,0.904202354490139,0.291,0.08,7.70999852135377e-20
"CACNA1C",1.77693355390407e-23,0.87472486011369,0.426,0.206,4.55019375148214e-19
"EGR1",2.09567862676519e-23,0.747737591788332,0.55,0.295,5.36640425955762e-19
"LRRTM4",2.89200273161502e-23,0.736525258211656,0.291,0.088,7.40555139484659e-19
"EYS",8.28644093408965e-23,1.14808543766484,0.371,0.156,2.12190892999234e-18
"TMEM132D",9.25808662420802e-23,0.867418353501097,0.43,0.209,2.37071824186095e-18
"RRAGD",1.46567993606447e-22,-0.436996908181527,0.229,0.456,3.7531666122803e-18
"SLC39A11",1.67628245072003e-22,0.482928161671047,0.278,0.08,4.29245647155878e-18
"GPHN",2.87087168481524e-22,0.639182179541597,0.351,0.14,7.35144112330639e-18
"SNAP25-AS1",2.89490025817308e-22,0.266990824549914,0.171,0.013,7.4129710911038e-18
"NPM1",7.70064174295092e-22,-0.721289314392,0.721,0.836,1.97190333111744e-17
"SAMD3",3.7776503296724e-21,0.629853680986636,0.307,0.107,9.67342919919212e-17
"SDK1",4.54899974610086e-21,1.4423074562812,0.498,0.317,1.16486236498405e-16
"TRPM3",1.5882291994937e-20,1.2548345878711,0.405,0.198,4.06697851114351e-16
"DLG2",2.41885843400554e-20,0.755750725708312,0.301,0.107,6.19397079195798e-16
"H3F3B",3.89086025997375e-20,-0.60795148496168,0.868,0.929,9.96332586771478e-16
"PRKN",4.94633217062494e-20,0.371651604982561,0.186,0.029,1.26660727893193e-15
"MT-ND5",5.85677275677178e-20,-1.00952188685509,0.435,0.617,1.49974379982655e-15
"PARD3",1.42195322632939e-19,0.439784398442453,0.296,0.109,3.64119562666168e-15
"CCSER1",1.43486319747804e-19,0.825199898030777,0.327,0.135,3.67425418978201e-15
"PTMA",1.67484161774129e-19,-0.615795832226247,0.824,0.916,4.28876693055012e-15
"LINC01876",1.94372672004118e-19,0.336700034959767,0.142,0.008,4.97730101200946e-15
"NUCKS1",2.00382737910857e-19,-0.508312971076731,0.683,0.846,5.13120076968331e-15
"AC023424.3",2.17293241444613e-19,0.303464932694322,0.16,0.018,5.5642280336722e-15
"ODC1",4.73168412515186e-19,-0.490353483184419,0.343,0.552,1.21164235392764e-14
"SMIM29",6.73357018375231e-19,-0.445984766466669,0.311,0.524,1.72426531695345e-14
"ANP32B",6.99490801446209e-19,-0.540599703208586,0.506,0.679,1.79118609526331e-14
"PPDPF",7.04670831647173e-19,-0.792949732320238,0.796,0.846,1.80445059859891e-14
"CALD1",7.64454370348992e-19,-0.457980259543468,0.116,0.297,1.95753830615266e-14
"ESRRG",9.08885535519845e-19,0.456225880782614,0.288,0.102,2.32738319080567e-14
"RIMS2",1.23204021356692e-18,1.36483311836957,0.535,0.367,3.15488537488081e-14
"ADARB2",2.91497260653549e-18,0.306166567216278,0.163,0.021,7.46437035355543e-14
"GNPDA1",3.96481077331073e-18,-0.3635373638054,0.259,0.469,1.01526909472168e-13
"ARL15",4.24252013748598e-18,0.593376177498296,0.323,0.138,1.08638213160604e-13
"TTTY14",4.37843541466538e-18,0.268568014496197,0.176,0.031,1.12118595663336e-13
"MT1X",1.1221109884913e-17,-0.718375029802836,0.086,0.247,2.87338960822968e-13
"PABPC1",1.18123951640012e-17,-0.498451875117265,0.588,0.722,3.0248000296458e-13
"MT2A",3.03806026278121e-17,-1.26333689337766,0.026,0.146,7.77956091490385e-13
"KCTD8",4.27346494832797e-17,0.577851129944042,0.343,0.161,1.09430616931834e-12
"NPTX2",6.89229866186217e-17,-0.324605671205952,0.186,0.373,1.76491091834305e-12
"ASIC2",6.99778161514107e-17,0.265743429898317,0.121,0.006,1.79192193818917e-12
"AC006369.1",8.64713942591975e-17,0.288153119621446,0.245,0.076,2.21427299279527e-12
"RPL18",1.1394470367341e-16,-0.631939745178372,0.864,0.916,2.91778202696501e-12
"TMEM117",1.29115304015649e-16,0.276526356011369,0.188,0.042,3.30625558992872e-12
"SLC25A6",1.62260434222536e-16,-0.565217356864294,0.733,0.838,4.15500293913647e-12
"HDAC9",2.18911997343883e-16,0.665454462438577,0.34,0.161,5.60567951598481e-12
"HNRNPDL",3.40626631400502e-16,-0.429032994409917,0.651,0.779,8.72242615027264e-12
"ZNF706",6.31294157759402e-16,-0.456683733167693,0.643,0.789,1.6165549497745e-11
"TGM2",6.33066541098913e-16,-0.410145997435763,0.043,0.17,1.62109349179199e-11
"ATP6V1D",6.41118152863212e-16,-0.526412235159788,0.627,0.752,1.64171125403683e-11
"TIMP1",6.66457657917759e-16,-0.759453975599808,0.666,0.802,1.70659812463e-11
"CIRBP",6.80149610988225e-16,-0.538175894647601,0.727,0.831,1.74165910885755e-11
"SAT2",7.327112275673e-16,-0.339851841293759,0.349,0.552,1.87625364043159e-11
"MAML3",9.11903223136139e-16,0.60240201075699,0.339,0.162,2.33511058348471e-11
"GPC6",9.61787921847237e-16,1.09005686359276,0.414,0.248,2.46285033147422e-11
"CSTB",1.06991694015167e-15,-0.577472705433483,0.764,0.854,2.73973630864639e-11
"NRG1",1.25471592088892e-15,0.813914992355854,0.159,0.031,3.21295105862025e-11
"PWRN1",1.89529137299411e-15,0.26145025826498,0.142,0.021,4.85327261882602e-11
"TRAPPC9",2.17164142557491e-15,0.46641562267205,0.346,0.17,5.56092219846966e-11
"EIF1",2.8996702938868e-15,-0.615519997993626,0.857,0.953,7.42518572155592e-11
"ATP6V0E1",3.26859311968295e-15,-0.48745726999961,0.749,0.856,8.36988640157212e-11
"EEF1A1",3.28947616345863e-15,-0.63320314728082,0.887,0.945,8.42336161176851e-11
"RPL26",3.5353544858242e-15,-0.636335960528374,0.863,0.904,9.05298223185002e-11
"TENM2",3.63029943221725e-15,0.36186049364461,0.258,0.096,9.2961077560787e-11
"RFX3",4.41547626706002e-15,0.375701483089149,0.339,0.166,1.13067100770606e-10
"RPS9",5.23819606184962e-15,-0.610578831467094,0.88,0.932,1.34134486555783e-10
"ATP6V1G1",6.26876364796575e-15,-0.566946973631649,0.792,0.857,1.60524230733459e-10
"RPL19",6.62461333222004e-15,-0.549167922707998,0.875,0.932,1.69636473598159e-10
"AC092691.1",6.98584629112279e-15,0.343492532261123,0.165,0.036,1.78886565976781e-10
"STXBP5L",7.43102682030454e-15,0.797965151552108,0.437,0.261,1.90286303787538e-10
"NACA",9.43436669458424e-15,-0.602614980796826,0.829,0.872,2.41585827948219e-10
"CAMKMT",9.64568090307727e-15,0.287747136523326,0.202,0.058,2.469969508851e-10
"NDUFB5",9.67225867349407e-15,-0.414700450993612,0.491,0.666,2.47677527852163e-10
"SOX5",9.76283684455649e-15,0.554033311615214,0.319,0.156,2.49996963078558e-10
"DGKB",1.10100546074807e-14,0.471432173134556,0.211,0.067,2.81934468333757e-10
"GNAS",1.11079174408084e-14,-0.566046257103338,0.968,0.997,2.84440441906781e-10
"KCNT2",1.29038562921918e-14,0.550024264927467,0.306,0.14,3.30429048074156e-10
"RPL24",1.40724205905838e-14,-0.593599983191169,0.869,0.927,3.6035247406308e-10
"MAGI1",1.42779629793417e-14,0.58677756808568,0.377,0.206,3.65615798012003e-10
"BTBD9",1.47930510447409e-14,0.377457084154852,0.226,0.08,3.78805658102679e-10
"WWOX",1.61068144238209e-14,0.614528736252746,0.384,0.221,4.12447196950781e-10
"EIF4B",2.0075458381925e-14,-0.507113180787509,0.561,0.703,5.14072262785954e-10
"COPS2",2.08888505069735e-14,-0.312835416534611,0.327,0.513,5.34900794932071e-10
"RPL17",2.41396260873547e-14,-0.624315685710688,0.875,0.946,6.18143405218891e-10
"RPL13",2.41416329326293e-14,-0.558167028612148,0.88,0.943,6.18194794505838e-10
"UNC79",2.47491824420417e-14,0.430193374932848,0.359,0.196,6.33752314793361e-10
"TMEM30A",2.68001379700751e-14,-0.364984707182461,0.444,0.631,6.86271132999712e-10
"HMGB2",3.09223813525788e-14,-0.285824844159038,0.14,0.292,7.91829419295485e-10
"RPS7",6.42555146475867e-14,-0.534080174244752,0.858,0.935,1.64539096358075e-09
"DDX24",6.51505494071631e-14,-0.406368310342276,0.712,0.836,1.66831011866923e-09
"KIF1A",6.78724086223438e-14,-0.308227077299709,0.448,0.641,1.73800876759236e-09
"TMEM126B",7.06326335324605e-14,-0.308158292993994,0.34,0.513,1.80868984686572e-09
"RPS15A",7.09355822057749e-14,-0.588941475936596,0.856,0.907,1.81644745354328e-09
"BEX2",7.30918726038057e-14,-0.404116059626615,0.685,0.792,1.87166358176565e-09
"GRM7",7.32263422408727e-14,0.266357667278666,0.157,0.034,1.87510694576203e-09
"MTUS2",7.38967297257406e-14,0.418032157121734,0.222,0.08,1.89227355808704e-09
"UBE2I",7.51364065337427e-14,-0.348069970750675,0.453,0.646,1.92401796210955e-09
"BHLHE41",7.82883944946623e-14,-0.444830056555197,0.324,0.5,2.00473091782482e-09
"RPL30",8.82695286828803e-14,-0.540316571284666,0.865,0.933,2.26031782098252e-09
"VAMP2",9.23987349330941e-14,-0.569874290664643,0.625,0.748,2.36605440543174e-09
"PTPRN",9.54864594403948e-14,-0.396347897060036,0.862,0.925,2.44512176689019e-09
"LINC01091",1.02586770523493e-13,0.359195730554611,0.275,0.122,2.62693943279508e-09
"TOMM20",1.1083587128975e-13,-0.505222404473618,0.597,0.732,2.83817415611664e-09
"ANP32E",1.13935560295754e-13,-0.287561840341542,0.266,0.445,2.91754789249338e-09
"XKR6",1.1860289789699e-13,0.253098647620783,0.175,0.049,3.03706440644823e-09
"RPS27A",1.35854359542462e-13,-0.503572795681102,0.878,0.945,3.47882258480382e-09
"RPS14",1.37744779141014e-13,-0.545751721595804,0.867,0.912,3.52723055946396e-09
"FMN2",1.45124389549491e-13,0.506187957349614,0.373,0.209,3.71620024319382e-09
"SST",1.54714726571024e-13,-0.500251531335914,0.95,0.992,3.9617800033042e-09
"RPS13",1.61259021125862e-13,-0.588788081874811,0.856,0.898,4.12935975396995e-09
"FHIT",1.71243411335207e-13,0.301434675235846,0.219,0.076,4.38503003406064e-09
"MBD5",1.91139792757667e-13,0.516602243275584,0.359,0.205,4.89451667314558e-09
"EIF4A2",2.35216209686825e-13,-0.626382044911099,0.741,0.815,6.02318148145053e-09
"PKIB",2.38759220624693e-13,-0.449554279038122,0.726,0.815,6.11390736253651e-09
"RGS7",2.49617253587355e-13,0.495218228632286,0.223,0.083,6.39194901261139e-09
"GAS5",2.50115575173202e-13,-0.761730469090162,0.57,0.683,6.40470953346018e-09
"MPHOSPH8",2.6219872204903e-13,-0.369576765727246,0.506,0.662,6.7141226755095e-09
"C4orf3",2.80465468869861e-13,-0.431902526478983,0.469,0.64,7.18187926135052e-09
"CXXC5",2.83675543483293e-13,-0.33648885152268,0.447,0.625,7.26407964197668e-09
"RBIS",2.95681671580795e-13,-0.363145513840706,0.536,0.688,7.57152056416943e-09
"MT-ND4L",4.34842094493628e-13,-0.788488493856408,0.258,0.411,1.11350015136983e-08
"SELENOH",4.55237451904583e-13,-0.374526913270917,0.671,0.795,1.16572654309207e-08
"NORAD",4.90841412098641e-13,-0.367676720743936,0.501,0.683,1.25689760396099e-08
"DNAJC12",5.02372846567949e-13,-0.523005299056745,0.666,0.779,1.28642614820655e-08
"NOP53",5.64264404531859e-13,-0.335216487011851,0.414,0.581,1.44491186068473e-08
"RPS3A",5.88670057456689e-13,-0.582867514716298,0.884,0.92,1.50740741612934e-08
"RPL23A",5.90446053484568e-13,-0.476560523127873,0.878,0.963,1.51195520915793e-08
"FAU",6.26004256538095e-13,-0.468414925892803,0.845,0.914,1.6030090997171e-08
"RPL15",6.46765292906913e-13,-0.541344526227274,0.87,0.925,1.65617188554673e-08
"PDE4D",7.09787202952813e-13,0.818392770960407,0.288,0.138,1.81755209060127e-08
"TCEA1",7.14759392385434e-13,-0.370890669775533,0.541,0.706,1.83028437608138e-08
"ZFAND5",7.28760405796551e-13,-0.323790302384505,0.348,0.526,1.86613677112323e-08
"SIPA1L3",7.29710844891404e-13,0.502795055251677,0.427,0.268,1.86857056051342e-08
"HMGN1",7.92941513728479e-13,-0.33574760332631,0.696,0.834,2.03048533420452e-08
"LRMDA",8.27275791929237e-13,0.428174474658387,0.353,0.19,2.1184051203932e-08
"MTPN",8.49919240742655e-13,-0.352499265393832,0.457,0.623,2.17638819976972e-08
"NAV3",9.10392660619727e-13,0.469585627555426,0.236,0.099,2.33124248604893e-08
"EXOC6B",9.1829950158914e-13,0.332184254551395,0.261,0.117,2.35148953371931e-08
"RPL14",9.35594396115111e-13,-0.554010456904947,0.87,0.92,2.39577657013196e-08
"CDK4",9.63509660850481e-13,-0.332733857627193,0.296,0.461,2.46725918853983e-08
"RPL28",1.05971084848482e-12,-0.500594477736522,0.875,0.946,2.71360156971508e-08
"ATP5MC2",1.08272624989095e-12,-0.483292745296199,0.824,0.872,2.77253710809577e-08
"TGOLN2",1.09440907425189e-12,-0.36047994667596,0.509,0.669,2.80245331643683e-08
"UBA52",1.13424807994039e-12,-0.468889913705002,0.838,0.916,2.90446905830335e-08
"RORA",1.14268363878664e-12,0.89092163899812,0.51,0.386,2.92606999384096e-08
"RALYL",1.21799911191631e-12,0.651145421664874,0.389,0.231,3.11893032588409e-08
"CACNA2D3",1.25250510341103e-12,0.298011384125096,0.158,0.041,3.20728981830462e-08
"DPH6",1.25471122489382e-12,0.302777526097549,0.278,0.13,3.2129390335856e-08
"FOS",1.28761757614602e-12,0.502345827370418,0.671,0.461,3.29720232723713e-08
"RPL13A",1.33303243422105e-12,-0.499420834587875,0.884,0.955,3.41349615430985e-08
"EPCAM",1.37041265544138e-12,-0.385234085562583,0.837,0.917,3.50921568678873e-08
"XPO1",1.49796283553955e-12,-0.295352517597606,0.387,0.555,3.83583343296613e-08
"RPS16",1.50037457120203e-12,-0.519472961900012,0.854,0.907,3.84200916447703e-08
"MTRNR2L12",1.50448148707216e-12,-0.758905873066278,0.158,0.315,3.85252574394569e-08
"PCSK1N",1.53386818259603e-12,-0.441759734987414,0.922,0.976,3.92777625517365e-08
"RPL9",1.56803927046175e-12,-0.55363261111706,0.865,0.917,4.0152781598714e-08
"AUTS2",1.67329180248937e-12,0.393412450474319,0.244,0.102,4.28479831863454e-08
"RPL36AL",1.74324200280021e-12,-0.486285977190626,0.808,0.873,4.46391979657049e-08
"DBP",1.7576264573711e-12,-0.289733982535001,0.104,0.24,4.50075406939018e-08
"PEBP1",1.80659708200232e-12,-0.467856308538953,0.771,0.885,4.62615314788335e-08
"SCG5",1.88520981036838e-12,-0.59466754994002,0.887,0.958,4.82745676141031e-08
"TPT1",2.17533987749701e-12,-0.551477422813563,0.867,0.917,5.57039282430659e-08
"RPL32",2.20370208516963e-12,-0.541359772521107,0.857,0.917,5.64301992949387e-08
"ABRACL",2.26061423292224e-12,-0.254898708313106,0.16,0.313,5.78875486624399e-08
"TBC1D5",2.58456951593499e-12,0.478197360263089,0.386,0.231,6.61830715945473e-08
"MLEC",2.59935644474454e-12,-0.287424631367638,0.49,0.664,6.65617204805735e-08
"RPS28",2.70037750553717e-12,-0.532538158967206,0.87,0.946,6.91485667842903e-08
"RPS3",2.82002072528883e-12,-0.588478233516909,0.879,0.917,7.22122707124711e-08
"PAN3",2.91639435918598e-12,0.258449048392469,0.225,0.093,7.46801103556753e-08
"EFNA5",3.26928674166663e-12,0.522744000090323,0.403,0.25,8.37166255938574e-08
"RACK1",3.3913095339611e-12,-0.500186933077162,0.821,0.901,8.68412632361419e-08
"COMMD6",3.56823878204953e-12,-0.428309994193588,0.725,0.813,9.13718904919422e-08
"TLN1",4.18083732420354e-12,-0.338770770463697,0.379,0.552,1.0705870136088e-07
"RPS24",4.24928079344569e-12,-0.511066878958006,0.885,0.937,1.08811333277764e-07
"RTN4",4.49380188890848e-12,-0.454295354564004,0.78,0.864,1.15072784969279e-07
"RPS23",4.6041591974872e-12,-0.587316655757053,0.86,0.906,1.17898704570055e-07
"U2SURP",4.81968913998541e-12,-0.307251105329839,0.388,0.55,1.23417779807606e-07
"CHGB",5.12238691938415e-12,-0.548251847739031,0.908,0.969,1.3116896184467e-07
"HNRNPU",5.2191294224997e-12,-0.346267130559639,0.512,0.659,1.3364624712195e-07
"RPL7",5.23219693838022e-12,-0.552809109176059,0.843,0.885,1.33980867001102e-07
"MT-ND2",5.33407777969497e-12,-0.712506450357101,0.409,0.558,1.36589729704649e-07
"ENO2",5.58545866465295e-12,-0.379290964565784,0.439,0.584,1.43026840025768e-07
"TMBIM6",5.79233801085315e-12,-0.390711973986472,0.758,0.867,1.48324399443917e-07
"HSP90AB1",5.7937830141544e-12,-0.475080483362566,0.863,0.937,1.48361401643452e-07
"ST13",6.13386279863271e-12,-0.375503148005878,0.672,0.802,1.57069824684588e-07
"ZBTB41",6.14489619347309e-12,-0.269674392559685,0.258,0.425,1.57352356826265e-07
"RPL35A",6.26726480574572e-12,-0.526746605310711,0.874,0.919,1.60485849880731e-07
"PTTG1IP",6.39164142527776e-12,-0.298373761827866,0.431,0.606,1.63670761977088e-07
"ERBB4",6.90055374882927e-12,0.798971011836278,0.379,0.224,1.76702479846271e-07
"VPS35",6.90803590874943e-12,-0.320234293568208,0.439,0.604,1.76894075515347e-07
"RPL27A",8.22367984167075e-12,-0.544860478157907,0.862,0.911,2.10583769705663e-07
"INVS",8.30310985887079e-12,0.269727063463393,0.213,0.086,2.12617734156104e-07
"POLR1D",8.68526334147888e-12,-0.393054328930076,0.492,0.649,2.2240353838525e-07
"PJA2",9.36005702000032e-12,-0.383848991178133,0.597,0.716,2.39682980111148e-07
"ST6GALNAC5",9.50003664454958e-12,0.495987805478576,0.271,0.125,2.43267438356981e-07
"EIF1AX",1.06412806569939e-11,-0.257347105979137,0.512,0.695,2.72491273783644e-07
"ROR1",1.15813270430924e-11,0.362284346991011,0.275,0.131,2.96563041592467e-07
"TTR",1.20218888948588e-11,-0.566691711565726,0.223,0.078,3.07844508930648e-07
"GMDS-DT",1.2450774801779e-11,0.33513473859832,0.285,0.14,3.18826990349155e-07
"RPL11",1.29004651940959e-11,-0.502697022015608,0.871,0.932,3.30342212225213e-07
"DGUOK",1.48722373503456e-11,-0.338993974949667,0.459,0.61,3.80833381830299e-07
"RPL3",1.59641515313908e-11,-0.573353480015832,0.89,0.95,4.08794028264323e-07
"GABARAP",1.62041309820739e-11,-0.476696810080933,0.83,0.894,4.14939182057967e-07
"ADGRB3",1.63125832494911e-11,0.428671868289212,0.184,0.067,4.1771631926972e-07
"SLC35F4",1.65832943183485e-11,0.283694557267888,0.126,0.028,4.2464841760995e-07
"TCEAL4",1.74204094275721e-11,-0.398028365549582,0.635,0.744,4.46084424211839e-07
"ATP6V1B2",1.90032638957167e-11,-0.304198971530025,0.323,0.479,4.86616578577617e-07
"EID1",1.90423750493645e-11,-0.380187833222169,0.788,0.869,4.87618097889076e-07
"PDZRN3",1.90802257083233e-11,0.372184955762554,0.307,0.166,4.88587339713034e-07
"NEGR1",1.92103751843286e-11,0.464676729953432,0.368,0.205,4.91920077345101e-07
"CSDE1",1.99757600493449e-11,-0.368791633385767,0.629,0.748,5.11519287583575e-07
"ARL6IP5",2.0004919847437e-11,-0.323723505066284,0.568,0.701,5.12265982533318e-07
"MACROD2",2.03336712985413e-11,0.371020022696143,0.225,0.093,5.20684320941746e-07
"RPS26",2.07298568160901e-11,-0.495915403008612,0.86,0.903,5.30829443489619e-07
"WASL",2.10775547651784e-11,-0.333701494646251,0.455,0.596,5.39732944871923e-07
