"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC000061.1",6.66305990116345e-38,1.36183521357939,0.197,0.005,1.70620974889092e-33
"ACTG1",5.90043207930209e-36,-0.910353830721066,0.787,0.921,1.51092364254689e-31
"UBC",5.51328802686542e-35,-1.08993746919494,0.641,0.825,1.41178766503943e-30
"LDHA",1.30625416447086e-33,-1.01121804128453,0.518,0.761,3.34492503896053e-29
"B2M",2.50088661578762e-32,-0.992791113840813,0.833,0.949,6.40402035704737e-28
"BTBD9",3.30574223494349e-31,0.687776753617111,0.278,0.071,8.46501414101979e-27
"MAML3",5.65150909218695e-31,0.58761570223975,0.268,0.065,1.44718193323631e-26
"RAD51B",9.19968234720422e-31,0.542791573534041,0.221,0.035,2.35576265864859e-26
"EIF1",1.92496617965456e-30,-0.814676903925661,0.711,0.859,4.92926089624143e-26
"WWOX",3.34852433432378e-30,0.795478596905378,0.3,0.095,8.57456626290291e-26
"H3F3B",9.07503827499116e-30,-0.847330246569902,0.787,0.915,2.32384505107699e-25
"TNFRSF12A",3.44828084237178e-29,-0.745334004103115,0.471,0.712,8.8300127530614e-25
"PTMA",4.12362383368476e-29,-0.933225226786958,0.729,0.862,1.05593635509166e-24
"ZBTB20",7.2432230884842e-29,0.982571062729539,0.799,0.66,1.85477213626815e-24
"CATSPERB",9.98247199956447e-29,1.53354701984681,0.234,0.05,2.55621160492847e-24
"PRKN",4.67080361743317e-28,0.434826563582347,0.176,0.017,1.19605268231611e-23
"S100A11",6.87404876169848e-28,-1.05377330290186,0.778,0.894,1.76023766640813e-23
"NR6A1",9.68386926743526e-28,0.545389615734907,0.249,0.065,2.47974840331215e-23
"ACTB",3.33568994874919e-27,-0.829526753370836,0.787,0.915,8.54170125176205e-23
"UTY",3.53941086203048e-27,0.416588090090707,0.249,0.064,9.06336939440146e-23
"C4orf3",8.00098168913614e-27,-0.7153763500404,0.381,0.622,2.04881138113709e-22
"TMSB4X",8.03760136060491e-27,-0.809344246976881,0.791,0.908,2.0581885804101e-22
"BCAS3",1.00003620945112e-26,0.444502506018274,0.221,0.046,2.56079272154149e-22
"HSPA5",1.38598848911953e-26,-1.061289135334,0.604,0.751,3.54910072408839e-22
"TTTY14",1.73457032362193e-26,0.610671846379245,0.302,0.107,4.44171422769867e-22
"AC023590.1",1.99462122769578e-26,0.427817667239916,0.212,0.041,5.10762657776059e-22
"GMDS-DT",2.20974371711414e-26,0.645136671663962,0.288,0.096,5.65849073641417e-22
"PRKG1",4.33832000970233e-26,0.811269640157071,0.208,0.041,1.11091360488448e-21
"PARD3B",4.60151955705161e-26,0.679879428278874,0.278,0.09,1.17831111297421e-21
"JUND",4.66747589774827e-26,-0.560841096790827,0.499,0.702,1.1952005531364e-21
"MAGI1",5.26231588393172e-26,1.28889887223891,0.517,0.324,1.3475212283984e-21
"LRMDA",5.91038042240667e-26,1.09495965608067,0.38,0.183,1.51347111476568e-21
"AC007319.1",7.61254217709943e-26,0.32026218804639,0.134,0.002,1.94934367528985e-21
"ARHGEF3",8.31530187148789e-26,0.510201128730395,0.297,0.111,2.1292993502319e-21
"AC105402.3",9.00506799150114e-26,0.324419277273249,0.143,0.006,2.3059277605837e-21
"AL109930.1",9.49187721245394e-26,0.360967835653456,0.134,0.002,2.43058499779308e-21
"RNF7",1.21277391129967e-25,-0.555078442371997,0.365,0.594,3.10555015466507e-21
"LINC01473",1.4247532679678e-25,0.313524118432716,0.163,0.016,3.64836569328515e-21
"ARPC3",1.70372837032801e-25,-0.779438650237738,0.581,0.759,4.36273723789894e-21
"SPINT2",2.14532361899022e-25,-0.697313482538715,0.617,0.796,5.49353019114826e-21
"FBXL17",2.36910975460656e-25,0.568975618699014,0.293,0.105,6.06657934862101e-21
"AC104123.1",2.54631944505497e-25,0.319352538882725,0.129,0.001,6.52036020295227e-21
