"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SEC11C",5.09284545632562e-12,0.657305732275698,0.216,0,1.3041249360013e-07
"AC105402.3",1.76142637963283e-11,0.305943690090314,0.206,0,4.51048453032578e-07
"RABGAP1L",1.17336949375513e-10,0.339234436232784,0.261,0.037,3.00464726265876e-06
"C22orf34",1.23976738109617e-10,0.407299154202718,0.245,0.026,3.17467233277297e-06
"MALAT1",2.26100608157126e-10,-0.535936737082937,0.504,0.747,5.78975827307954e-06
"IDS",7.86386504070289e-10,0.402200474826782,0.199,0.011,2.01369992097279e-05
"MYL12B",9.28028466531213e-10,-0.383329210116266,0.983,0.979,2.37640249424648e-05
"SOX5",9.97498402172854e-10,0.579698653428487,0.293,0.074,2.55429415844403e-05
"KIAA1217",8.92106948722358e-09,0.89023134569941,0.729,0.553,0.000228441826359334
"MYL12A",2.07564421334175e-08,-0.498055482580864,0.969,0.963,0.000531510213710421
"SNHG14",2.80305383479431e-08,0.295690705247036,0.209,0.032,0.000717777995475778
"SERPINB1",7.76474267153433e-08,-0.595247076439432,0.444,0.647,0.0019883176558998
"TRIO",1.65843523521278e-07,0.574842712733818,0.494,0.289,0.00424675510680936
"TTC28",2.00954284230121e-07,0.452271903761045,0.393,0.195,0.00514583635628071
"STC2",2.32853007639967e-07,-0.695619408674649,0.537,0.695,0.00596266696663663
"IFITM3",2.36246793738245e-07,-0.257715962383161,0.95,0.958,0.00604957164725525
"IGFBP7",2.85051720459773e-07,-0.365670437240764,0.988,1,0.00729931940581342
"FBXL7",3.83960374021857e-07,0.463955935939481,0.393,0.168,0.00983207329757769
"WWOX",3.84014110520249e-07,0.349641718492872,0.273,0.095,0.00983344932809202
"AL356124.1",4.03072590878377e-07,0.319743600147215,0.134,0.005,0.0103214798346226
"DST",4.92954482621795e-07,0.344557605980814,0.134,0.005,0.0126230854364963
"FBXL17",6.77257058549638e-07,0.357175964398961,0.29,0.111,0.0173425214982806
"XPR1",7.5417608486313e-07,0.262872698404511,0.225,0.063,0.0193121870050902
"NRP2",9.41229637256325e-07,-0.278913465818075,0.921,0.953,0.0241020673212227
"ANGPTL4",1.00390598664782e-06,-0.755627284768039,0.288,0.468,0.0257070206000908
"LDHA",1.41766250882114e-06,-0.52479626975242,0.803,0.874,0.0363020838633829
"VTI1A",1.45375564469528e-06,0.343687672370703,0.353,0.168,0.037226320793712
"APBB2",1.50212968599223e-06,0.463147427365976,0.544,0.363,0.0384650348692029
"BBS9",1.59922864275385e-06,0.257708026399757,0.185,0.042,0.0409514478549977
"AC007319.1",1.72830930240716e-06,0.277249760695673,0.122,0.005,0.0442568163067402
"AC119674.1",1.84839863504607e-06,0.49403039772878,0.228,0.074,0.0473319438476247
"FOXP1",3.08723492759137e-06,0.257457984060711,0.36,0.168,0.0790548247908321
"RGCC",3.61213261220072e-06,-0.360084226988378,0.962,0.984,0.0924958798006237
"ANO2",3.81225785004806e-06,0.385356586801326,0.237,0.074,0.0976204867661807
