"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C17orf49",0.000119011858707934,-0.671996909165773,0.234,0.605,1
"PPIA",0.000156282295307203,-0.585946678542506,0.83,0.974,1
"ISOC2",0.00017665871578307,-0.583687648406663,0.255,0.632,1
"MARCKSL1",0.000222093015311334,-0.49325170617126,0.489,0.816,1
"GNAS",0.000229978476546208,-1.36524167712822,0.872,0.921,1
"TUBB3",0.000330557725415899,-0.552992218076787,0.128,0.474,1
"PPIC",0.000357813713718897,-0.397376242817902,0.021,0.289,1
"TADA3",0.000361539132605876,-0.554469673555835,0.106,0.421,1
"DNAL1",0.000363839187060518,-0.323947010868817,0.043,0.342,1
"SEC61G",0.00046171343148315,-0.785712216685583,0.787,0.921,1
"IFT46",0.000479208314338981,-0.277474334712394,0,0.237,1
"TGM2",0.000479208314338981,-0.729063659055282,0,0.237,1
"GADD45G",0.00049542228639092,-1.06442278858873,0.213,0.526,1
"PLIN2",0.000833101471671605,-0.47484909434763,0.021,0.263,1
"GPATCH11",0.00104791448857591,-0.357113603593007,0.128,0.421,1
"TMEM30B",0.00104791448857591,-0.418871522752066,0.128,0.421,1
"PPIL3",0.00106986314962693,-0.272924679104595,0,0.211,1
"PPDPF",0.00110578278415732,-0.513794393646301,0.894,0.974,1
"MBP",0.00122021079026349,-0.627044023457928,0.468,0.763,1
"ARL6IP4",0.001225071952755,-0.560276862577381,0.574,0.842,1
"RPS19BP1",0.00143035530185146,-0.480184949648721,0.511,0.842,1
"RPAIN",0.00149593509799768,-0.392716380531918,0.447,0.763,1
"GTPBP10",0.00157930142995669,0.290164694720978,0.234,0,1
"SNX9",0.00171595974010577,-0.573247295984105,0.149,0.421,1
"SSR4",0.00172789238763288,-0.455634251433021,1,1,1
"SUCLG1",0.00174286291772178,-0.47562161368526,0.34,0.684,1
"RPL22",0.00183300939331773,-0.493734298354592,0.957,0.921,1
"SCG5",0.00188726599394598,-1.22614754803675,0.915,0.947,1
"TLE5",0.00199712772995134,-0.669683243827472,0.702,0.947,1
"MAPK1",0.0020024468705448,-0.378131342992489,0.213,0.526,1
"ALDH6A1",0.00201283931534725,-0.30709876251059,0.021,0.237,1
"SELENOH",0.00214397859734905,-0.595511416908008,0.745,0.947,1
"PER2",0.00219513589327315,-0.413692953533257,0.043,0.289,1
"CALY",0.00238937284202064,-0.361915393897277,0.872,0.974,1
"ALAS1",0.0024016250550162,-0.470052860636217,0.128,0.395,1
"BSG",0.00242345500007503,-0.485478075052468,0.809,0.895,1
"EBLN3P",0.0024610994729438,-0.614692902897515,0.191,0.447,1
"SLC50A1",0.00270276545072325,-0.277225277597157,0.064,0.316,1
"SGCZ",0.00275753438927762,0.8535572413586,0.213,0,1
"ENO1",0.00286855742588652,-0.76877124349256,0.617,0.842,1
