"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TIMP1",2.60368119602437e-10,-0.722437882504018,0.763,0.864,6.66724643865961e-06
"PTP4A3",3.01187259721569e-10,-0.558152839738894,0.416,0.636,7.71250215969022e-06
"KCNMB2-AS1",7.5721577046058e-10,0.457876781191061,0.149,0.007,1.93900242341841e-05
"NRG1",9.50614104348489e-10,1.07708589930125,0.26,0.07,2.43423753700518e-05
"MIF",2.1647695972511e-09,-0.429641007683456,0.927,0.96,5.54332550768088e-05
"PPY",5.70221375530553e-09,-0.395643928657725,0.943,0.93,0.000146016587632109
"AGBL4",1.29397226628341e-08,0.600059070525194,0.198,0.04,0.000331347478227194
"MT1E",1.43319873431625e-08,-0.714319310436728,0.126,0.327,0.000366999199896363
"H3F3B",2.34700861423088e-08,-0.629506210024676,0.912,0.934,0.000600998495846101
"SCGB2A1",2.8245531987342e-08,-0.680717392901734,0.794,0.868,0.000723283337599867
"H3F3A",3.04277660231272e-08,-0.330855781876195,0.935,0.971,0.000779163804554218
"DSCAM",3.22229924386005e-08,0.45109367316975,0.221,0.062,0.000825134167375243
"FXYD3",3.95649147682558e-08,-0.550922555942251,0.508,0.676,0.00101313877247073
"RGS7",4.89856366280669e-08,0.640088248000225,0.332,0.14,0.00125437519713491
"TPI1",1.17783092755332e-07,-0.523228182752393,0.752,0.846,0.00301607165618578
"RPL8",1.67681897149126e-07,-0.265626816436826,0.958,0.956,0.00429383034029768
"LSM3",1.79417555113453e-07,-0.34098129641118,0.511,0.721,0.00459434533379019
"MT2A",2.02309874107298e-07,-2.0310131640198,0.046,0.191,0.00518054894626558
"FAM155A",2.77882831810173e-07,0.670660870530108,0.298,0.125,0.00711574567416311
"MYL6",4.67357266282262e-07,-0.308720035971452,0.947,0.941,0.0119676175176899
"STMN2",5.3684642534113e-07,-0.473470799283341,0.828,0.886,0.0137470264137103
"GABARAPL2",7.49164334957949e-07,-0.318073055350489,0.802,0.875,0.0191838511252682
"ANKS1B",1.28018110660011e-06,0.378237134412472,0.198,0.059,0.0327815975967089
