"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GPHN",9.91860627465959e-12,0.329060524715733,0.175,0.004,2.53985750875208e-07
"IMMP2L",5.23315885785864e-11,0.388357322806861,0.189,0.016,1.34005498873186e-06
"RERE",6.99579918160413e-11,0.499525158819808,0.324,0.111,1.79141429643337e-06
"PRKN",4.7656298090697e-09,0.331381129412452,0.126,0,0.000122033482520848
"AL035446.2",1.12451628441511e-08,0.485184008128562,0.12,0,0.000287954884950178
"SBF2",1.13684159838313e-08,0.458845806635352,0.269,0.091,0.000291111028097969
"ELL2",2.39008267532372e-08,0.567714467554001,0.307,0.119,0.000612028470670146
"MBD5",2.45567725026584e-08,0.388915760439468,0.221,0.059,0.000628825273475573
"ARL15",2.69717342942036e-08,0.622996361131975,0.261,0.087,0.000690665200071672
"DTNA",3.36306569428833e-08,0.28820039342073,0.149,0.016,0.000861180232336412
"PAN3",3.61094108611221e-08,0.427223453003724,0.221,0.063,0.000924653683920754
"SMYD3",3.94436856315637e-08,0.540437924840254,0.287,0.111,0.00101003445796745
"PTPRM",6.41969274398464e-08,0.355417342868476,0.178,0.036,0.00164389072095215
"SIPA1L1",6.78896098175734e-08,0.666638093186997,0.315,0.142,0.0017384492385986
"ZBTB20",7.23218214938335e-08,0.549198994124797,0.275,0.103,0.00185194488299259
"UST",8.75070194794914e-08,0.353997662755489,0.146,0.02,0.00224079224781134
"AKT3",1.07313741005569e-07,0.257375286430596,0.246,0.079,0.0027479829659296
"ZNF609",1.87242606703973e-07,0.387114040543729,0.255,0.095,0.00479472142986864
"BNC2",2.00951360230401e-07,0.527254964991038,0.258,0.095,0.00514576148141988
"GAB2",2.10101363863282e-07,0.463933907216769,0.223,0.071,0.00538006562444706
"MAP2K4",2.22132231043107e-07,0.269724699392907,0.244,0.083,0.00568814004032084
"TRAPPC9",2.80625652902939e-07,0.262790928755102,0.163,0.032,0.00718598109388555
"GMDS-DT",2.97059514310109e-07,0.287702224167662,0.175,0.04,0.00760680298293895
"INS",3.63182010473856e-07,6.21817158372465,0.115,0.008,0.00930000174220404
"BCAS3",3.68735824893056e-07,0.272643807609177,0.146,0.024,0.00944221826803648
"PBX3",4.01642811095433e-07,0.298983379572643,0.292,0.123,0.0102848674637207
"ARHGAP15",4.27395843028131e-07,0.485859810173015,0.33,0.154,0.0109443253524214
"MAML3",4.5591821322012e-07,0.426072005907285,0.183,0.047,0.0116746976859276
"AHI1",5.30900679763951e-07,0.336610620420409,0.232,0.079,0.0135947737067155
"CCSER1",5.40979605757974e-07,0.331109858809206,0.12,0.012,0.0138528647646444
"ELMO1",6.55657674198228e-07,0.423749288716385,0.235,0.087,0.016789426063194
"ZNF804A",6.5815315241947e-07,0.437246590356718,0.186,0.051,0.0168533277740054
"SSH2",8.37623714353882e-07,0.318942191333407,0.241,0.091,0.0214490304534599
"MARCH6",9.28450174942308e-07,0.333613991753626,0.324,0.158,0.0237748236297477
"FBXL17",1.21290754604856e-06,0.288288598207852,0.198,0.063,0.0310589235316655
"FMN1",1.28603712066343e-06,0.575923919669574,0.289,0.138,0.0329315525488284
"VPS13B",1.67178565515073e-06,0.352471290518508,0.212,0.075,0.0428094152714447
"TRIO",1.75457030858061e-06,0.442819064163044,0.327,0.166,0.0449292818918237
"TCF12",1.7671889464316e-06,0.506981580307748,0.318,0.166,0.0452524073512741
"AL356124.1",1.76847026233009e-06,0.306216932075187,0.12,0.016,0.0452852180074867
"ZSWIM6",2.05884405549687e-06,0.473354083159258,0.281,0.126,0.0527208197291083
"MED13L",2.56611650793604e-06,0.375470709101902,0.361,0.202,0.0657105454187182
"PITPNC1",2.58726945704306e-06,0.374409485604805,0.292,0.138,0.0662522089865017
"GNAQ",2.80801916435316e-06,0.751382502228403,0.507,0.348,0.0719049467415914
"DLEU1",2.91735445088219e-06,0.378012321440522,0.215,0.083,0.0747046954237403
"WWOX",3.14357303730552e-06,0.428944640488123,0.246,0.103,0.0804974747662825
"IAPP",3.63907498370874e-06,1.56919378465119,0.123,0.02,0.0931857931078296
"CCNH",3.91275331578237e-06,0.315446447607071,0.307,0.138,0.100193874157239
"EXOC4",4.05765033998379e-06,0.378722252614946,0.284,0.138,0.103904252255965
"INPP4A",4.21515132663775e-06,0.271518474789298,0.226,0.087,0.107937380021213
"ZKSCAN1",6.53015646715653e-06,0.253573065011986,0.295,0.134,0.167217716654477
"EHMT1",8.31803050833848e-06,0.267886523864081,0.249,0.111,0.212999807227023
"BIRC6",8.84543604058893e-06,0.434694606893335,0.395,0.249,0.226505080691361
"SMC5",8.8716891353595e-06,0.279129875220818,0.295,0.146,0.227177343689151
"FER",9.06101466456885e-06,0.318187117446393,0.244,0.107,0.232025402515615
"RABGAP1L",1.04143463339919e-05,0.365172272376879,0.249,0.111,0.266680166574532
"EIF4G3",1.17003725426775e-05,0.456711017969338,0.404,0.253,0.299611439700344
"NIPBL",1.23778790606174e-05,0.398145869161521,0.464,0.324,0.316960349105229
"SFMBT2",1.28322543797988e-05,0.743294500501072,0.321,0.19,0.328595537903508
"PPM1L",1.32293047122988e-05,0.482645191762172,0.249,0.119,0.338762805767834
"KMT2C",1.55264905704502e-05,0.446541708110497,0.444,0.289,0.397586844037517
"DENND1A",1.57786399376933e-05,0.309677641496937,0.183,0.067,0.404043632884513
"RASAL2",1.69279613797836e-05,0.457016761549148,0.249,0.119,0.433474307052118
"ATXN1",2.02878105611134e-05,0.555077019104068,0.395,0.245,0.519509965038431
"DENND4C",2.08482092688578e-05,0.40407459335248,0.309,0.17,0.533860094747641
"JMJD1C",2.11743762215421e-05,0.65958118641433,0.395,0.261,0.542212251905028
"LPP",2.14434442660843e-05,0.557204353765702,0.401,0.257,0.549102277321622
"VAV3",2.29695372812891e-05,0.457664287259933,0.37,0.225,0.588180941161971
"ETV6",2.29754989034021e-05,0.472786620672286,0.352,0.206,0.588333600419416
"ERC1",2.68069527559357e-05,0.355293814564216,0.264,0.134,0.686445639221247
"COP1",2.79704806652755e-05,0.331601589313389,0.241,0.119,0.716240098395709
"HSPA1B",2.83184731445965e-05,-0.587487737976933,0.083,0.194,0.725151141813684
"XYLT1",2.92891531396011e-05,0.366262890392403,0.252,0.119,0.750007344445767
"NCOA1",2.98964740269722e-05,0.303113691479471,0.281,0.134,0.765559010408677
"SPIDR",3.11012536049345e-05,0.28017479455622,0.195,0.075,0.796409801061557
"VTI1A",3.28742725982062e-05,0.292293352571958,0.246,0.111,0.841811498422266
"PIK3R5",3.36518937818514e-05,0.419498339651491,0.304,0.162,0.861724044071869
"REV3L",3.58270628329402e-05,0.349463855792959,0.269,0.138,0.9174235979631
"ITSN1",3.89663965647757e-05,0.269768947116493,0.212,0.091,0.99781251683421
"LRMDA",4.77181472979725e-05,0.855101584712075,0.387,0.257,1
"UBR5",4.79679742014361e-05,0.305650785922691,0.289,0.158,1
"DPYD",4.8564941790178e-05,0.501359079429911,0.292,0.166,1
"FTX",5.0238046471505e-05,0.491374066019021,0.401,0.253,1
"SNX29",5.61964226039573e-05,0.392951451713627,0.381,0.233,1
"DOCK4",6.8326684237342e-05,1.06600144704175,0.364,0.245,1
"FGD4",7.525237433077e-05,0.31326375667807,0.252,0.13,1
"MKLN1",7.55722778066922e-05,0.281194690394866,0.295,0.166,1
"MYO9A",7.7692229955809e-05,0.26448499874346,0.215,0.099,1
"LARP4B",8.15950795696522e-05,0.255264121633928,0.295,0.158,1
"ANKRD17",9.33670292650856e-05,0.394772068970207,0.381,0.241,1
"JARID2",9.37004900778991e-05,0.394375193969466,0.372,0.237,1
"BMPR2",9.92207106410935e-05,0.337493469185055,0.318,0.19,1
"PRKCA",0.00011083030442638,0.266214057620283,0.232,0.115,1
"DISC1",0.000110862192481464,0.327911567157922,0.189,0.079,1
"ARID1B",0.000120534101120195,0.36178398991366,0.407,0.273,1
"PLXDC2",0.00013507387825825,0.974469770211591,0.55,0.447,1
"PEAK1",0.000138281224880578,0.280599673689344,0.189,0.083,1
"ATG7",0.000139436704566196,0.275751219143306,0.246,0.123,1
"KDM2A",0.000147327098119374,0.297764925210963,0.395,0.261,1
"ITCH",0.000150270113539738,0.292443718837372,0.307,0.178,1
"ABR",0.000153512535000553,0.448165825595592,0.335,0.209,1
"STARD13",0.000161819312075015,0.304261405913738,0.155,0.059,1
"FRMD4A",0.000165217082159909,0.617115276175778,0.318,0.202,1
"CLASP2",0.000194239880635217,0.263114295102164,0.249,0.134,1
"ITFG1",0.000212589590336413,0.309320699586317,0.289,0.174,1
"NCOA3",0.000235490725392102,0.284581386162037,0.324,0.209,1
"MYO1D",0.000235847760761339,0.354376444927731,0.226,0.115,1
"GRK3",0.000240540050497389,0.368298559299489,0.315,0.19,1
"DST",0.000245130103172937,0.351476521857389,0.33,0.202,1
"GIGYF2",0.000255639755528174,0.287433286046232,0.292,0.178,1
"FAF1",0.000270940824305504,0.292218394987142,0.246,0.134,1
"MGAT5",0.000334904142318988,0.341317581067008,0.272,0.162,1
"QKI",0.000359813607498706,0.376258566387986,0.628,0.522,1
"RAD51B",0.000365143985947068,0.25879030216047,0.135,0.047,1
"RIN2",0.000372224309810185,0.312283399086869,0.258,0.15,1
"SLC16A10",0.000383706512025447,0.585286405664798,0.226,0.119,1
"SPRED1",0.000418900808475749,0.437953068411818,0.352,0.237,1
"PHACTR2",0.000442867868513525,0.286350646956714,0.421,0.277,1
"RBM47",0.00049494232187353,0.591741447495972,0.393,0.289,1
"TMEM163",0.000532620872375355,0.531158220650339,0.221,0.119,1
"BEX3",0.000592235309854306,0.352483878925575,0.181,0.083,1
"EPB41L3",0.000608925635705445,0.441205746956312,0.43,0.312,1
"MAN1A2",0.000613523152492409,0.276418504423934,0.298,0.186,1
"ZFAND3",0.00067480087527331,0.398888230710693,0.324,0.209,1
"ITGAV",0.000695076073063943,0.333712829080678,0.384,0.261,1
"FHIT",0.000716798856606326,0.507901323985494,0.209,0.111,1
"CBLB",0.000746476192295851,0.252050441160742,0.195,0.099,1
"MOB3B",0.000761672589756883,0.268222429907762,0.183,0.091,1
"ITPR2",0.000784305660134441,0.413251036234866,0.458,0.344,1
"SUMF1",0.000823235594113633,0.325209428507006,0.249,0.146,1
"ASH1L",0.000836596891146838,0.323761588357462,0.375,0.261,1
"ZMYM2",0.000967023051603955,0.257024108452607,0.284,0.178,1
"MACC1",0.000971105598673679,0.259458988077271,0.175,0.083,1
"AKAP9",0.00097163565526273,0.364249790765245,0.521,0.387,1
"USP9X",0.00112291708474879,0.318765862104213,0.384,0.269,1
"NF1",0.00114865119860625,0.374235601236372,0.335,0.233,1
"FNDC3A",0.00115031959912292,0.413662962180381,0.433,0.316,1
"UTRN",0.00127547960133327,0.365075172954661,0.309,0.206,1
"ATXN2",0.00132945157612703,0.324850646263398,0.304,0.206,1
"FMNL2",0.00147532587982872,0.800421293455106,0.378,0.292,1
"PICALM",0.00152413138746212,0.584054049143234,0.51,0.435,1
"CTNND1",0.00154106289329263,0.268617601161844,0.33,0.225,1
"HERC1",0.00157465264671509,0.310059832903063,0.361,0.257,1
"EVI5",0.00160632603886297,0.323827000083105,0.287,0.198,1
