"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RTF2",0.000603691109236857,1.10983395988417,0.867,0.333,1
"ATG12",0.000749024204549539,1.10583708708733,0.8,0.25,1
"ANKRD17",0.000764562954165635,0.893214819493293,0.8,0.083,1
"IFT27",0.00118616992537263,0.907478290949929,0.733,0.083,1
"GCC2",0.00129200518452659,1.1402074112606,0.8,0.25,1
"RAB21",0.00175586631405602,0.8298264745293,0.733,0.167,1
"SELENOS",0.00177617817347025,1.1021744287065,0.933,0.5,1
"ABRACL",0.00186557749855233,0.791410914269624,0.6,0,1
"TEAD1",0.00186557749855233,0.889112998352798,0.6,0,1
"KDM5A",0.00246320141893174,0.842115237383841,0.733,0.083,1
"FOXP1",0.00249848160086589,1.06943432635887,0.733,0.167,1
"GLRX2",0.00258297201229261,1.17909646237127,0.8,0.25,1
"DYNLT1",0.00263234873759826,0.980960132071669,0.867,0.417,1
"SH3GLB1",0.00306492150907784,0.996190679331446,0.933,0.667,1
"RBBP7",0.00311419049199924,-0.838126083446025,0.133,0.667,1
"C12orf10",0.00312193490091262,0.750951841110965,0.8,0.333,1
"HM13",0.00398656931451048,1.15454534686508,0.933,0.5,1
"AHCTF1",0.00409971136379661,0.650374681685812,0.533,0,1
"BIRC6",0.00409971136379661,0.881777487096394,0.533,0,1
"ILRUN",0.00409971136379661,0.615266913152939,0.533,0,1
"COX19",0.00409971136379661,0.848680535200645,0.533,0,1
"JPT2",0.00409971136379661,0.760361285134464,0.533,0,1
"DCTD",0.00446046074939034,0.513806827023838,0.6,0.083,1
"SNHG29",0.00465472697195973,1.29537817682911,0.933,0.5,1
"CLIC1",0.00502054325052759,1.18738845030075,1,1,1
"TMED3",0.00631427291626865,0.784502788657468,0.6,0.083,1
"ZFYVE16",0.00674022578675642,1.08962180687802,0.867,0.417,1
"PPP1R2",0.00733020995604343,0.907589706687947,0.733,0.333,1
"FXYD5",0.00738718308584174,0.843813199675355,0.867,0.333,1
"RBM4",0.00769017780669316,0.94142404839615,0.733,0.25,1
"KLHL21",0.00772928443245275,-0.558036861294026,0,0.417,1
"ZUP1",0.00772928443245275,-0.376770764935769,0,0.417,1
"PARP10",0.00772928443245275,-0.455696405650676,0,0.417,1
"KLF4",0.00772928443245275,-0.451243704245367,0,0.417,1
"AC015802.6",0.00772928443245275,-0.435523212220665,0,0.417,1
"FLYWCH2",0.0079851557458555,0.541843676375051,0.667,0.167,1
"SAP30BP",0.00852888017662209,0.749372980091399,0.733,0.333,1
"TSSC4",0.00855979881298643,0.765005140206165,0.667,0.25,1
"PIGH",0.00855979881298643,0.682825781180897,0.667,0.25,1
"ABCD3",0.00860435165213626,0.557214085723472,0.467,0,1
"PKIB",0.00860435165213626,0.830316914194535,0.467,0,1
"REPIN1",0.00860435165213626,0.564092379410251,0.467,0,1
"CPNE8",0.00860435165213626,0.68082599996393,0.467,0,1
"CDK17",0.00860435165213626,0.734254512099779,0.467,0,1
"COG3",0.00860435165213626,0.463865112989138,0.467,0,1
"SNHG9",0.00860435165213626,0.652536215793915,0.467,0,1
"ARHGEF18",0.00860435165213626,0.484596590387103,0.467,0,1
"TBC1D22A",0.00860435165213626,0.470878181701389,0.467,0,1
"TXLNA",0.00883483193348034,0.748406548220634,0.6,0.083,1
"ZNF652",0.00883483193348034,0.612541146965154,0.6,0.083,1
"EIF4E",0.00895877499800655,0.814936772063058,0.733,0.25,1
"BIN3",0.00895877499800655,0.594435585554611,0.733,0.25,1
"CHCHD1",0.00922078025196635,1.01862493890615,0.8,0.417,1
"NAV2",0.00922272752670872,0.877525666242433,0.6,0.167,1
"PHF11",0.00934666369751401,0.706703149628471,0.667,0.167,1
"NME2",0.0103681500825467,1.58683713480412,1,0.75,1
"PTS",0.0104110762831496,0.623163607633774,0.733,0.25,1
"KLHDC2",0.0105141280690826,0.44985652445988,0.533,0.083,1
"MAP4K4",0.0106563747212914,0.343169627608649,0.8,0.25,1
"LUZP1",0.0108072169570366,0.895345519460903,0.6,0.167,1
"COPA",0.0109116002279207,0.809214405436329,0.667,0.167,1
"NELFE",0.0109116002279207,0.829215676900195,0.667,0.167,1
"DAAM1",0.0109116002279207,1.01587571865742,0.667,0.167,1
"ZFP91",0.0114638604947339,1.12166696060368,0.733,0.333,1
"NHP2",0.01205406703869,1.23052778560572,0.867,0.417,1
"VPS4A",0.0120692371766779,0.624554085250907,0.733,0.25,1
"TMEM38B",0.0123919450695884,0.639153019822433,0.733,0.417,1
"OAZ2",0.0123925185302383,-0.45052412797294,0.067,0.5,1
"ANKIB1",0.0124088501281379,0.634884966497394,0.533,0.083,1
"RBBP8",0.0124088501281379,0.455359705354253,0.533,0.083,1
"HCCS",0.0124088501281379,0.70403946227876,0.533,0.083,1
"TAF11",0.0126292304563104,0.830220150315567,0.6,0.167,1
"GLIPR1",0.0126292304563104,0.649833017514098,0.6,0.167,1
"MRPS36",0.0129375877418721,0.993662199512305,0.867,0.583,1
"DICER1",0.013957374537658,0.637234770287106,0.733,0.25,1
"CKLF",0.013957374537658,0.496510712519263,0.733,0.25,1
"CHMP3",0.0142752657808223,0.750490308164996,0.8,0.333,1
"GPR155",0.0143073618125393,-0.68780747782053,0.133,0.667,1
"ANAPC13",0.0143073618125393,0.566283285099819,0.6,0.083,1
"FRMD5",0.0145785749021326,1.64370095012436,0.533,0.083,1
"YIPF1",0.0145999745116588,0.594253354371816,0.533,0.083,1
"MKLN1",0.0145999745116588,0.727060658627529,0.533,0.083,1
"SLC52A2",0.0145999745116588,0.621279992928485,0.533,0.083,1
"SRPRB",0.0147180901485195,0.769845376860763,0.6,0.167,1
"ASPA",0.0147654425640594,-0.690094691072671,0.067,0.5,1
"N4BP2L1",0.0147910536087469,-0.440847183768572,0.067,0.5,1
"CYTOR",0.0152628585771214,1.28778645431713,0.733,0.333,1
"PRDX1",0.0157199802100246,1.10588731163533,1,1,1
"KHDRBS3",0.0159031991413189,0.879275957216749,0.867,0.417,1
"PRPF6",0.0161016346841957,0.867561500708147,0.667,0.333,1
"LSM7",0.016507634005564,1.08089286452062,0.867,0.5,1
"ZNHIT1",0.0166379269934413,0.851023564906337,0.933,0.75,1
"AL136298.1",0.0166925982921522,0.552541023028779,0.4,0,1
