"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"INS",1.047716269127e-17,4.98166211842704,0.284,0.085,2.6828870503535e-13
"REG1A",6.98394408730431e-17,0.356531329451791,0.128,0,1.78837856243602e-12
"OPTN",1.821557854465e-16,-0.695842846360947,0.559,0.74,4.66446319792853e-12
"RBP4",3.0618204819653e-16,1.06527327014163,0.128,0.002,7.84040370816855e-12
"SRRM2",4.12150416830984e-15,-0.506651620764679,0.759,0.846,1.0553935723791e-10
"AC007319.1",8.62541619354178e-15,0.352344714021607,0.129,0.008,2.20871032468024e-10
"SST",3.1435708837605e-14,2.36493505257023,0.251,0.081,8.04974196204552e-10
"HSPA5",9.42061236075775e-14,-1.49699431735364,0.734,0.842,2.41233620721924e-09
"CDV3",1.88244499054207e-13,-0.555578579458702,0.579,0.748,4.82037688728109e-09
"HES4",2.0868326029368e-13,-0.572268125154186,0.666,0.803,5.34375224634026e-09
"CCDC74A",3.5989560173368e-13,-0.318891207421983,0.313,0.465,9.21584667359434e-09
"TTR",4.48612739081586e-13,1.66173489435568,0.259,0.089,1.14876264096622e-08
"VIM",5.97417971102129e-13,-0.577693244805323,0.859,0.897,1.52980819860122e-08
"CHGB",7.99400053972667e-13,1.12957071173239,0.226,0.071,2.04702371820781e-08
"UBC",1.9017631496939e-12,-0.75238989387724,0.768,0.83,4.86984489742116e-08
"SELENOH",2.15739481883984e-12,-0.470754692247958,0.683,0.813,5.52444091260318e-08
"RAC1",3.48804337266982e-12,-0.487204326997694,0.696,0.799,8.93183266439561e-08
"PDGFRB",4.82984159048321e-12,-0.454119566081691,0.914,0.955,1.23677753607504e-07
"UPP1",4.89463210001724e-12,-0.819621792072758,0.457,0.621,1.25336844185141e-07
"RNF181",5.06698159336442e-12,-0.399145664420577,0.543,0.71,1.29750197661283e-07
"FERMT2",5.07918430712591e-12,-0.550266594626711,0.65,0.757,1.30062672552573e-07
"ARPC2",6.19431368264045e-12,-0.594432785020133,0.77,0.819,1.58617790471374e-07
"IAPP",6.86887305566171e-12,1.75946724895053,0.224,0.079,1.75891232336329e-07
"EIF1",9.38712944639677e-12,-0.524996827872541,0.863,0.893,2.40376223733882e-07
"WASF2",1.10814044078638e-11,-0.528312576180265,0.608,0.734,2.83761522672169e-07
"H3F3B",1.64349500957827e-11,-0.425139584322102,0.835,0.876,4.20849767102707e-07
"GCG",1.73369775202774e-11,1.13315217158278,0.275,0.108,4.43947983361742e-07
"RPL36AL",2.61699109776426e-11,-0.412541765900197,0.708,0.813,6.70132910404495e-07
"LGALS3",2.6280392321048e-11,-0.622769610043127,0.675,0.767,6.72962006165076e-07
"PPP1R2",2.66749321844e-11,-0.348689693891698,0.424,0.598,6.83064988445931e-07
"TKT",2.94708786600246e-11,-0.512076955515803,0.645,0.775,7.5466078984725e-07
"ADH5",3.08111743316234e-11,-0.414414333964855,0.585,0.738,7.88981741109879e-07
"RSL1D1",3.13643687138765e-11,-0.380108448338232,0.501,0.667,8.03147389656236e-07
"NPM1",3.5587349121053e-11,-0.525740867374117,0.717,0.819,9.11285248942805e-07
"ERO1A",3.66497730121254e-11,-0.871420684218596,0.385,0.542,9.38490737521495e-07
"SELENOS",4.08457538101392e-11,-0.728008236798669,0.662,0.773,1.04593721781623e-06
"PMPCB",4.11715961829664e-11,-0.285640455229273,0.317,0.495,1.05428106345722e-06
"NAP1L1",4.20883687269895e-11,-0.594524176809527,0.764,0.836,1.07775685799202e-06
"ARPC3",4.21166848754814e-11,-0.432327184195004,0.719,0.815,1.07848194960645e-06
"PTMA",4.32720711882059e-11,-0.465452272492375,0.848,0.862,1.10806792691639e-06
"EIF4A3",4.4152237896885e-11,-0.388615945076092,0.389,0.544,1.13060635582553e-06
"TPR",4.54955330870118e-11,-0.358276178383332,0.651,0.771,1.16500411575911e-06
"TAF1D",5.00117759884766e-11,-0.566351472056687,0.58,0.744,1.28065154773692e-06
"NPAS3",5.13259459215442e-11,0.339883991494705,0.129,0.024,1.31430349721298e-06
"PSMA5",5.14094032221378e-11,-0.4640846479429,0.638,0.755,1.31644058830928e-06
"C11orf96",5.19100783618848e-11,-0.595464397946671,0.723,0.807,1.32926137661278e-06
"GLRX5",5.34265666240697e-11,-0.367488443643902,0.532,0.708,1.36809409154255e-06
"GSTO1",6.78416523145962e-11,-0.469666784333754,0.71,0.803,1.73722119081987e-06
"ARHGAP10",8.13966718852365e-11,-0.37908871859992,0.468,0.629,2.08432457696525e-06
"CRYBA2",8.22051794623286e-11,0.875777817785953,0.186,0.057,2.10502803049185e-06
"SPCS2",9.22955234353294e-11,-0.430443230196104,0.663,0.785,2.36341146860848e-06
"PPY",9.36997552676126e-11,-0.430000011107993,0.188,0.057,2.39936963313776e-06
"ATP5F1C",9.99628248194254e-11,-0.454120032215576,0.653,0.761,2.55974805515103e-06
"SNX6",1.03619452246297e-10,-0.441800898458337,0.648,0.763,2.65338331367093e-06
"AK2",1.04319613654192e-10,-0.403522296101958,0.453,0.621,2.67131234684291e-06
"RPL10",1.12442602370034e-10,-0.471967373884978,0.854,0.876,2.87931771888947e-06
"BOD1L1",1.1440735907584e-10,-0.385993893670277,0.558,0.722,2.92962924385503e-06
"C4orf3",1.15863278065613e-10,-0.470302438716413,0.636,0.769,2.96691096142615e-06
"SEPTIN7",1.21587873159384e-10,-0.448539086131273,0.767,0.828,3.11350066799236e-06
"RNH1",1.30443127674188e-10,-0.367369582493853,0.639,0.779,3.34025717035292e-06
"IKBIP",1.36518297150305e-10,-0.391426943482353,0.543,0.71,3.49582403512785e-06
"RPL30",1.41294109132236e-10,-0.426170041923243,0.845,0.888,3.61811825254917e-06
"MAP1LC3B",1.48337834609887e-10,-0.601222978167749,0.636,0.751,3.79848693085537e-06
"RAB8B",1.55759635656767e-10,-0.428960443330441,0.307,0.45,3.98853699026284e-06
"HNRNPDL",1.5890723261469e-10,-0.489267580580115,0.692,0.821,4.06913750556438e-06
"ZP1",1.66820185732817e-10,-0.360247057321303,0.18,0.329,4.27176449606023e-06
"TBCB",1.67750424672428e-10,-0.333549865899156,0.504,0.649,4.29558512458687e-06
"INSIG2",1.70222011399352e-10,-0.352835836662031,0.202,0.367,4.3588750459032e-06
"EIF4H",1.72836579267671e-10,-0.337175178131984,0.483,0.641,4.42582628530725e-06
"VDAC1",1.97514746003367e-10,-0.451842613974497,0.665,0.773,5.05776010090823e-06
"GNAI3",2.03033146700947e-10,-0.411995971591789,0.492,0.665,5.19906978757114e-06
"TMEM204",2.13410839727577e-10,-0.396270325991704,0.429,0.572,5.46481137290408e-06
"PELO",2.1459265048405e-10,-0.328503011953437,0.498,0.655,5.49507400094508e-06
"NACA",2.22456357207345e-10,-0.456447802777731,0.792,0.836,5.69643993900849e-06
"MYL12B",2.36889101818994e-10,-0.45567574508022,0.722,0.801,6.06601923027897e-06
"EIF4A1",2.51274489245707e-10,-0.425746521179113,0.746,0.822,6.43438584611482e-06
"GPNMB",2.52717351616081e-10,-0.435308995253862,0.627,0.746,6.47133322283299e-06
"EIF2S1",2.63950137722776e-10,-0.361686810279265,0.417,0.568,6.75897117666712e-06
"COA6",2.79437303576286e-10,-0.25371677299651,0.462,0.647,7.15555103267795e-06
"HMOX1",2.82633533170628e-10,-1.52428996543497,0.198,0.349,7.23739688390026e-06
"BTF3",2.93608760505927e-10,-0.451683204191746,0.725,0.791,7.51843953027527e-06
"UQCRC2",3.12717455469619e-10,-0.330211651567781,0.495,0.649,8.00775588221053e-06
"MYL12A",3.18043246137915e-10,-0.440731183816248,0.699,0.803,8.14413340385358e-06
"TGFB1I1",3.32380672750905e-10,-0.432061000142578,0.6,0.755,8.51127188713242e-06
"PNRC1",3.64489831308431e-10,-0.661403787018226,0.565,0.722,9.33349111031499e-06
"PDIA6",3.7007749708705e-10,-0.74646756429998,0.698,0.773,9.4765744679081e-06
"PMP22",3.73599352833586e-10,-0.393012695043901,0.528,0.671,9.56675862800963e-06
"SDCBP",3.89362204275624e-10,-0.526727540204429,0.611,0.74,9.9703979648859e-06
"BNIP3L",3.92910428840684e-10,-0.657224828188805,0.626,0.751,1.00612573513234e-05
"PJA2",4.02451413667097e-10,-0.529075962337643,0.501,0.651,1.03055733497734e-05
"UBE2I",4.07442946889366e-10,-0.379684731405763,0.595,0.726,1.0433391540996e-05
"LZIC",4.20039850492323e-10,-0.297964542874702,0.361,0.527,1.07559604515569e-05
"SAP18",4.31535354773405e-10,-0.373535527825336,0.669,0.775,1.10503258296826e-05
"TMEM45A",4.34419335522191e-10,-0.405717698954223,0.411,0.586,1.11241759247168e-05
"CLIC1",4.55178704154994e-10,-0.466031372754012,0.726,0.809,1.16557610772969e-05
"TPM2",4.57112705057521e-10,-0.44211336532669,0.693,0.819,1.17052850384079e-05
"PPIB",4.58557913064403e-10,-0.459582356040909,0.752,0.832,1.17422924798402e-05
"EVA1B",4.85869056603749e-10,-0.429111067659367,0.639,0.769,1.24416489324522e-05
"DDIT3",5.35918973741111e-10,-0.705661456346076,0.445,0.606,1.37232771605886e-05
"COL6A2",5.36015935573295e-10,-0.390528212908404,0.929,0.947,1.37257600622254e-05
"HOMER3",5.42072560488042e-10,-0.304219333820992,0.466,0.615,1.38808520564173e-05
"VDAC2",5.64420085812666e-10,-0.429177692484484,0.62,0.755,1.44531051374049e-05
