"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NRG1",2.56655672641981e-196,1.47438826064832,0.249,0.043,6.57218180934321e-192
"LRRTM4",8.27159837496633e-189,1.17791202233404,0.265,0.057,2.11810819587763e-184
"LINGO2",1.53175734949242e-171,1.00123125508795,0.247,0.055,3.92237104484525e-167
"DDIT3",5.84727858171872e-161,-0.889253615174809,0.176,0.393,1.49731262642071e-156
"AGBL4",1.30238145976465e-159,0.977346675590353,0.249,0.061,3.33500820401934e-155
"KCNMB2-AS1",5.71301896247396e-154,0.973468547783939,0.155,0.009,1.46293276572071e-149
"MT1E",1.0266012283698e-146,-0.343541632558148,0.052,0.216,2.62881776548654e-142
"KRT18",1.52070758980062e-135,0.546388841745337,0.326,0.126,3.89407592520244e-131
"FAM155A",3.69564333053882e-135,0.893504262525165,0.276,0.096,9.46343387651074e-131
"SNAP25-AS1",4.21037245139599e-135,0.345595490561248,0.153,0.015,1.07815007362897e-130
"MT1X",3.11364174997279e-131,-0.617593893056949,0.119,0.305,7.97310242915531e-127
"AC068051.1",3.15127271259968e-131,0.461383976318811,0.146,0.013,8.069464035154e-127
"CNTN5",4.82706117992186e-131,1.17497852448665,0.248,0.079,1.23606555634259e-126
"MAML3",7.0423688366801e-131,0.925017109998237,0.348,0.162,1.80333938800867e-126
"VEGFA",6.17879615002736e-130,-0.645134977541018,0.535,0.725,1.58220433013751e-125
"PTPRD",8.45355430159791e-130,1.24684344872331,0.24,0.076,2.16470165001018e-125
"AQP4-AS1",1.95135368531602e-125,0.639808786738159,0.192,0.042,4.99683138198873e-121
"PRKN",3.39111550957515e-121,0.358207059407873,0.149,0.02,8.68362948536908e-117
"LINC01876",3.99917127606081e-121,0.430605706927736,0.131,0.01,1.02406778866089e-116
"AC006369.1",4.99729586486259e-121,0.41043871740115,0.279,0.101,1.27965755211536e-116
"NLGN1",1.48251079363769e-119,0.951837668120003,0.273,0.106,3.79626538926803e-115
"AC104123.1",3.94361315215758e-116,0.283451061411973,0.107,0.001,1.00984101987299e-111
"TXNIP",1.06022851277897e-113,0.445252714494162,0.155,0.025,2.7149271526731e-109
"DLG2",4.2249345005252e-111,1.08591785862146,0.288,0.124,1.08187897754949e-106
"PDE4D",1.28832061645872e-108,1.34724971985016,0.323,0.161,3.29900260256583e-104
"SLC39A11",3.73682860942478e-108,0.376094248661057,0.192,0.052,9.56889702015404e-104
"ANKS1B",3.59019710048551e-106,0.570249010744318,0.2,0.059,9.19341771521323e-102
"GPHN",3.279848250813e-104,0.761683742453231,0.305,0.144,8.39870741585684e-100
"MAGI2",1.46994220023365e-103,1.51788536149039,0.441,0.294,3.76408099213831e-99
