"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BRI3",1.08482935386123e-36,-0.833930088224071,0.815,0.883,2.77792252643245e-32
"DSCAM",1.92803980487388e-26,0.733985185790473,0.299,0.071,4.93713152834055e-22
"EGR1",3.65066944798804e-23,0.790230501378838,0.575,0.304,9.34826925546299e-19
"AGBL4",1.03609070131912e-22,0.908638593135502,0.283,0.072,2.65311745886786e-18
"SQSTM1",1.17234770096944e-21,-0.890822079742676,0.704,0.832,3.00203075787244e-17
"PPDPF",1.7913349380961e-21,-0.749367241890299,0.917,0.915,4.58707137598267e-17
"RRAGD",2.10514720682176e-21,-0.486318812087117,0.274,0.512,5.39065045250848e-17
"NPAS3",3.3604642462515e-21,0.7493444507253,0.295,0.085,8.60514079537622e-17
"CALD1",6.43816025109094e-20,-0.509015520550159,0.098,0.297,1.64861969549686e-15
"EYS",2.99657394109052e-19,0.98255330359178,0.327,0.124,7.67332689095048e-15
"NPM1",4.38652005395399e-19,-0.625133430930785,0.836,0.88,1.123256190216e-14
"PTMA",8.0687736707638e-19,-0.561184207773905,0.938,0.954,2.06617087387249e-14
"CACNB2",2.64609180987396e-18,0.948804052619623,0.41,0.2,6.77584729754425e-14
"RPL18",4.42214689734951e-18,-0.582611012274024,0.982,0.982,1.13237915600429e-13
"CNTN5",1.04539819817587e-17,0.808505883293184,0.255,0.074,2.67695116606895e-13
"H3F3B",1.05817566050086e-17,-0.533315600942176,0.954,0.959,2.70967041384455e-13
"GNPDA1",2.15267883988429e-17,-0.358151746478822,0.298,0.525,5.5123647052917e-13
"SMIM29",4.96963050136656e-17,-0.449734647668673,0.364,0.585,1.27257328248494e-12
"ANP32B",5.99871809748978e-17,-0.528686271746986,0.596,0.744,1.53609174322421e-12
"KCNB2",9.83278702877126e-17,1.0293148762821,0.425,0.23,2.51788177445746e-12
"FAM155A",1.13005339748067e-16,0.529316609819114,0.276,0.092,2.89372773492875e-12
"LRRTM4",1.24062113413118e-16,0.626640262986485,0.273,0.095,3.17685853816972e-12
"TMEM132D",1.67034678697405e-16,0.720815616076129,0.397,0.201,4.27725701740444e-12
"PABPC1",2.40428256841697e-16,-0.478869419768248,0.656,0.783,6.15664637294533e-12
"SAMD3",3.03546501977689e-16,0.572605215607339,0.284,0.104,7.77291527614267e-12
"RPS9",4.16872749351228e-16,-0.559338852262927,0.981,0.968,1.06748604926369e-11
"SLC39A11",4.21351334242216e-16,0.398106541683977,0.259,0.087,1.07895436159404e-11
"MT1X",5.80430407969334e-16,-0.339578642115056,0.095,0.265,1.48630814568707e-11
"TGM2",6.11332512785952e-16,-0.465502614287777,0.041,0.182,1.56543916549099e-11
"ODC1",6.27090512658533e-16,-0.470027752045473,0.409,0.604,1.60579067576471e-11
"SLC25A6",1.00799013251272e-15,-0.537366349679965,0.858,0.899,2.58116033232533e-11
"CSTB",1.54631661283453e-15,-0.540807060808794,0.904,0.92,3.95965295048538e-11
"TIMP1",1.62189613080545e-15,-0.768889887866695,0.75,0.846,4.15318942215351e-11
"RPL26",1.64283782950269e-15,-0.532805732197717,0.975,0.958,4.20681483000754e-11
"EEF1A1",1.90532783677733e-15,-0.55171695739232,0.993,0.988,4.87897299163571e-11
"RPL19",2.65022234063425e-15,-0.470705652264612,0.984,0.973,6.78642434766212e-11
"AC006369.1",4.43558896176795e-15,0.310884266949432,0.262,0.088,1.13582126543992e-10
"MT2A",1.0038161158118e-14,-0.42723095002124,0.027,0.148,2.57047192775926e-10
"CACNA1C",1.25487428410037e-14,0.773278447632731,0.373,0.196,3.21335657929581e-10
"CIRBP",2.05284579788904e-14,-0.527064981800724,0.822,0.871,5.25672223465447e-10
"NACA",2.09149521939281e-14,-0.529326638068506,0.942,0.924,5.35569180829917e-10
"ATP6V1G1",2.58591192488052e-14,-0.478287684902332,0.919,0.926,6.62174466604156e-10
"NPTX2",2.91224321976967e-14,-0.319260329236743,0.215,0.403,7.45738121286419e-10
"RPS15A",4.08741763124254e-14,-0.514751590977701,0.978,0.943,1.04666503283228e-09
"CCSER1",4.34309663885962e-14,0.709314021296357,0.279,0.115,1.11213675631278e-09
"RPS14",4.84251281413842e-14,-0.470790379205624,0.982,0.965,1.24002225631642e-09
"RPS13",6.21159852300356e-14,-0.521923745747947,0.975,0.949,1.59060403378552e-09
"NLGN1",6.41893740009691e-14,0.694433839059986,0.317,0.143,1.64369730004282e-09
"GPHN",6.94777076637027e-14,0.550040691146047,0.317,0.145,1.77911566014444e-09
"ADARB2",1.38712230789993e-13,0.277008499711778,0.147,0.025,3.55200409383935e-09
"FOS",1.4457691179492e-13,0.540901461080712,0.721,0.488,3.70218098033251e-09
"GNAS",1.67691854253811e-13,-0.472243099186571,0.993,0.998,4.29408531187733e-09
"EIF4A2",1.80126398203324e-13,-0.589581844993355,0.828,0.889,4.61249667879252e-09
"RPL13",2.01677335400268e-13,-0.468859891276541,0.984,0.984,5.16435152759466e-09
"ATP6V1D",2.0260068904347e-13,-0.459537482573348,0.729,0.823,5.18799584433614e-09
"RPL17",2.35706364690299e-13,-0.527464034025559,0.979,0.972,6.03573288062449e-09
"NUCKS1",2.54229411390715e-13,-0.418169654020983,0.761,0.873,6.51005253748205e-09
"RPS3A",3.2667692905491e-13,-0.512172803329024,0.985,0.963,8.36521612230908e-09
"RPL24",4.37880928263198e-13,-0.50800977703021,0.975,0.959,1.12128169300357e-08
"GAS5",6.36968152931391e-13,-0.797785242204303,0.653,0.737,1.63108434921141e-08
"RPL30",6.38814769893159e-13,-0.44880832270203,0.979,0.979,1.63581298126541e-08
"TOMM20",6.89265631935287e-13,-0.513636103323565,0.681,0.793,1.76500250369669e-08
"ESRRG",8.09038740823272e-13,0.317575866624691,0.274,0.113,2.07170550362615e-08
"DLG2",8.25869655643742e-13,0.633690865191235,0.264,0.11,2.11480442720693e-08
"EIF1",9.15192168082472e-13,-0.493390447222506,0.97,0.97,2.34353258480879e-08
"HNRNPDL",9.61574493491191e-13,-0.379421680762889,0.727,0.825,2.46230380548289e-08
"TPT1",1.12818171418287e-12,-0.475429519620268,0.982,0.961,2.88893491550808e-08
"FAU",1.26118107250113e-12,-0.396925804910266,0.97,0.966,3.22950637235364e-08
"RPL28",1.34355797332242e-12,-0.438172867346074,0.99,0.97,3.44044890228671e-08
"RPL15",1.35049039440176e-12,-0.450182612157844,0.982,0.977,3.45820075294458e-08
"EIF4B",1.36134605938687e-12,-0.478037551289932,0.641,0.767,3.48599885427196e-08
"RPS27A",1.48054072658096e-12,-0.431518924508244,0.988,0.979,3.79122063855586e-08
"AUTS2",1.56051982365759e-12,0.409031155398613,0.234,0.087,3.99602311244e-08
"RPS3",1.96155041468927e-12,-0.528501153575216,0.991,0.968,5.02294214689481e-08
"NEAT1",2.41713854449619e-12,-0.670931969172393,0.028,0.134,6.18956667089138e-08
"TTTY14",2.52727446782103e-12,0.253968138351209,0.166,0.042,6.47159172974932e-08
"RPL32",2.65958065645045e-12,-0.473720043008245,0.979,0.961,6.81038818697267e-08
"TRPM3",3.50690008622425e-12,1.06543870269056,0.369,0.203,8.98011905079445e-08
"NDUFB5",3.61914932695773e-12,-0.389033122871268,0.597,0.747,9.26755568154067e-08
"RPL35A",4.3214644625553e-12,-0.460326001118514,0.976,0.965,1.10659740492654e-07
"EGR4",4.34156568471378e-12,0.346092479973032,0.339,0.173,1.11174472488466e-07
"COPS2",4.41535010913428e-12,-0.294929907465998,0.382,0.565,1.13063870244602e-07
"RPS23",4.44532644772336e-12,-0.521945380405988,0.982,0.965,1.13831474346852e-07
"SAT2",4.51678349818218e-12,-0.31168957992157,0.425,0.613,1.15661275037951e-07
"ATP5MC2",5.3582641070651e-12,-0.427314580092839,0.951,0.936,1.37209068989616e-07
"SDK1",5.38309616965614e-12,1.14414371812921,0.462,0.323,1.37844943616385e-07
"MT-ND5",5.43225202598154e-12,-0.923626321431644,0.388,0.544,1.39103677629309e-07
"RPS16",6.14230291282707e-12,-0.451229407897838,0.961,0.956,1.57285950688763e-07
"RPL14",6.19158161803461e-12,-0.480746682543658,0.975,0.956,1.58547830493012e-07
"RPL9",6.26452680579034e-12,-0.477677656602618,0.97,0.961,1.60415737915873e-07
"ABRACL",7.34161852266375e-12,-0.27671695008396,0.193,0.36,1.87996825509851e-07
"VAMP2",8.4403456296568e-12,-0.518141856557438,0.736,0.822,2.16131930538622e-07
"CLTA",8.58564425149316e-12,-0.438430883838313,0.822,0.883,2.19852592347985e-07
"TMEM126B",9.16813972754072e-12,-0.281835833220351,0.401,0.565,2.34768554003135e-07
"RPS24",1.00495209299805e-11,-0.4334338956081,0.988,0.982,2.5733808245401e-07
"HMGB2",1.02473438247168e-11,-0.294819767739659,0.167,0.318,2.62403733319523e-07
"DNAJC12",1.10734292249769e-11,-0.471677168539212,0.764,0.846,2.83557302163983e-07
"RPS7",1.13729904255861e-11,-0.440039345755235,0.978,0.966,2.91228165827982e-07
"RPS26",1.18130048571111e-11,-0.436392152699764,0.987,0.954,3.02495615376044e-07
"RPL7",1.29150159840809e-11,-0.488942719808152,0.959,0.943,3.3071481430436e-07
"RPS28",1.32198630972767e-11,-0.459598542570223,0.984,0.975,3.38521034331965e-07
"UBE2I",1.56613389048054e-11,-0.322589376957097,0.526,0.712,4.01039905335352e-07
"ATP6V0E1",1.57279037218842e-11,-0.414954597176813,0.87,0.905,4.02744430606289e-07
"SST",1.84035665349564e-11,-0.39801082138699,0.994,0.993,4.71260128260628e-07
