"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC105402.3",4.49977930795661e-14,0.289902434775352,0.191,0,1.15225848738845e-09
"MALAT1",1.29092030642033e-13,-0.528900257938795,0.546,0.782,3.30565962865054e-09
"RABGAP1L",1.46192950603046e-13,0.331449977370971,0.245,0.031,3.74356288609221e-09
"KIAA1217",8.49254066512883e-13,0.954228238562027,0.647,0.424,2.17468488811954e-08
"C22orf34",3.03927741271851e-12,0.35664184045242,0.207,0.019,7.7826776707483e-08
"SOX5",7.77640571577815e-12,0.549177995576647,0.27,0.065,1.99130421163931e-07
"TTC28",8.74021781470899e-11,0.452219965862689,0.353,0.141,2.23810757581253e-06
"TRIO",2.02422161915866e-10,0.567634866391532,0.44,0.221,5.18342430017959e-06
"FBXL7",2.94731304320461e-10,0.482873350322431,0.355,0.13,7.54718450973403e-06
"IDS",3.06004874909913e-10,0.363107482675611,0.191,0.027,7.83586683181815e-06
"WWOX",1.10589845679531e-09,0.337177394562653,0.25,0.073,2.83187417831576e-05
"FBXL17",2.08850539988052e-09,0.346571305410403,0.258,0.08,5.34803577747406e-05
"DOCK4",3.36830260261145e-09,0.78533112471758,0.688,0.496,8.62521247450713e-05
"VTI1A",3.69262361878455e-09,0.335703910150725,0.32,0.13,9.45570130062159e-05
"DST",4.44714300548893e-09,0.323926903276354,0.13,0.004,0.000113877990941555
"GCG",4.73758798820995e-09,2.30340890004913,0.13,0.004,0.000121315415614092
"MAGI1",5.58438181239946e-09,0.686120744373266,0.529,0.321,0.000142999265070113
"BBS9",7.26028132680396e-09,0.268254393104157,0.174,0.031,0.000185914023935469
"XPR1",8.786833673767e-09,0.255554166378247,0.199,0.046,0.000225004449884152
"ATG7",1.18978567310011e-08,0.332717445645197,0.296,0.115,0.000304668417310746
"APBB2",1.24343803451592e-08,0.481959478989527,0.487,0.294,0.000318407177498491
"AC007319.1",1.33376380936324e-08,0.30234432767148,0.122,0.004,0.000341536898663644
"SMYD3",1.38409202352461e-08,0.321437319905954,0.288,0.111,0.000354424444463947
"SEC11C",1.96593965508071e-08,0.677545666791267,0.235,0.073,0.000503418167476518
"ERO1B",2.44110070848012e-08,0.479893763803812,0.11,0,0.000625092658420504
"AL356124.1",2.52759154158438e-08,0.297775271672569,0.126,0.008,0.000647240366053511
"FOXP1",3.2581898116555e-08,0.274361654766211,0.316,0.13,0.000834324665070625
"PLCB1",5.94974333287233e-08,0.702079052848001,0.58,0.378,0.00152355077524862
"SBF2",7.17682572050457e-08,0.324693309728652,0.314,0.137,0.00183776976224961
"RASAL2",1.21277375208506e-07,0.525236313858237,0.536,0.332,0.00310554974696421
"AMBRA1",1.65091885187726e-07,0.294977926932485,0.276,0.111,0.00422750790400211
"RIN2",1.74517125399959e-07,0.472993963806254,0.477,0.317,0.00446886003011676
"ITFG1",1.99325923774978e-07,0.289541053315942,0.337,0.168,0.00510413893010587
"PTPRM",3.78219695354998e-07,0.491127981552358,0.525,0.324,0.00968507173895542
"MAML3",4.46389006845213e-07,0.406454589864992,0.333,0.164,0.0114306832982854
"CPE",4.74129989268568e-07,0.746368044384983,0.108,0.008,0.0121410466352002
"PITPNC1",5.35458451390185e-07,0.648984574657471,0.607,0.443,0.0137114845647485
"LARGE1",7.01793707444089e-07,0.264045139243296,0.233,0.084,0.0179708314665208
"NEAT1",7.09133515294851e-07,-0.495274829034533,0.824,0.912,0.0181587819261552
"BSCL2",7.12913897496168e-07,0.257472841174445,0.229,0.092,0.0182555861731844
"AC119674.1",8.70322475804805e-07,0.447114042217407,0.205,0.073,0.0222863476379336
"ANO2",9.05943342218509e-07,0.348739334203935,0.211,0.069,0.0231984911641894
"PLCL2",9.64899028918646e-07,0.33227238514973,0.389,0.21,0.0247081694335198
"PDE4D",9.83455821255054e-07,0.594156872897831,0.357,0.191,0.0251833532148782
"LRMDA",1.09153265844051e-06,0.490192588076453,0.483,0.29,0.0279508767846862
"FAM172A",1.10135010136077e-06,0.311679654661655,0.321,0.172,0.0282022720455453
"CSGALNACT1",1.12242905016421e-06,0.386226836729893,0.357,0.195,0.028742040687555
"SSH2",1.52077243638476e-06,0.285432903049227,0.316,0.16,0.0389424197785046
"ELMO1",1.67757302193778e-06,0.334182960975193,0.367,0.198,0.0429576123727608
"EXOC4",2.47543090634294e-06,0.28170718733863,0.353,0.191,0.0633883592187238
