"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SST",9.47371759460519e-08,1.53266802394753,0.303,0,0.00242593486445055
"INS",2.70101427093367e-07,3.63091849509287,0.284,0,0.00691648724357985
"PRDX2",3.60975365382132e-07,-0.658519779362579,0.22,0.532,0.00924349618134026
"CTSZ",8.14592099966115e-07,-0.336618173603948,0.009,0.228,0.0208592599038323
"IAPP",3.40874808696978e-06,0.452611975031174,0.239,0,0.0872878122630353
"RPS27A",7.45029852476408e-06,-0.383941035697395,1,1,0.190779794323634
"MICOS10",7.86353502785851e-06,-0.361953725449157,0.431,0.747,0.201361541458373
"PSMB6",8.17294662699698e-06,-0.377637052031132,0.358,0.608,0.209284644277512
"ATP5F1D",1.21104374818201e-05,-0.422453466440287,0.495,0.759,0.310111972596966
"ECHS1",1.44794896544182e-05,-0.330485488288412,0.138,0.38,0.370776291580687
"RPL18",2.04012165080178e-05,-0.442140978766534,1,1,0.522413951120813
"MORF4L1",2.19487452588513e-05,-0.431043910569288,0.44,0.696,0.562041519843406
"ACTR3",2.76458857801649e-05,-0.427307942862584,0.486,0.759,0.707928197172683
"DAD1",3.28354273502087e-05,-0.470388311924318,0.505,0.722,0.840816788156794
"COX5B",3.60341135154947e-05,-0.396637741856988,0.651,0.861,0.922725544791274
"NBDY",3.93829094066366e-05,-0.420608613309152,0.183,0.405,1
"LTC4S",5.5852416625267e-05,-0.433708521372382,0.963,0.987,1
"PPDPF",6.51328287740289e-05,-0.609729704294697,0.459,0.658,1
"H2AFZ",6.69928014668576e-05,-0.378606308423499,0.477,0.709,1
"SDHD",7.85967626507793e-05,-0.327777490186544,0.156,0.367,1
"PNN",8.65025963755847e-05,-0.465760060809485,0.275,0.494,1
"ANXA1",9.16496339527416e-05,-0.365189605226187,0.716,0.937,1
"FAM104B",0.000116585915232085,-0.256555224658456,0.083,0.278,1
"FTH1",0.000119225150131827,-0.396960952987958,1,0.987,1
"RPL10",0.000119225150131827,-0.392433170201739,1,1,1
"FAU",0.000126005919207531,-0.389123045239338,1,1,1
"SLC3A2",0.000159906272634435,-0.513093067946165,0.248,0.468,1
"PFDN6",0.000173126042738663,-0.280198460037346,0.11,0.316,1
"RPS13",0.000188710423872078,-0.382055388673882,0.982,1,1
"HSPA1B",0.000190647303954735,-0.530194496185273,0.046,0.215,1
"RPS12",0.000214680126363602,-0.323878312912078,1,1,1
"RPS25",0.000219317585435353,-0.405206871367742,0.972,1,1
"RPL19",0.000221679430358561,-0.359024925030082,1,1,1
"CD82",0.000243363301974518,-0.292427577410039,0.193,0.43,1
"TAGLN2",0.00024608613072892,-0.391037317090094,0.587,0.747,1
"RPS24",0.000268369771402229,-0.302534032189142,1,1,1
"LSM3",0.000274721451161143,-0.269252313607478,0.33,0.57,1
"RPL9",0.0002769976295541,-0.319086212432335,0.991,1,1
"MRPS35",0.00030884301448151,-0.252182753284931,0.083,0.266,1
"NDUFAF3",0.00032593653890041,-0.366674219712552,0.294,0.494,1
"H3F3B",0.000348613775601144,-0.466145789793752,0.954,1,1
"UBE2L3",0.00035319737934859,-0.324922181656484,0.239,0.43,1
"ATP5IF1",0.000365679562456266,-0.356235349393925,0.569,0.772,1
"GOLGA4",0.000378179760060472,-0.288627541188698,0.239,0.456,1
"RPS3A",0.000394716525606476,-0.404837752234889,1,1,1
"DYNLL1",0.000421586423220996,-0.444716812184369,0.55,0.759,1
"SSR2",0.000425426279422755,-0.390793870808884,0.358,0.532,1
"HSPB1",0.000468865721380324,-0.780332185791495,0.183,0.405,1
"TMEM167A",0.000491516017558907,-0.31912401159512,0.101,0.278,1
"RSL24D1",0.000496331411340879,-0.442934843075269,0.358,0.57,1
"RPS11",0.000535748062045632,-0.373247946017898,0.945,0.987,1
"TMSB4X",0.000546839062490813,-0.355145677264634,0.991,1,1
"SSB",0.000560930097307454,-0.339093697672652,0.358,0.544,1
"UBE2I",0.000565427778219309,-0.297034358096799,0.248,0.43,1
"PSMB5",0.000620375362276557,-0.343700938586373,0.138,0.316,1
"RPL11",0.000681393100324743,-0.306427476263226,1,1,1
"TCEA1",0.000721084355164013,-0.29318348070251,0.358,0.57,1
"RPL23",0.000737440251826225,-0.350117833352891,0.954,1,1
"RPL28",0.00075221526672716,-0.359248598689551,0.991,1,1
"ABCC4",0.000755341635192528,0.573650679329825,0.523,0.354,1
"RPL8",0.000782412217623602,-0.368266374837388,1,0.987,1
"CDC42",0.000853490301070204,-0.389196964204845,0.468,0.658,1
"RPL26L1",0.000939035540297559,-0.250872878795484,0.046,0.19,1
"RPL14",0.00105738569345984,-0.324346072536086,0.954,1,1
"ARHGAP15",0.00106917701245699,0.371173706558903,0.312,0.101,1
